id,batch,date,solute_identifier,secondary_solute_identifier,secondary_solute_ratio,solvent,membrane,permeance,pressure,temperature,process_configuration,rejection,exclude
0,AD1,N/A,94928-86-6,None,0.5,Ethanol,PMS600,0.27,30,21,DE,0.234,0
1,AD1,N/A,676525-77-2,None,0.5,Ethanol,PMS600,0.27,30,21,DE,0.979,0
2,AD1,N/A,870987-63-6,None,0.5,Ethanol,PMS600,0.27,30,21,DE,0.96,0
3,AD1,N/A,94928-86-6,None,0.5,Ethanol,GMT-oNF-2,0.195522762,30,21,DE,0.365,0
4,AD1,N/A,676525-77-2,None,0.5,Ethanol,GMT-oNF-2,0.195522762,30,21,DE,1,0
5,AD1,N/A,870987-63-6,None,0.5,Ethanol,GMT-oNF-2,0.195522762,30,21,DE,1,0
6,AD1,N/A,94928-86-6,None,0.5,Ethanol,DM300,0.078074137,30,21,DE,0.233,0
7,AD1,N/A,676525-77-2,None,0.5,Ethanol,DM300,0.078074137,30,21,DE,0.307,0
8,AD1,N/A,870987-63-6,None,0.5,Ethanol,DM300,0.078074137,30,21,DE,0.214,0
9,AD1,N/A,94928-86-6,None,0.5,Ethanol,SS336,0.320534523,30,21,DE,0.182,0
10,AD1,N/A,676525-77-2,None,0.5,Ethanol,SS336,0.320534523,30,21,DE,0.328,0
11,AD1,N/A,870987-63-6,None,0.5,Ethanol,SS336,0.320534523,30,21,DE,0.287,0
12,AD1,N/A,94928-86-6,None,0.5,Ethanol,NFX,0.24,30,21,DE,0.391,0
13,AD1,N/A,676525-77-2,None,0.5,Ethanol,NFX,0.24,30,21,DE,0.216,0
14,AD1,N/A,870987-63-6,None,0.5,Ethanol,NFX,0.24,30,21,DE,0.177,0
15,RXA131,12/9/2024,1109-15-5,None,0.5,Ethyl acetate,PMS600,2.51,30,21,DE,0.034,0
16,RXA131,12/9/2024,1109-15-5,None,0.5,Acetonitrile,DM300,0.51909254,30,21,DE,0.655,0
17,RXA131,12/9/2024,1109-15-5,None,0.5,Acetonitrile,NFX,0.36,30,21,DE,0.389,0
18,RXA131,12/9/2024,1109-15-5,None,0.5,Acetonitrile,NFX,0.36,20,21,DE,0.423,0
19,RXA131,12/9/2024,1109-15-5,None,0.5,Acetonitrile,NFX,0.36,10,21,DE,0.625,0
20,OC3,12/10/2024,2321-07-5,None,0.5,Acetonitrile,NFX,0.36,30,21,DE,0.072,0
21,OC3,12/10/2024,14187-32-7,None,0.5,Acetonitrile,NFX,0.36,30,21,DE,0.047,0
22,OC3,12/10/2024,17455-13-9,None,0.5,Acetonitrile,NFX,0.36,30,21,DE,0.073,0
23,OC3,12/10/2024,2321-07-5,None,0.5,Acetonitrile,TS40,1.46,30,21,DE,0.031,1
24,OC3,12/10/2024,14187-32-7,None,0.5,Acetonitrile,TS40,1.46,30,21,DE,0.019,1
25,OC3,12/10/2024,17455-13-9,None,0.5,Acetonitrile,TS40,1.46,30,21,DE,0.066,1
26,AD1,N/A,94928-86-6,None,0.5,Acetonitrile,NFX,0.36,30,21,DE,0.454,0
27,AD1,N/A,676525-77-2,None,0.5,Acetonitrile,NFX,0.36,30,21,DE,0.128,0
28,AD1,N/A,870987-63-6,None,0.5,Acetonitrile,NFX,0.36,30,21,DE,0.104,0
29,AD1,N/A,94928-86-6,None,0.5,Ethyl acetate,PMS600,2.51,30,21,DE,0.583,0
30,AD1,N/A,676525-77-2,None,0.5,Ethyl acetate,PMS600,2.51,30,21,DE,0.744,0
31,AD1,N/A,870987-63-6,None,0.5,Ethyl acetate,PMS600,2.51,30,21,DE,0.749,0
32,AD1,N/A,94928-86-6,None,0.5,Ethyl acetate,GMT-oNF-2,3.897707231,30,21,DE,0.494,0
33,AD1,N/A,676525-77-2,None,0.5,Ethyl acetate,GMT-oNF-2,3.897707231,30,21,DE,0.374,0
34,AD1,N/A,870987-63-6,None,0.5,Ethyl acetate,GMT-oNF-2,3.897707231,30,21,DE,0.355,0
35,AD1,N/A,94928-86-6,None,0.5,Ethyl acetate,DM300,0.27,30,21,DE,0.682,0
36,AD1,N/A,676525-77-2,None,0.5,Ethyl acetate,DM300,0.27,30,21,DE,0.674,0
37,AD1,N/A,870987-63-6,None,0.5,Ethyl acetate,DM300,0.27,30,21,DE,0.556,0
38,AD1,N/A,94928-86-6,None,0.5,Ethyl acetate,SS336,2.439741329,30,21,DE,0.84,0
39,AD1,N/A,676525-77-2,None,0.5,Ethyl acetate,SS336,2.439741329,30,21,DE,0.809,0
40,AD1,N/A,870987-63-6,None,0.5,Ethyl acetate,SS336,2.439741329,30,21,DE,0.794,0
41,OC1,12/5/2024,632-69-9,None,0.5,Ethyl acetate,PMS600,2.51,30,21,DE,0.734,0
42,OC1,12/5/2024,1442433-71-7,None,0.5,Ethyl acetate,PMS600,2.51,30,21,DE,0.643,0
43,OC1,12/5/2024,18531-99-2,None,0.5,Ethyl acetate,PMS600,2.51,30,21,DE,0.104,0
44,OC1,12/5/2024,140924-50-1,None,0.5,Ethyl acetate,PMS600,2.51,30,21,DE,0.84,0
45,OC1,12/5/2024,1416881-52-1,None,0.5,Ethyl acetate,PMS600,2.51,30,21,DE,0.368,0
46,OC1,12/5/2024,632-69-9,None,0.5,Ethyl acetate,GMT-oNF-2,3.897707231,30,21,DE,1,0
47,OC1,12/5/2024,1442433-71-7,None,0.5,Ethyl acetate,GMT-oNF-2,3.897707231,30,21,DE,0.423,0
48,OC1,12/5/2024,18531-99-2,None,0.5,Ethyl acetate,GMT-oNF-2,3.897707231,30,21,DE,0.022,0
49,OC1,12/5/2024,140924-50-1,None,0.5,Ethyl acetate,GMT-oNF-2,3.897707231,30,21,DE,0.634,0
50,OC1,12/5/2024,1416881-52-1,None,0.5,Ethyl acetate,GMT-oNF-2,3.897707231,30,21,DE,0.046,0
51,OC1,12/5/2024,632-69-9,None,0.5,Ethyl acetate,DM300,0.27,30,21,DE,0.979536153,0
52,OC1,12/5/2024,1442433-71-7,None,0.5,Ethyl acetate,DM300,0.27,30,21,DE,0.834824927,0
53,OC1,12/5/2024,18531-99-2,None,0.5,Ethyl acetate,DM300,0.27,30,21,DE,0.353269254,0
54,OC1,12/5/2024,140924-50-1,None,0.5,Ethyl acetate,DM300,0.27,30,21,DE,0.025057779,0
55,OC1,12/5/2024,1416881-52-1,None,0.5,Ethyl acetate,DM300,0.27,30,21,DE,0.335775094,0
56,OC1,12/5/2024,632-69-9,None,0.5,Ethyl acetate,SS336,2.439741329,30,21,DE,0.626,0
57,OC1,12/5/2024,1442433-71-7,None,0.5,Ethyl acetate,SS336,2.439741329,30,21,DE,0.339,0
58,OC1,12/5/2024,18531-99-2,None,0.5,Ethyl acetate,SS336,2.439741329,30,21,DE,0.116,0
59,OC1,12/5/2024,140924-50-1,None,0.5,Ethyl acetate,SS336,2.439741329,30,21,DE,0.717,0
60,OC1,12/5/2024,1416881-52-1,None,0.5,Ethyl acetate,SS336,2.439741329,30,21,DE,0.218,0
61,OC3,12/8/2024,2321-07-5,None,0.5,Ethyl acetate,PMS600,2.51,30,21,DE,0.147,0
62,OC3,12/8/2024,14187-32-7,None,0.5,Ethyl acetate,PMS600,2.51,30,21,DE,0.004,0
63,OC3,12/8/2024,17455-13-9,None,0.5,Ethyl acetate,PMS600,2.51,30,21,DE,0.142,0
64,OC3,12/8/2024,2321-07-5,None,0.5,Ethyl acetate,GMT-oNF-2,3.897707231,30,21,DE,0.066,0
65,OC3,12/8/2024,14187-32-7,None,0.5,Ethyl acetate,GMT-oNF-2,3.897707231,30,21,DE,-0.028,0
66,OC3,12/8/2024,17455-13-9,None,0.5,Ethyl acetate,GMT-oNF-2,3.897707231,30,21,DE,0.153,0
67,OC3,12/8/2024,2321-07-5,None,0.5,Ethyl acetate,DM300,0.27,30,21,DE,0.644121559,0
68,OC3,12/8/2024,14187-32-7,None,0.5,Ethyl acetate,DM300,0.27,30,21,DE,0.432183849,0
69,OC3,12/8/2024,17455-13-9,None,0.5,Ethyl acetate,DM300,0.27,30,21,DE,0.76886765,0
70,OC3,12/8/2024,2321-07-5,None,0.5,Ethyl acetate,SS336,2.439741329,30,21,DE,0.256,0
71,OC3,12/8/2024,14187-32-7,None,0.5,Ethyl acetate,SS336,2.439741329,30,21,DE,0.119,0
72,OC3,12/8/2024,17455-13-9,None,0.5,Ethyl acetate,SS336,2.439741329,30,21,DE,0.25,0
73,OC1,12/25/2024,632-69-9,None,0.5,Acetonitrile,NFX,0.36,30,21,DE,0.805532272,0
74,OC1,12/25/2024,1442433-71-7,None,0.5,Acetonitrile,NFX,0.36,30,21,DE,0.624239263,0
75,OC1,12/25/2024,18531-99-2,None,0.5,Acetonitrile,NFX,0.36,30,21,DE,0.614967462,0
76,OC1,12/25/2024,140924-50-1,None,0.5,Acetonitrile,NFX,0.36,30,21,DE,0.631938514,0
77,OC1,12/25/2024,1416881-52-1,None,0.5,Acetonitrile,NFX,0.36,30,21,DE,0.60799814,0
