id,membrane,family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing
0,AK,AK,150,50,0,0,1
1,BW30,BW,100,51.48333333,-1.5,0,0
2,BW440,BW,100,56.8,-4.49,0,0
3,CK,CK,225,54.2,0,0,1
4,CPA3,CPA,100,73,0,0,1
5,Crosslined_RC,Crosslined_RC,300,26,0,0,1
6,DDK,DDK,150,-1,0,1,1
7,Desal51HL,Desal5,190,42.66666667,-8.666666667,0,0
8,Desal5DL,Desal5,300,45.66666667,-10.33333333,0,0
9,DF30,DF,400,15.2,-75,0,0
10,DK,DK,250,40.6,0,0,0
11,DM1000,DM,1000,59,0,0,1
12,DM1000X,DM,1000,59,0,0,1
13,DM150,DM,150,59,0,0,1
14,DM200,DM,200,59,-20,0,0
15,DM300,DM,300,59,-37.5,0,0
16,DM500,DM,500,59,-31,0,0
17,DM700,DM,700,59,0,0,1
18,ES10C,ES10C,65,54.4,-30,0,0
19,ES20,ES,200,43.5,-20,0,0
20,ESNA,ESNA,250,47.3,-11,0,0
21,ESPA,ESPA,200,47,0,0,1
22,ESPA1,ESPA,200,22.6,-30.6,0,0
23,ESPA2,ESPA,200,43,-38,0,0
24,ESPA3,ESPA,100,60.6,-24.8,0,0
25,GMT-NC,GMT,200,-1,0,1,1
26,GMT-oNF-1,GMT-oNF,600,-1,0,1,1
27,GMT-oNF-2,GMT-oNF,300,87,-8,0,0
28,GMT-oNF-3,GMT-oNF,600,-1,0,1,1
29,HL,HL,190,38.93333333,-11,0,0
30,HR95,HR,200,40,-20,0,0
31,LC2,LC,437,31.3,-9.6,0,0
32,LE440,LE,100,41.75,-23.01,0,0
33,LF10,LF,150,50,-24,0,0
34,LFC1,LFC,100,78,4,0,0
35,MPF44,MPF,250,-1,0,1,1
36,MPF50,MPF,700,-1,0,1,1
37,MPF60,MPF,400,-1,0,1,1
38,NE90,NE,200,51.85,-23.6,0,0
39,NF,NF,300,49.9,-5.48,0,0
40,NF200,NF,300,33.9,-14.25,0,0
41,NF270,NF,150,16,-13.75,0,0
42,NF70,NF,250,29.3,-36.4,0,0
43,NF90,NF,200,53.91428571,-13.6,0,0
44,NFX,NF,225,-1,0,1,1
45,NTR729HF,NTR,150,49.6,-30,0,0
46,NTR7450,NTR,310,69,-11.66666667,0,0
47,P84,P84,280,-1,0,1,1
48,PA1,PA,350,-1,0,1,1
49,PBI,PBI,200,34,-15,0,0
50,PDMS,PDMS,250,-1,0,1,1
51,PDMS,PDMS,300,-1,0,1,1
52,PEEK,PEEK,300,-1,0,1,1
53,PIP,PIP,250,47.1,-12.8,0,0
54,PM280,PM,280,-1,0,1,1
55,PMFlux,PM,200,-1,0,1,1
56,PMPerformance,PM,300,-1,0,1,1
57,PMS380,PM,600,-1,0,1,1
58,PMS600,PM,600,-1,0,1,1
59,PMSelective,PM,200,-1,0,1,1
60,PV46,PV,600,-1,0,1,1
61,RE-BLR,RE-BLR,100,46.9,-20.9,0,0
62,SB50,SB,152,63,-13,0,0
63,SB90,SB,200,-1,0,1,1
64,SeppurePT,SeppurePT,300,-1,0,1,1
65,SM120,SM,200,-1,0,1,1
66,SM122,SM,220,-1,0,1,1
67,SM228,SM,228,-1,0,1,1
68,SM240,SM,400,-1,0,1,1
69,SR2,SR,460,40.1,-11.5,0,0
70,SR3,SR,165,44.6,-17,0,0
71,SS126,SS,300,-1,0,1,1
72,SS126S,SS,300,-1,0,1,1
73,SS136,SS,500,-1,0,1,1
74,SS150101,SS,300,-1,0,1,1
75,SS150801,SS,300,-1,0,1,1
76,SS315,SS,300,-1,0,1,1
77,SS336,SS,500,82,0,0,1
78,SS375,SS,500,-1,0,1,1
79,SS776,SS,300,-1,0,1,1
80,SS815,SS,500,-1,0,1,1
81,SS911,SS,350,-1,0,1,1
82,SS981,SS,350,-1,0,1,1
83,SW30XLE,SW30XLE,100,58.2,-23,0,0
84,SWC1,SWC,100,41.7,-31,0,0
85,TFC-SR2,TFC-SR,460,57,-10.33333333,0,0
86,TS40,TS,250,-1,0,1,1
87,TS80,TS,200,47.36666667,-14,0,0
88,UTC20,UTC,180,35.4,0,0,1
89,UTC60,UTC,150,50.6,-30,0,0
90,UTC70,UTC,65,54.4,-22.45,0,0
91,VeoliaDuracid,Veolia,175,-1,0,1,1
92,VNF1,VNF,240,36.4,-44,0,0
93,VNF2,VNF,150,79.4,-52,0,0
94,X20,X,200,55,-87,0,0
95,XLE,XLE,96,61.2375,-19,0,0
96,XLE440,XLE,150,39.8,-19,0,0
