id,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent,permeance,pressure,temperature,solvent_smiles,solute_smiles,secondary_solute_smiles,solute_category,rejection,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,secondary_solute_ratio,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,membrane_DM150,membrane_DM300,membrane_DM500,membrane_GMT-oNF-2,membrane_SM122,membrane_SS336,membrane_PMPerformance,membrane_SS150101,membrane,process_configuration_CF,process_configuration_DE,process_configuration,nlc_rejection,source
0,150,59.0,0.0,0,1,Methanol,0.88,10.0,22,CO,N#CC1=CC=C(N)C=C1,N#CC1=CC=C(N)C=C1,Unknown,0.26,118.13899999999998,1.14048,118.13899999999998,1.14048,0.5,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,1,0,0,0,0,0,0,0,DM150,1,0,CF,0.13018179202067184,nf10k
1,300,59.0,-37.5,0,0,n-Heptane,0.225,20.0,22,CCCCCCC,COC1=CC=C(OC)C=C1,COC1=CC=C(OC)C=C1,Unknown,-0.033364613,138.166,1.7038,138.166,1.7038,0.5,100.205,4.39,0.39,684.0,1.92,15.3,0.0,0.0,147.4,0,1,0,0,0,0,0,0,DM300,1,0,CF,-0.014673654330076832,nf10k
2,150,59.0,0.0,0,1,Methanol,0.7475,20.0,22,CO,Cc1ccc(I)cc1,Cc1ccc(I)cc1,Unknown,0.38,218.03700000000003,2.5996200000000007,218.03700000000003,2.5996200000000007,0.5,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,1,0,0,0,0,0,0,0,DM150,1,0,CF,0.2069083998234198,nf10k
3,300,59.0,-37.5,0,0,Acetonitrile,1.38,20.0,22,C(C)#N,C1=CC2=C(C=CN2)C=C1F,C1=CC2=C(C=CN2)C=C1F,Unknown,0.546462741,135.14099999999996,2.3069999999999995,135.14099999999996,2.3069999999999995,0.5,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,1,0,0,0,0,0,0,DM300,1,0,CF,0.3424305113091667,nf10k
4,300,59.0,-37.5,0,0,Methanol,1.23,20.0,22,CO,OC1=C(O)C=C2C(C(C)(C)CC23C(C=C(O)C(O)=C4)=C4C(C)(C)C3)=C1,OC1=C(O)C=C2C(C(C)(C)CC23C(C=C(O)C(O)=C4)=C4C(C)(C)C3)=C1,Unknown,1.0,340.4190000000001,4.157700000000004,340.4190000000001,4.157700000000004,0.5,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,0,1,0,0,0,0,0,0,DM300,1,0,CF,3.0,nf10k
5,300,59.0,-37.5,0,0,Methanol,1.54,10.0,22,CO,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,Unknown,1.0,324.4240000000001,3.1732000000000014,324.4240000000001,3.1732000000000014,0.5,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,0,1,0,0,0,0,0,0,DM300,1,0,CF,3.0,nf10k
6,300,59.0,-37.5,0,0,Methanol,1.54,10.0,22,CO,O=C(C1=CC=C(C)C(C)=C1)C2=CC=CC=C2,O=C(C1=CC=C(C)C(C)=C1)C2=CC=CC=C2,Unknown,0.85,210.276,3.534440000000002,210.276,3.534440000000002,0.5,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,0,1,0,0,0,0,0,0,DM300,1,0,CF,0.8210230527068305,nf10k
7,150,59.0,0.0,0,1,Methanol,0.88,10.0,22,CO,CN1C(CCC1)C2=CN=CC=C2,CN1C(CCC1)C2=CN=CC=C2,Unknown,0.99,162.23600000000002,1.8483,162.23600000000002,1.8483,0.5,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,1,0,0,0,0,0,0,0,DM150,1,0,CF,1.9586073148417746,nf10k
8,300,59.0,-37.5,0,0,Methanol,1.23,20.0,22,CO,CC1=CC(=C(C(=C1)O)C)C,CC1=CC(=C(C(=C1)O)C)C,Unknown,0.75,136.194,2.3174599999999996,136.194,2.3174599999999996,0.5,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,0,1,0,0,0,0,0,0,DM300,1,0,CF,0.6003262785189618,nf10k
9,500,82.0,0.0,0,1,Acetonitrile,2.328042328,20.0,22,C(C)#N,C1=CC2=C(C=CN2)C(=C1)Cl,C1=CC2=C(C=CN2)C(=C1)Cl,Unknown,0.13574255,151.59599999999998,2.821300000000001,151.59599999999998,2.821300000000001,0.5,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,0,0,0,0,1,0,0,SS336,1,0,CF,0.06285465267531277,nf10k
10,150,59.0,0.0,0,1,Methanol,0.7475,20.0,22,CO,C1=C(C(=CC(=C1Br)F)Br)F,C1=C(C(=CC(=C1Br)F)Br)F,Unknown,0.58,271.88599999999997,3.4898,271.88599999999997,3.4898,0.5,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,1,0,0,0,0,0,0,0,DM150,1,0,CF,0.37571790416433165,nf10k
11,300,59.0,-37.5,0,0,Methanol,1.54,10.0,22,CO,CC1=CC(=C(C=C1)C)C,CC1=CC(=C(C=C1)C)C,Unknown,0.48,120.19499999999998,2.611860000000001,120.19499999999998,2.611860000000001,0.5,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,0,1,0,0,0,0,0,0,DM300,1,0,CF,0.2831622767004755,nf10k
12,220,-1.0,0.0,1,1,Ethyl acetate,6.97,30.0,25,O(C(C)=O)CC,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C)(C)C9=CC=CC=C9,CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)CC(C5=CC=CC=C5)CC(C6=CC=CC=C6)CC(C7=CC=CC=C7)CC(C8=CC=CC=C8)CC(C)(C)C9=CC=CC=C9,Unknown,1.0,967.4379999999999,20.375300000000003,967.4379999999999,20.375300000000003,0.5,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,0,0,0,0,1,0,0,0,SM122,0,1,DE,3.0,nf10k
13,150,59.0,0.0,0,1,Methanol,0.7475,20.0,22,CO,CCN1C=C(C(C2=CC(F)=C(N3CCNCC3)N=C12)=O)C(O)=O,CCN1C=C(C(C2=CC(F)=C(N3CCNCC3)N=C12)=O)C(O)=O,Unknown,1.0,320.324,0.6633,320.324,0.6633,0.5,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,1,0,0,0,0,0,0,0,DM150,1,0,CF,3.0,nf10k
14,500,82.0,0.0,0,1,Acetone,2.314814815,20.0,22,CC(=O)C,CCCC1=CC=CC=C1,CCCC1=CC=CC=C1,Unknown,-0.009289754,120.19499999999995,2.639100000000001,120.19499999999995,2.639100000000001,0.5,58.08,-0.24,0.32,784.0,20.7,15.5,10.4,7.0,74.0,0,0,0,0,0,1,0,0,SS336,1,0,CF,-0.00444594855111137,nf10k
15,300,59.0,-37.5,0,0,Methanol,1.23,20.0,22,CO,NC(C1=CC=CC=C12)=C(C)C=C2C3=CC(C)=C(N)C4=CC=CC=C34,NC(C1=CC=CC=C12)=C(C)C=C2C3=CC(C)=C(N)C4=CC=CC=C34,Unknown,1.0,312.416,5.441240000000003,312.416,5.441240000000003,0.5,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,0,1,0,0,0,0,0,0,DM300,1,0,CF,3.0,nf10k
