,doi,year,journal,membrane,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solute_name,secondary_solute_name,secondary_solute_ratio,solvent,pressure,permeance,rejection,temperature,process_configuration,exclude,solute_smiles,secondary_solute_smiles,solute_category,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,batch,date,solute_identifier,secondary_solute_identifier,solute_type,solute_reactions
0,10.1002/cctc.201402368,2014,The European Society Journal for Catalysis,PM280,280,-1,0,1,1,Hoveyda-Grubbs II,Hoveyda-Grubbs II,0.5,Toluene,45,0.473,0.99,35,CF,0,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,626.634,8.05032,626.634,8.05032,,,,,Grubbs catalyst,alkene metathesis
1,10.1002/cctc.201601018,2016,ChemCatChem,GMT-oNF-2,300,87,-8,0,0,Rh(BIPHEPHOS),Rh(acac)(CO)2,0.01,Toluene,30,2,0.97,25,CF,0,COc1cc(c2cc(OC)cc(C(C)(C)C)c2O[P]34Oc5c(c6c(O3)cccc6)cccc5)c(O[P]7(Oc8c(c9c(O7)cccc9)cccc8)[Rh+]4%10O[C-](C=C(C)O%10)C)c(C(C)(C)C)c1,CC(O[Rh+]([C]=O)([C]=O)O1)=C[C-]1C,metal_catalyst,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,988.813,14.85539,258.035,0.60719,,,,,Transition metal complex,hydroformylation
2,10.1002/cctc.201601018,2016,ChemCatChem,GMT-oNF-2,300,87,-8,0,0,Rh(Xantphos)acac,Rh(acac)(CO)2,0.01,Toluene,30,2,0.97,25,CF,0,CC(c1c2c([P]3(c4ccccc4)c5ccccc5)ccc1)(c6c(O2)c([P]([Rh+]73O[C-](C=C(C)O7)C)(c8ccccc8)c9ccccc9)ccc6)C,CC(O[Rh+]([C]=O)([C]=O)O1)=C[C-]1C,metal_catalyst,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,780.647,9.03599,258.035,0.60719,,,,,Transition metal complex,"carbonylation, hydrogenation, cross coupling"
3,10.1002/cctc.201601018,2016,ChemCatChem,GMT-oNF-2,300,87,-8,0,0,Rh(TPP),Rh(acac)(CO)2,0.01,Toluene,30,2,0.94,25,CF,0,CC1=C[C-](C)O[Rh+]([P](c2ccccc2)(c3ccccc3)c4ccccc4)([P](c5ccccc5)(c6ccccc6)c7ccccc7)O1,CC(O[Rh+]([C]=O)([C]=O)O1)=C[C-]1C,metal_catalyst,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,726.599,8.29099,258.035,0.60719,,,,,Transition metal complex,hydroformylation
4,10.1002/cctc.201601018,2016,ChemCatChem,GMT-oNF-2,300,87,-8,0,0,BIPHEPHOS,Rh(BIPHEPHOS),0.2,Toluene,30,2,0.98,25,CF,0,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,COc1cc(c2cc(OC)cc(C(C)(C)C)c2O[P]34Oc5c(c6c(O3)cccc6)cccc5)c(O[P]7(Oc8c(c9c(O7)cccc9)cccc8)[Rh+]4%10O[C-](C=C(C)O%10)C)c(C(C)(C)C)c1,ligand,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,786.798,14.8568,988.813,14.85539,,,,,Phosphine ligand,hydroformylation
5,10.1002/cctc.201601018,2016,ChemCatChem,GMT-oNF-2,300,87,-8,0,0,Xantphos,Rh(Xantphos)acac,0.2,Toluene,30,2,0.95,25,CF,0,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,CC(c1c2c([P]3(c4ccccc4)c5ccccc5)ccc1)(c6c(O2)c([P]([Rh+]73O[C-](C=C(C)O7)C)(c8ccccc8)c9ccccc9)ccc6)C,ligand,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,578.632,7.6346,780.647,9.03599,,,,,Phosphine ligand,cross coupling
6,10.1002/cctc.201601018,2016,ChemCatChem,GMT-oNF-2,300,87,-8,0,0,Triphenylphosphine,Rh(TPP),0.2,Toluene,30,2,0.66,25,CF,0,c1(P(c2ccccc2)c3ccccc3)ccccc1,CC1=C[C-](C)O[Rh+]([P](c2ccccc2)(c3ccccc3)c4ccccc4)([P](c5ccccc5)(c6ccccc6)c7ccccc7)O1,ligand,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,262.292,3.4448,726.599,8.29099,,,,,Phosphine ligand,cross coupling
7,10.1002/ceat.201900110,2019,Chemical Engineering and Technology,DM300,300,59,-37.5,0,0,Magnesium Triflate,Magnesium Triflate,0.5,Ethanol,30,0.09435,0.9802,50,CF,0,[Mg++].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,[Mg++].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,metal_catalyst,C(C)O,46.069,-0.31,1.2,789,24.6,15.8,8.8,19.4,58.5,322.443,-0.278,322.443,-0.278,,,,,"Inorganic salt, Lewis acid","ring opening, enantioselective carbonyl-ene reaction, enantioselective Diels-Alder, enantioselective Strecker-type"
8,10.1002/cplu.201300112,2013,ChemPlusChem,SM122,220,-1,0,1,1,Hoveyda-Grubbs II,Hoveyda-Grubbs II,0.5,Toluene,40,0.06,0.996,30,CF,0,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,metal_catalyst,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,626.634,8.05032,626.634,8.05032,,,,,Grubbs catalyst,alkene metathesis
9,10.1002/cplu.201300112,2013,ChemPlusChem,SM122,220,-1,0,1,1,Hoveyda-Grubbs precatalyst 2,Hoveyda-Grubbs precatalyst 2,0.5,Toluene,40,0.06,0.984,30,CF,0,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)C(CC(CCCC)CC)CN2c4c(C)cc(C)cc4C)cccc1)C,CC(Oc1c(C=[Ru](Cl)(Cl)=C2N(c3c(C)cc(C)cc3C)C(CC(CCCC)CC)CN2c4c(C)cc(C)cc4C)cccc1)C,metal_catalyst,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,738.85,11.02542,738.85,11.02542,,,,,Grubbs catalyst,alkene metathesis
