id,solute_name,solute_identifier,solute_category,solute_type,solute_reactions,solute_reaction_typical_solvents,references,full_solute_smiles,stripped_solute_smiles,compatible_smiles_pmi_synth,cleaned_solute_smiles_tox,stripped_aromatic_solute_smiles,full_aromatic_solute_smiles,full_original_solute_smiles,usd_per_g,usd_per_mol
0,Magnesium Triflate,Magnesium Triflate,metal_catalyst,"Inorganic salt, Lewis acid","ring opening, enantioselective carbonyl-ene reaction, enantioselective Diels-Alder, enantioselective Strecker-type","dichloromethane, dichloroethane, toluene, chloroform, acetonitrile",https://doi.org/10.1002/047084289X.rn02008,[Mg++].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,[Mg++].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,[Mg++].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,[O-]S(=O)(=O)C(F)(F)F,[Mg++].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,[Mg++].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,[Mg++].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,9.798,3159.26712
1,Zhang ligand ,Zhang ligand ,ligand,Phosphine ligand,hydroformylation,"toluene, neat",https://doi.org/10.1002/adsc.200700017,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,C1(CP(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC(CP(C4=CC=CC=C4)C5=CC=CC=C5)=C1C6=C(CP(C7=CC=CC=C7)C8=CC=CC=C8)C=CC=C6CP(C9=CC=CC=C9)C%10=CC=CC=C%10,,
2,Triphenylphosphine,Triphenylphosphine,ligand,Phosphine ligand,cross coupling,"toluene, dichloromethane, acetonitrile, tetrahydrofuran",N/A,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=CC=CC=C1,5.724,1501.34796
3,DPPB,DPPB,ligand,Phosphine ligand,cross coupling,"toluene, dichloromethane, acetonitrile, tetrahydrofuran",N/A,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,C1(P(C2=CC=CC=C2)CCCCP(C3=CC=CC=C3)C4=CC=CC=C4)=CC=CC=C1,13.45,5736.0215
4,[Ir(COD)Cl]2,[Ir(COD)Cl]2,metal_catalyst,Transition metal complex,"C-H activation, cross coupling","toluene, dichloromethane, acetonitrile, tetrahydrofuran",N/A,C1=C\CC/C=C\CC/1.[Cl-].[Ir+].[Cl-].[Ir+].C2=C\CC/C=C\CC/2,C1=C\CC/C=C\CC/1.[Cl-].[Ir+].[Cl-].[Ir+].C2=C\CC/C=C\CC/2,C1=C\CC/C=C\CC/1.[Cl-].[Ir+].[Cl-].[Ir+].C2=C\CC/C=C\CC/2,C1=C\CC/C=C\CC/1,C1=C\CC/C=C\CC/1.[Cl-].[Ir+].[Cl-].[Ir+].C2=C\CC/C=C\CC/2,C1=C\CC/C=C\CC/1.[Cl-].[Ir+].[Cl-].[Ir+].C2=C\CC/C=C\CC/2,C1=C\CC/C=C\CC/1.[Cl-].[Ir+].[Cl-].[Ir+].C2=C\CC/C=C\CC/2,353.32,237325.044
5,DTBM-SegPhos Ir complex,DTBM-SegPhos,metal_catalyst,Transition metal complex,asymmetric hydrogenation,"toluene, dichloromethane, acetonitrile, tetrahydrofuran",N/A,CC(c1c(OC)c(C(C)(C)C)cc([P]2(c3ccc(OCO4)c4c3c5c6c(OCO6)ccc5[P](c7cc(C(C)(C)C)c(OC)c(C(C)(C)C)c7)(c8cc(C(C)(C)C)c(OC)c(C(C)(C)C)c8)[Ir+]2)c9cc(C(C)(C)C)c(OC)c(C(C)(C)C)c9)c1)(C)C.[Cl-],CC(c1c(OC)c(C(C)(C)C)cc([P]2(c3ccc(OCO4)c4c3c5c6c(OCO6)ccc5[P](c7cc(C(C)(C)C)c(OC)c(C(C)(C)C)c7)(c8cc(C(C)(C)C)c(OC)c(C(C)(C)C)c8)[Ir+]2)c9cc(C(C)(C)C)c(OC)c(C(C)(C)C)c9)c1)(C)C,CC(c1c(OC)c(C(C)(C)C)cc([P]2(c3ccc(OCO4)c4c3c5c6c(OCO6)ccc5[P](c7cc(C(C)(C)C)c(OC)c(C(C)(C)C)c7)(c8cc(C(C)(C)C)c(OC)c(C(C)(C)C)c8)[Ir+]2)c9cc(C(C)(C)C)c(OC)c(C(C)(C)C)c9)c1)(C)C,CC(c1c(OC)c(C(C)(C)C)cc([P]2(c3ccc(OCO4)c4c3c5c6c(OCO6)ccc5[P](c7cc(C(C)(C)C)c(OC)c(C(C)(C)C)c7)(c8cc(C(C)(C)C)c(OC)c(C(C)(C)C)c8)[Ir+]2)c9cc(C(C)(C)C)c(OC)c(C(C)(C)C)c9)c1)(C)C,CC(c1c(OC)c(C(C)(C)C)cc([P]2(c3ccc(OCO4)c4c3c5c6c(OCO6)ccc5[P](c7cc(C(C)(C)C)c(OC)c(C(C)(C)C)c7)(c8cc(C(C)(C)C)c(OC)c(C(C)(C)C)c8)[Ir+]2)c9cc(C(C)(C)C)c(OC)c(C(C)(C)C)c9)c1)(C)C,CC(c1c(OC)c(C(C)(C)C)cc([P]2(c3ccc(OCO4)c4c3c5c6c(OCO6)ccc5[P](c7cc(C(C)(C)C)c(OC)c(C(C)(C)C)c7)(c8cc(C(C)(C)C)c(OC)c(C(C)(C)C)c8)[Ir+]2)c9cc(C(C)(C)C)c(OC)c(C(C)(C)C)c9)c1)(C)C.[Cl-],CC(C)(C)C1=CC([P]([Ir+][P](C2=C3C(OCO4)=C4C=C2)(C5=CC(C(C)(C)C)=C(OC)C(C(C)(C)C)=C5)C6=CC(C(C)(C)C)=C(OC)C(C(C)(C)C)=C6)(C7=CC(C(C)(C)C)=C(OC)C(C(C)(C)C)=C7)C8=C3C(OCO9)=C9C=C8)=CC(C(C)(C)C)=C1OC.C%10=C\CC/C=C\CC/%10.[Cl-],560.6,661244.518
6,Jacobsen Catalyst ,Jacobsen Catalyst ,metal_catalyst,Transition metal complex,asymmetric epoxidation,dichloromethane,N/A,CC(c1cc(C=[N]2[C@H]3CCCC[C@@H]3[N]4=Cc5cc(C(C)(C)C)cc(C(C)(C)C)c5O[Mn]42(Cl)O6)c6c(C(C)(C)C)c1)(C)C,CC(c1cc(C=[N]2[C@H]3CCCC[C@@H]3[N]4=Cc5cc(C(C)(C)C)cc(C(C)(C)C)c5O[Mn]42(Cl)O6)c6c(C(C)(C)C)c1)(C)C,CC(C)(C)c1cc(C(C)(C)C)c2c(/C=N/[C@H]3CCCC[C@@H]3/N=C/c4c(O[Mn](O2)Cl)c(C(C)(C)C)cc(C(C)(C)C)c4)c1,CC(c1cc(C=[N]2[C@H]3CCCC[C@@H]3[N]4=Cc5cc(C(C)(C)C)cc(C(C)(C)C)c5O[Mn]42(Cl)O6)c6c(C(C)(C)C)c1)(C)C,CC(c1cc(C=[N]2[C@H]3CCCC[C@@H]3[N]4=Cc5cc(C(C)(C)C)cc(C(C)(C)C)c5O[Mn]42(Cl)O6)c6c(C(C)(C)C)c1)(C)C,CC(c1cc(C=[N]2[C@H]3CCCC[C@@H]3[N]4=Cc5cc(C(C)(C)C)cc(C(C)(C)C)c5O[Mn]42(Cl)O6)c6c(C(C)(C)C)c1)(C)C,CC(C)(c1cc(C(C)(C)C)c2c(C=[N]3[C@H]4CCCC[C@@H]4[N]5=Cc6c(O[Mn]5(O2)3Cl)c(C(C)(C)C)cc(C(C)(C)C)c6)c1)C,65.72,41745.344
7,Rh(Xantphos)acac,Rh(Xantphos),metal_catalyst,Transition metal complex,"carbonylation, hydrogenation, cross coupling","toluene, dichloromethane, acetonitrile, tetrahydrofuran",N/A,CC(c1c2c([P]3(c4ccccc4)c5ccccc5)ccc1)(c6c(O2)c([P]([Rh+]73O[C-](C=C(C)O7)C)(c8ccccc8)c9ccccc9)ccc6)C,CC(c1c2c([P]3(c4ccccc4)c5ccccc5)ccc1)(c6c(O2)c([P]([Rh+]73O[C-](C=C(C)O7)C)(c8ccccc8)c9ccccc9)ccc6)C,CC(c1c2c([P]3(c4ccccc4)c5ccccc5)ccc1)(c6c(O2)c([P]([Rh+]73O[C-](C=C(C)O7)C)(c8ccccc8)c9ccccc9)ccc6)C,CC(c1c2c([P]3(c4ccccc4)c5ccccc5)ccc1)(c6c(O2)c([P]([Rh+]73O[C-](C=C(C)O7)C)(c8ccccc8)c9ccccc9)ccc6)C,CC(c1c2c([P]3(c4ccccc4)c5ccccc5)ccc1)(c6c(O2)c([P]([Rh+]73O[C-](C=C(C)O7)C)(c8ccccc8)c9ccccc9)ccc6)C,CC(c1c2c([P]3(c4ccccc4)c5ccccc5)ccc1)(c6c(O2)c([P]([Rh+]73O[C-](C=C(C)O7)C)(c8ccccc8)c9ccccc9)ccc6)C,CC(C)(C1=CC=C2)C3=CC=CC([P](C4=CC=CC=C4)([Rh+]56O[C-](C)C=C(O5)C)C7=CC=CC=C7)=C3OC1=C2[P]6(C8=CC=CC=C8)C9=CC=CC=C9,,
8,"(1,3-dimesityl-4,5-dihydro-1H-imidazol-3-ine)dichloro-((4'-(tert-butyldimethylsilyloxy)-4-isopropoxy-3',5'-dimethylbiphenyl-3-yl)methylene)ruthenium","(1,3-dimesityl-4,5-dihydro-1H-imidazol-3-ine)dichloro-((4'-(tert-butyldimethylsilyloxy)-4-isopropoxy-3',5'-dimethylbiphenyl-3-yl)methylene)ruthenium",metal_catalyst,Transition metal complex,N/A,N/A,N/A,CC([O+]1[Ru]([C-]2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C)(Cl)(Cl)=Cc5cc(c6cc(C)c(O[Si](C(C)(C)C)(C)C)c(C)c6)ccc51)C,CC([O+]1[Ru]([C-]2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C)(Cl)(Cl)=Cc5cc(c6cc(C)c(O[Si](C(C)(C)C)(C)C)c(C)c6)ccc51)C,CC([O+]1[Ru]([C-]2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C)(Cl)(Cl)=Cc5cc(c6cc(C)c(O[Si](C(C)(C)C)(C)C)c(C)c6)ccc51)C,CC([O+]1[Ru]([C-]2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C)(Cl)(Cl)=Cc5cc(c6cc(C)c(O[Si](C(C)(C)C)(C)C)c(C)c6)ccc51)C,CC([O+]1[Ru]([C-]2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C)(Cl)(Cl)=Cc5cc(c6cc(C)c(O[Si](C(C)(C)C)(C)C)c(C)c6)ccc51)C,CC([O+]1[Ru]([C-]2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C)(Cl)(Cl)=Cc5cc(c6cc(C)c(O[Si](C(C)(C)C)(C)C)c(C)c6)ccc51)C,CC(C)[O+]1[Ru]([C-]2N(C3=C(C)C=C(C)C=C3C)CCN2C4=C(C)C=C(C)C=C4C)(Cl)(Cl)=CC5=C1C=CC(C6=CC(C)=C(O[Si](C)(C(C)(C)C)C)C(C)=C6)=C5,,
9,OctaSi-Ru-Grubbs-Hoveyda-type olefin metathesis catalyst,OctaSi-Ru-Grubbs-Hoveyda-type olefin metathesis catalyst,metal_catalyst,Grubbs catalyst,alkene metathesis,"dichloromethane, toluene",N/A,CC(C[Si]1(O[Si](CC(C)C)(O2)O[Si](CCCNC(OCCc3ccc(OC(C)C)c(C=[Ru](Cl)(Cl)=C4N(c5c(C)cc(C)cc5C)CCN4c6c(C)cc(C)cc6C)c3)=O)(O7)O8)O[Si]9(CC(C)C)O[Si]2(CC(C)C)O[Si]7(CC(C)C)O[Si](O9)(CC(C)C)O[Si]8(CC(C)C)O1)C,CC(C[Si]1(O[Si](CC(C)C)(O2)O[Si](CCCNC(OCCc3ccc(OC(C)C)c(C=[Ru](Cl)(Cl)=C4N(c5c(C)cc(C)cc5C)CCN4c6c(C)cc(C)cc6C)c3)=O)(O7)O8)O[Si]9(CC(C)C)O[Si]2(CC(C)C)O[Si]7(CC(C)C)O[Si](O9)(CC(C)C)O[Si]8(CC(C)C)O1)C,CC(C[Si]1(O[Si](CC(C)C)(O2)O[Si](CCCNC(OCCc3ccc(OC(C)C)c(C=[Ru](Cl)(Cl)=C4N(c5c(C)cc(C)cc5C)CCN4c6c(C)cc(C)cc6C)c3)=O)(O7)O8)O[Si]9(CC(C)C)O[Si]2(CC(C)C)O[Si]7(CC(C)C)O[Si](O9)(CC(C)C)O[Si]8(CC(C)C)O1)C,CC(C[Si]1(O[Si](CC(C)C)(O2)O[Si](CCCNC(OCCc3ccc(OC(C)C)c(C=[Ru](Cl)(Cl)=C4N(c5c(C)cc(C)cc5C)CCN4c6c(C)cc(C)cc6C)c3)=O)(O7)O8)O[Si]9(CC(C)C)O[Si]2(CC(C)C)O[Si]7(CC(C)C)O[Si](O9)(CC(C)C)O[Si]8(CC(C)C)O1)C,CC(C[Si]1(O[Si](CC(C)C)(O2)O[Si](CCCNC(OCCc3ccc(OC(C)C)c(C=[Ru](Cl)(Cl)=C4N(c5c(C)cc(C)cc5C)CCN4c6c(C)cc(C)cc6C)c3)=O)(O7)O8)O[Si]9(CC(C)C)O[Si]2(CC(C)C)O[Si]7(CC(C)C)O[Si](O9)(CC(C)C)O[Si]8(CC(C)C)O1)C,CC(C[Si]1(O[Si](CC(C)C)(O2)O[Si](CCCNC(OCCc3ccc(OC(C)C)c(C=[Ru](Cl)(Cl)=C4N(c5c(C)cc(C)cc5C)CCN4c6c(C)cc(C)cc6C)c3)=O)(O7)O8)O[Si]9(CC(C)C)O[Si]2(CC(C)C)O[Si]7(CC(C)C)O[Si](O9)(CC(C)C)O[Si]8(CC(C)C)O1)C,CC(C)C[Si](O1)(O[Si](O[Si](O2)(CCCNC(OCCC3=CC(C=[Ru](Cl)(Cl)=C4N(CCN4C5=C(C)C=C(C)C=C5C)C(C(C)=C6)=C(C)C=C6C)=C(OC(C)C)C=C3)=O)O7)(CC(C)C)O8)O[Si]2(CC(C)C)O[Si](O9)(CC(C)C)O[Si]7(CC(C)C)O[Si]8(CC(C)C)O[Si]91CC(C)C,,
