,1-Heptanol,Acetonitrile,Cyclohexane,Ethanol,Methanol,Petroleum ether,Toluene,Ethyl acetate,Dimethylformamide
GMT-oNF-2,0.099610805,0.153480228,1.720593979,0.195522762,0.101115447,3.650866078,0.341009623,3.897707231,
PMPerformance,0.153148645,2.530907666,0.838347025,0.538615965,,1.418404367,0.716741199,,
DM150,,0.177021216,,0.02,0.7475,,,,
DM300,,0.51909254,,0.078074137,1.23,,0.12736504,0.27,
SS150101,,3.30137418,,1.482130186,,,,,
SS336,,0.45587198,0.08184746,0.320534523,,0.762989989,0.797692245,2.439741329,
GMT-NC,,1.819539983,,0.854564774,,,,,
SeppurePT,,0.021765249,,0.0141,0.021590397,,,,
NFX,,0.36,,0.24,,,,,
VeoliaDuracid,,0.06,,0.04,,,,,
TS40,,1.46,,0.3787,,,,,
SB90,,0.34,,2.033857,,,,,
PMS600,,0.42,,0.27,0.01,,2.51,2.51,
P84,,,,,,,,,2.21
PBI,,3.677248677,,0.888617555,4.618653659,,3.121693122,,3.55
DM500,,,,,1.46,,,,1
