id,solvent,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,livingston_parameter
0,1-Butanol,CCCCO,74.12,0.9,2.544,810,17.1,16,5.7,15.8,91.5,
1,1-Decene,C(CCCC=C)CCCC,140.27,3.923,0.815,741,2.7,15.8,1,2.2,190.6,
2,1-Dodecene,CCCCCCCCCCC=C,168.32,6.8,1.29,750,2.14,17.2,0,0,222,0
3,1-Heptanol,CCCCCCCO,116.2,2.7,6.8,820,10.9,16,5.3,5.3,141.4,
4,1-Nonanal,C(CCCC=O)CCCC,142.242,3.3,1.4,826,8.83,16.1,5.5,3.9,172.2,
5,1-Nonanol,C(CCCCO)CCCC,144.258,3.77,11.7,822,8.248,16,4.8,10.6,174.4,
6,1-Octanol,CCCCCCCCO,130.23,3,7.288,829,10.3,16,5,11.9,157.7,
7,1-Octene,C(CCC=C)CCC,112.216,4.47,0.737,715,2.1,15.3,1,2.4,158,
8,1-Undecanal,C(CCCCC=O)CCCCC,170.296,3.7161,1.4,830,3,16,3,5,206.4,
9,2-Methyltetrahydrofuran,CC1CCCO1,86.134,0.16,0.47,854,7,16.9,5,4.3,100.2,19.46
10,2-propanol,C(C)(C)O,60.096,0.05,2.27,785,18.6,15.8,6.1,16.4,76.8,7.98
11,Acetone,CC(=O)C,58.08,-0.24,0.32,784,20.7,15.5,10.4,7,74,92.36
12,Acetonitrile,C(C)#N,41.053,-0.33,0.34,786,37.5,15.3,18,6.1,52.6,160.91
13,Cyclohexane,C1CCCCC1,84.162,3.44,1.02,779,2.02,16.8,0,0.2,108.7,0
14,Dichloromethane,C(Cl)Cl,84.933,1.25,0.43,1322,8.93,18.2,6.3,6.1,63.9,44.06
15,Diethyl ether,CCOCC,74.12,0.98,0.2448,713,4.33,14.5,2.9,5.1,104.8,
16,Dimethyl carbonate,C(OC)(OC)=O,90.078,0.35,0.644,1069,3.1,15.5,3.9,9.7,84.2,
17,Dimethylacetamide,CC(N(C)C)=O,87.122,-0.253,2.14,942,37.78,16.8,11.5,10.2,92.5,27.4
18,Dimethylformamide,O=CN(C)C,73.095,-1.01,0.92,944,36.7,17.4,13.7,11.3,77,43.58
19,Ethanol,C(C)O,46.069,-0.31,1.2,789,24.6,15.8,8.8,19.4,58.5,21.71
20,Ethyl acetate,O(C(C)=O)CC,88.106,0.71,0.45,902,6.02,15.8,5.3,7.2,98.5,25.1
21,Methanol,CO,32.042,-0.77,0.593,791,32.6,15.1,12.3,22.3,40.7,88.5
22,Methanol-mix,CO.CCCCC(=O)OC,58.95976,0.1164,0.6026,823.96,23.704,15.356,9.868,17.148,69.98,
23,Methyl ethyl ketone,CC(CC)=O,72.107,0.29,0.43,805,18.5,16,9,5.1,90.1,47.02
24,Methyl pentanoate,CCCCC(=O)OC,116.16,2,0.623,894,4.8,15.9,4.7,6.2,132.2,
25,Methyl tert-butyl ether,CC(C)(C)OC,88.15,1.06,0.36,740,2.6,14.8,4.3,5,119.8,23.07
26,n-Heptane,CCCCCCC,100.205,4.39,0.39,684,1.92,15.3,0,0,147.4,0
27,n-Hexanal,C(CCC)CC=O,100.161,1.7656,1.4,810,10,15.8,8.5,5.4,120.2,
28,n-Hexane,C(CCC)CC,86.178,3.9,0.3,661,1.88,14.9,0,0,131.6,0
29,Octene-mix,C(CCC=C)CCC.C(CCCCO)CCCC.C(CCCC=O)CCCC,127.733,4.0025,3.6435,769.5,5.3195,15.675,3.075,4.825,165.65,
30,Petroleum ether,CCCCC,72.15,3.255,0.224,650,1.84,14.5,0,0,116.2,0
31,Tetrahydrofuran,C1CCOC1,72.107,0.46,0.55,889,7.58,16.8,5.7,8,81.7,29.29
32,Toluene,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,4.89
33,Water,O,18.015,-1.38,1,1000,80.1,15.5,16,42.3,18,
34,Toluene-Nonanal-mix,Cc1ccccc1.C(CCCC=O)CCCC,104.66625,2.8725,0.7925,856.75,3.9925,17.525,2.425,2.475,123.15,
35,Toluene-Tridecanal-mix,Cc1ccccc1.C(CCCC=C)CCCC.CCCCCCCCCCCCC=O,123.0066,3.5026,0.797,835.4,2.568,17.16,1.64,2.64,150,
36,Tridecanal,CCCCCCCCCCCCC=O,198.34,5.4,1.4,835,3,16,3,5,239,
37,Toluene-Octene-mix,Cc1ccccc1.C(CCC=C)CCC,97.15975,3.165,0.62675,829,2.31,17.325,1.3,2.1,119.6,
38,Toluene-Dodecene-mix,Cc1ccccc1.CCCCCCCCCCC=C,111.18575,3.7475,0.765,837.75,2.32,17.8,1.05,1.5,135.6,
