solute_smiles_1,solvent,membrane,solvent_smiles,solvent_viscosity,solvent_density,permeance,solute_diffusivity_1,solute_density_1,solute_mw_1,solute_solubility_1,solute_rejection_1,solute_molar_volume_1,solute_permeance_1,solute_cost_1
[Mg++].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,Toluene,SM122,Cc1ccccc1,0.00059,867.0,5e-13,1e-09,1300,0.32188909074000005,10000,0.827116,0.00024760699287692313,2.9742593982987574e-07,3159.26712
C1=C\CC/C=C\CC/1.[Cl-].[Ir+].[Cl-].[Ir+].C2=C\CC/C=C\CC/2,Toluene,SM122,Cc1ccccc1,0.00059,867.0,5e-13,1e-09,1300,0.672051358928,10000,0.8243885540000001,0.0005169625837907692,2.9071752865518907e-07,237325.044
CC(c1c(OC)c(C(C)(C)C)cc([P]2(c3ccc(OCO4)c4c3c5c6c(OCO6)ccc5[P](c7cc(C(C)(C)C)c(OC)c(C(C)(C)C)c7)(c8cc(C(C)(C)C)c(OC)c(C(C)(C)C)c8)[Ir+]2)c9cc(C(C)(C)C)c(OC)c(C(C)(C)C)c9)c1)(C)C,Toluene,SM122,Cc1ccccc1,0.00059,867.0,5e-13,1e-09,1300,1.37165172124009,10000,0.915191962,0.0010551167086462231,1.302916857378494e-07,661244.518
CC(c1cc(C=[N]2[C@H]3CCCC[C@@H]3[N]4=Cc5cc(C(C)(C)C)cc(C(C)(C)C)c5O[Mn]42(Cl)O6)c6c(C(C)(C)C)c1)(C)C,Toluene,SM122,Cc1ccccc1,0.00059,867.0,5e-13,1e-09,1300,0.634309776684,10000,0.9006223720000002,0.0004879305974492308,1.577494011754437e-07,41745.344
CC(c1c2c([P]3(c4ccccc4)c5ccccc5)ccc1)(c6c(O2)c([P]([Rh+]73O[C-](C=C(C)O7)C)(c8ccccc8)c9ccccc9)ccc6)C,Toluene,SM122,Cc1ccccc1,0.00059,867.0,5e-13,1e-09,1300,0.7801429473679999,10000,0.949146566,0.0006001099595138461,7.820308193177595e-08,
CC([O+]1[Ru]([C-]2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C)(Cl)(Cl)=Cc5cc(c6cc(C)c(O[Si](C(C)(C)C)(C)C)c(C)c6)ccc51)C,Toluene,SM122,Cc1ccccc1,0.00059,867.0,5e-13,1e-09,1300,0.8602844603500001,10000,0.958714192,0.0006617572771923077,6.309771441216828e-08,
CC(C[Si]1(O[Si](CC(C)C)(O2)O[Si](CCCNC(OCCc3ccc(OC(C)C)c(C=[Ru](Cl)(Cl)=C4N(c5c(C)cc(C)cc5C)CCN4c6c(C)cc(C)cc6C)c3)=O)(O7)O8)O[Si]9(CC(C)C)O[Si]2(CC(C)C)O[Si]7(CC(C)C)O[Si](O9)(CC(C)C)O[Si]8(CC(C)C)O1)C,Toluene,SM122,Cc1ccccc1,0.00059,867.0,5e-13,1e-09,1300,1.5694589867519992,10000,0.912686904,0.001207276143655384,1.3367521336660088e-07,
CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,Toluene,SM122,Cc1ccccc1,0.00059,867.0,5e-13,1e-09,1300,0.6261404684960001,10000,0.95620895,0.0004816465142276924,6.733217404553978e-08,363126.29
CC(C)c1cc(CN(C2CCCCC2)C3CCCCC3)cc(C(C)C)c1N(/C4=[Pd](Cl)\C/C=C\c5ccccc5)CCN4c6c(C(C)C)cc(CN(C7CCCCC7)C8CCCCC8)cc6C(C)C,Toluene,SM122,Cc1ccccc1,0.00059,867.0,5e-13,1e-09,1300,1.034612362656,10000,0.99290836,0.0007958556635815385,1.06663165014101e-08,50935.5469
CC(O[Co+3]12(OC(C)=C[C-](O1)C)(OC(C)=C[C-](O2)C)O3)=C[C-]3C,Toluene,SM122,Cc1ccccc1,0.00059,867.0,5e-13,1e-09,1300,0.356067008392,10000,0.58304631,0.0002738976987630769,8.925324131706006e-07,881.102232
O=C([O-][Pd]([P](c1ccccc1)(c2ccccc2)c3ccccc3)[P](c4ccccc4)(c5ccccc5)c6ccccc6)C,Toluene,SM122,Cc1ccccc1,0.00059,867.0,5e-13,1e-09,1300,0.68909961313591,10000,0.94996828,0.0005300766254891615,7.707722239303102e-08,
c1([P](c2ccccc2)([Pd][P](c3ccccc3)(c4ccccc4)c5ccccc5)c6ccccc6)ccccc1,Toluene,SM122,Cc1ccccc1,0.00059,867.0,5e-13,1e-09,1300,0.63008576022,10000,0.964088124,0.0004846813540153846,5.496542326896511e-08,
