,Membrane,Solvent,Safe Percentage NFcat
0,DM300,Toluene,10.16949152542373
1,SS336,Toluene,3.389830508474576
2,GMT-oNF-2,Acetonitrile,10.734463276836157
3,GMT-oNF-2,Ethanol,9.6045197740113
4,GMT-oNF-2,Ethyl acetate,8.47457627118644
5,DM300,Ethanol,20.33898305084746
6,SS336,Ethanol,16.38418079096045
7,GMT-oNF-2,Toluene,9.03954802259887
8,SS336,Ethyl acetate,4.519774011299435
9,PMPerformance,Ethyl acetate,3.954802259887006
10,PMPerformance,Toluene,7.909604519774012
11,DM300,Ethyl acetate,15.254237288135593
12,PMPerformance,Ethanol,2.824858757062147
13,PMPerformance,Acetonitrile,3.954802259887006
14,SS336,Acetonitrile,14.689265536723164
15,DM300,Acetonitrile,20.903954802259886
