SMILES,[Toxicity/AMES Mutagenesis] Predictions,[Toxicity/AMES Mutagenesis] Probability,[Toxicity/AMES Mutagenesis] Interpretation,[Toxicity/Avian] Predictions,[Toxicity/Avian] Probability,[Toxicity/Avian] Interpretation,[Toxicity/Bee] Predictions,[Toxicity/Bee] Probability,[Toxicity/Bee] Interpretation,[Toxicity/Bioconcentration Factor] Predictions,[Toxicity/Bioconcentration Factor] Interpretation,[Toxicity/Biodegradation] Predictions,[Toxicity/Biodegradation] Probability,[Toxicity/Biodegradation] Interpretation,[Toxicity/Carcinogenesis] Predictions,[Toxicity/Carcinogenesis] Probability,[Toxicity/Carcinogenesis] Interpretation,[Toxicity/Crustacean] Predictions,[Toxicity/Crustacean] Probability,[Toxicity/Crustacean] Interpretation,[Toxicity/Liver Injury I (DILI)] Predictions,[Toxicity/Liver Injury I (DILI)] Probability,[Toxicity/Liver Injury I (DILI)] Interpretation,[Toxicity/Eye Corrosion] Predictions,[Toxicity/Eye Corrosion] Probability,[Toxicity/Eye Corrosion] Interpretation,[Toxicity/Eye irritation] Predictions,[Toxicity/Eye irritation] Probability,[Toxicity/Eye irritation] Interpretation,[Toxicity/Maximum Tolerated Dose] Predictions,[Toxicity/Maximum Tolerated Dose] Interpretation,[Toxicity/Liver Injury II] Predictions,[Toxicity/Liver Injury II] Probability,[Toxicity/Liver Injury II] Interpretation,[Toxicity/hERG Blockers] Predictions,[Toxicity/hERG Blockers] Probability,[Toxicity/hERG Blockers] Interpretation,[Toxicity/Daphnia Maga] Predictions,[Toxicity/Daphnia Maga] Interpretation,[Toxicity/Micronucleos] Predictions,[Toxicity/Micronucleos] Probability,[Toxicity/Micronucleos] Interpretation,[Toxicity/NR-AhR] Predictions,[Toxicity/NR-AhR] Probability,[Toxicity/NR-AhR] Interpretation,[Toxicity/NR-AR] Predictions,[Toxicity/NR-AR] Probability,[Toxicity/NR-AR] Interpretation,[Toxicity/NR-AR-LBD] Predictions,[Toxicity/NR-AR-LBD] Probability,[Toxicity/NR-AR-LBD] Interpretation,[Toxicity/NR-Aromatase] Predictions,[Toxicity/NR-Aromatase] Probability,[Toxicity/NR-Aromatase] Interpretation,[Toxicity/NR-ER] Predictions,[Toxicity/NR-ER] Probability,[Toxicity/NR-ER] Interpretation,[Toxicity/NR-ER-LBD] Predictions,[Toxicity/NR-ER-LBD] Probability,[Toxicity/NR-ER-LBD] Interpretation,[Toxicity/NR-GR] Predictions,[Toxicity/NR-GR] Probability,[Toxicity/NR-GR] Interpretation,[Toxicity/NR-PPAR-gamma] Predictions,[Toxicity/NR-PPAR-gamma] Probability,[Toxicity/NR-PPAR-gamma] Interpretation,[Toxicity/NR-TR] Predictions,[Toxicity/NR-TR] Probability,[Toxicity/NR-TR] Interpretation,[Toxicity/T. Pyriformis] Predictions,[Toxicity/T. Pyriformis] Interpretation,[Toxicity/Rat (Acute)] Predictions,[Toxicity/Rat (Acute)] Interpretation,[Toxicity/Rat (Chronic Oral)] Predictions,[Toxicity/Rat (Chronic Oral)] Interpretation,[Toxicity/Fathead Minnow] Predictions,[Toxicity/Fathead Minnow] Interpretation,[Toxicity/Respiratory Disease] Predictions,[Toxicity/Respiratory Disease] Probability,[Toxicity/Respiratory Disease] Interpretation,[Toxicity/Skin Sensitisation] Predictions,[Toxicity/Skin Sensitisation] Probability,[Toxicity/Skin Sensitisation] Interpretation,[Toxicity/SR-ARE] Predictions,[Toxicity/SR-ARE] Probability,[Toxicity/SR-ARE] Interpretation,[Toxicity/SR-ATAD5] Predictions,[Toxicity/SR-ATAD5] Probability,[Toxicity/SR-ATAD5] Interpretation,[Toxicity/SR-HSE] Predictions,[Toxicity/SR-HSE] Probability,[Toxicity/SR-HSE] Interpretation,[Toxicity/SR-MMP] Predictions,[Toxicity/SR-MMP] Probability,[Toxicity/SR-MMP] Interpretation,[Toxicity/SR-p53] Predictions,[Toxicity/SR-p53] Probability,[Toxicity/SR-p53] Interpretation
CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,Toxic,0.999,Toxic  (High Confidence),Safe,0.023,Safe  (High Confidence),Toxic,0.588,Toxic  (Low Confidence),0.960,None,Safe,0.000,Safe  (High Confidence),Safe,0.453,Safe  (Low Confidence),Toxic,0.856,Toxic  (High Confidence),Toxic,0.734,Toxic  (Medium Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.005,Safe  (High Confidence),0.630,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.749,Toxic  (Medium Confidence),Safe,0.005,Safe  (High Confidence),6.720,None,Toxic,0.994,Toxic  (High Confidence),Safe,0.101,Safe  (High Confidence),Safe,0.366,Safe  (Low Confidence),Safe,0.375,Safe  (Low Confidence),Safe,0.249,Safe  (Medium Confidence),Safe,0.101,Safe  (High Confidence),Safe,0.002,Safe  (High Confidence),Toxic,0.906,Toxic  (High Confidence),Safe,0.022,Safe  (High Confidence),Safe,0.011,Safe  (High Confidence),-41.990,PIGC50% > -0.5 log ug/L: toxic,2.770,None,2.310,None,4.120,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.952,Toxic  (High Confidence),Toxic,0.511,Toxic  (Low Confidence),Safe,0.490,Safe  (Low Confidence),Safe,0.079,Safe  (High Confidence),Safe,0.291,Safe  (Medium Confidence),Toxic,0.940,Toxic  (High Confidence),Safe,0.005,Safe  (High Confidence)
O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,Safe,0.007,Safe  (High Confidence),Safe,0.112,Safe  (High Confidence),Safe,0.219,Safe  (Medium Confidence),0.700,None,Safe,0.000,Safe  (High Confidence),Safe,0.161,Safe  (High Confidence),Toxic,0.845,Toxic  (High Confidence),Toxic,0.588,Toxic  (Low Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.013,Safe  (High Confidence),0.050,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.814,Toxic  (Medium Confidence),Toxic,0.855,Toxic  (High Confidence),5.260,None,Toxic,0.997,Toxic  (High Confidence),Safe,0.368,Safe  (Low Confidence),Safe,0.141,Safe  (High Confidence),Safe,0.002,Safe  (High Confidence),Safe,0.002,Safe  (High Confidence),Safe,0.053,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.086,Safe  (High Confidence),Safe,0.014,Safe  (High Confidence),Safe,0.031,Safe  (High Confidence),-8.810,PIGC50% > -0.5 log ug/L: toxic,2.060,None,1.940,None,4.830,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.099,Safe  (High Confidence),Toxic,0.544,Toxic  (Low Confidence),Safe,0.186,Safe  (Medium Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.085,Safe  (High Confidence),Toxic,0.765,Toxic  (Medium Confidence),Safe,0.001,Safe  (High Confidence)
CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,Safe,0.076,Safe  (High Confidence),Safe,0.039,Safe  (High Confidence),Toxic,0.581,Toxic  (Low Confidence),1.130,None,Safe,0.000,Safe  (High Confidence),Safe,0.154,Safe  (High Confidence),Toxic,0.989,Toxic  (High Confidence),Toxic,0.735,Toxic  (Medium Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.003,Safe  (High Confidence),0.880,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.847,Toxic  (High Confidence),Safe,0.000,Safe  (High Confidence),5.010,None,Toxic,0.995,Toxic  (High Confidence),Toxic,0.806,Toxic  (Medium Confidence),Safe,0.087,Safe  (High Confidence),Safe,0.194,Safe  (Medium Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.045,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Toxic,0.683,Toxic  (Medium Confidence),Safe,0.057,Safe  (High Confidence),Toxic,0.913,Toxic  (High Confidence),-53.290,PIGC50% > -0.5 log ug/L: toxic,2.700,None,1.160,None,4.950,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.050,Safe  (High Confidence),Safe,0.300,Safe  (Medium Confidence),Toxic,0.921,Toxic  (High Confidence),Safe,0.148,Safe  (High Confidence),Safe,0.158,Safe  (High Confidence),Toxic,0.745,Toxic  (Medium Confidence),Safe,0.016,Safe  (High Confidence)
O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,Safe,0.026,Safe  (High Confidence),Safe,0.002,Safe  (High Confidence),Safe,0.424,Safe  (Low Confidence),0.640,None,Safe,0.000,Safe  (High Confidence),Safe,0.120,Safe  (High Confidence),Toxic,0.943,Toxic  (High Confidence),Toxic,0.579,Toxic  (Low Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.009,Safe  (High Confidence),-0.440,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.673,Toxic  (Medium Confidence),Safe,0.043,Safe  (High Confidence),6.160,None,Toxic,1.000,Toxic  (High Confidence),Toxic,0.871,Toxic  (High Confidence),Safe,0.044,Safe  (High Confidence),Safe,0.003,Safe  (High Confidence),Safe,0.005,Safe  (High Confidence),Safe,0.042,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.062,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.177,Safe  (Medium Confidence),0.340,PIGC50% > -0.5 log ug/L: toxic,2.550,None,1.150,None,4.870,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.937,Toxic  (High Confidence),Toxic,0.638,Toxic  (Low Confidence),Safe,0.231,Safe  (Medium Confidence),Safe,0.003,Safe  (High Confidence),Safe,0.015,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.002,Safe  (High Confidence)
C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,Toxic,0.974,Toxic  (High Confidence),Safe,0.002,Safe  (High Confidence),Safe,0.432,Safe  (Low Confidence),-0.320,None,Safe,0.000,Safe  (High Confidence),Safe,0.019,Safe  (High Confidence),Toxic,0.998,Toxic  (High Confidence),Toxic,0.512,Toxic  (Low Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.003,Safe  (High Confidence),0.360,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.617,Toxic  (Low Confidence),Safe,0.000,Safe  (High Confidence),9.610,None,Toxic,1.000,Toxic  (High Confidence),Safe,0.355,Safe  (Low Confidence),Safe,0.069,Safe  (High Confidence),Safe,0.012,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.109,Safe  (High Confidence),Safe,0.102,Safe  (High Confidence),Safe,0.025,Safe  (High Confidence),Safe,0.003,Safe  (High Confidence),Safe,0.116,Safe  (High Confidence),1.550,PIGC50% > -0.5 log ug/L: toxic,2.600,None,1.460,None,4.310,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.054,Safe  (High Confidence),Toxic,0.529,Toxic  (Low Confidence),Safe,0.168,Safe  (Medium Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.155,Safe  (High Confidence),Safe,0.037,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence)
CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,Toxic,0.782,Toxic  (Medium Confidence),Safe,0.025,Safe  (High Confidence),Toxic,0.891,Toxic  (High Confidence),1.300,None,Safe,0.000,Safe  (High Confidence),Safe,0.055,Safe  (High Confidence),Toxic,0.998,Toxic  (High Confidence),Toxic,0.673,Toxic  (Medium Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),-0.020,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.851,Toxic  (High Confidence),Toxic,0.908,Toxic  (High Confidence),8.640,None,Toxic,1.000,Toxic  (High Confidence),Safe,0.186,Safe  (Medium Confidence),Safe,0.202,Safe  (Medium Confidence),Safe,0.005,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.076,Safe  (High Confidence),Safe,0.004,Safe  (High Confidence),Toxic,0.710,Toxic  (Medium Confidence),Safe,0.002,Safe  (High Confidence),Toxic,0.978,Toxic  (High Confidence),-2767.850,PIGC50% > -0.5 log ug/L: toxic,3.020,None,1.040,None,12.650,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.991,Toxic  (High Confidence),Toxic,0.510,Toxic  (Low Confidence),Toxic,0.513,Toxic  (Low Confidence),Safe,0.007,Safe  (High Confidence),Safe,0.032,Safe  (High Confidence),Toxic,0.887,Toxic  (High Confidence),Toxic,0.611,Toxic  (Low Confidence)
CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,Safe,0.000,Safe  (High Confidence),Safe,0.097,Safe  (High Confidence),Safe,0.341,Safe  (Low Confidence),0.990,None,Safe,0.000,Safe  (High Confidence),Safe,0.108,Safe  (High Confidence),Toxic,0.657,Toxic  (Low Confidence),Toxic,0.642,Toxic  (Low Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.005,Safe  (High Confidence),-0.120,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.883,Toxic  (High Confidence),Safe,0.047,Safe  (High Confidence),5.970,None,Toxic,0.993,Toxic  (High Confidence),Safe,0.114,Safe  (High Confidence),Safe,0.073,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.023,Safe  (High Confidence),Safe,0.022,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.185,Safe  (Medium Confidence),Safe,0.026,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),-386.240,PIGC50% > -0.5 log ug/L: toxic,2.670,None,1.320,None,6.150,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.934,Toxic  (High Confidence),Safe,0.326,Safe  (Medium Confidence),Toxic,0.855,Toxic  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.009,Safe  (High Confidence),Toxic,0.793,Toxic  (Medium Confidence),Safe,0.001,Safe  (High Confidence)
CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,Safe,0.002,Safe  (High Confidence),Safe,0.462,Safe  (Low Confidence),Toxic,0.503,Toxic  (Low Confidence),-0.080,None,Safe,0.000,Safe  (High Confidence),Safe,0.014,Safe  (High Confidence),Toxic,0.929,Toxic  (High Confidence),Safe,0.262,Safe  (Medium Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),-0.640,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.868,Toxic  (High Confidence),Toxic,0.998,Toxic  (High Confidence),4.920,None,Toxic,0.999,Toxic  (High Confidence),Toxic,0.564,Toxic  (Low Confidence),Safe,0.042,Safe  (High Confidence),Safe,0.059,Safe  (High Confidence),Safe,0.053,Safe  (High Confidence),Safe,0.091,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.039,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.211,Safe  (Medium Confidence),-781.990,PIGC50% > -0.5 log ug/L: toxic,3.180,None,1.070,None,5.780,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,1.000,Toxic  (High Confidence),Safe,0.400,Safe  (Low Confidence),Safe,0.455,Safe  (Low Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.020,Safe  (High Confidence),Safe,0.007,Safe  (High Confidence),Safe,0.015,Safe  (High Confidence)
O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,Toxic,0.549,Toxic  (Low Confidence),Safe,0.118,Safe  (High Confidence),Toxic,0.502,Toxic  (Low Confidence),-0.030,None,Safe,0.000,Safe  (High Confidence),Safe,0.212,Safe  (Medium Confidence),Toxic,0.724,Toxic  (Medium Confidence),Toxic,0.659,Toxic  (Low Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.009,Safe  (High Confidence),0.430,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.851,Toxic  (High Confidence),Safe,0.137,Safe  (High Confidence),5.450,None,Toxic,0.993,Toxic  (High Confidence),Safe,0.410,Safe  (Low Confidence),Safe,0.009,Safe  (High Confidence),Safe,0.077,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.062,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.239,Safe  (Medium Confidence),Safe,0.006,Safe  (High Confidence),Safe,0.076,Safe  (High Confidence),-3.420,PIGC50% > -0.5 log ug/L: toxic,2.570,None,1.640,None,4.130,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.997,Toxic  (High Confidence),Toxic,0.609,Toxic  (Low Confidence),Safe,0.477,Safe  (Low Confidence),Safe,0.374,Safe  (Low Confidence),Safe,0.109,Safe  (High Confidence),Safe,0.147,Safe  (High Confidence),Safe,0.011,Safe  (High Confidence)
CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,Safe,0.010,Safe  (High Confidence),Safe,0.063,Safe  (High Confidence),Toxic,0.576,Toxic  (Low Confidence),1.150,None,Safe,0.000,Safe  (High Confidence),Safe,0.146,Safe  (High Confidence),Toxic,1.000,Toxic  (High Confidence),Toxic,0.683,Toxic  (Medium Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.003,Safe  (High Confidence),0.530,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.836,Toxic  (High Confidence),Safe,0.000,Safe  (High Confidence),6.420,None,Toxic,0.995,Toxic  (High Confidence),Safe,0.463,Safe  (Low Confidence),Safe,0.219,Safe  (Medium Confidence),Safe,0.011,Safe  (High Confidence),Safe,0.021,Safe  (High Confidence),Safe,0.077,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.424,Safe  (Low Confidence),Safe,0.014,Safe  (High Confidence),Safe,0.044,Safe  (High Confidence),-636.350,PIGC50% > -0.5 log ug/L: toxic,2.590,None,1.710,None,6.640,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,0.648,Toxic  (Low Confidence),Safe,0.384,Safe  (Low Confidence),Safe,0.434,Safe  (Low Confidence),Safe,0.054,Safe  (High Confidence),Safe,0.069,Safe  (High Confidence),Toxic,0.926,Toxic  (High Confidence),Safe,0.003,Safe  (High Confidence)
