SMILES,[Toxicity/AMES Mutagenesis] Predictions,[Toxicity/AMES Mutagenesis] Probability,[Toxicity/AMES Mutagenesis] Interpretation,[Toxicity/Avian] Predictions,[Toxicity/Avian] Probability,[Toxicity/Avian] Interpretation,[Toxicity/Bee] Predictions,[Toxicity/Bee] Probability,[Toxicity/Bee] Interpretation,[Toxicity/Bioconcentration Factor] Predictions,[Toxicity/Bioconcentration Factor] Interpretation,[Toxicity/Biodegradation] Predictions,[Toxicity/Biodegradation] Probability,[Toxicity/Biodegradation] Interpretation,[Toxicity/Carcinogenesis] Predictions,[Toxicity/Carcinogenesis] Probability,[Toxicity/Carcinogenesis] Interpretation,[Toxicity/Crustacean] Predictions,[Toxicity/Crustacean] Probability,[Toxicity/Crustacean] Interpretation,[Toxicity/Liver Injury I (DILI)] Predictions,[Toxicity/Liver Injury I (DILI)] Probability,[Toxicity/Liver Injury I (DILI)] Interpretation,[Toxicity/Eye Corrosion] Predictions,[Toxicity/Eye Corrosion] Probability,[Toxicity/Eye Corrosion] Interpretation,[Toxicity/Eye irritation] Predictions,[Toxicity/Eye irritation] Probability,[Toxicity/Eye irritation] Interpretation,[Toxicity/Maximum Tolerated Dose] Predictions,[Toxicity/Maximum Tolerated Dose] Interpretation,[Toxicity/Liver Injury II] Predictions,[Toxicity/Liver Injury II] Probability,[Toxicity/Liver Injury II] Interpretation,[Toxicity/hERG Blockers] Predictions,[Toxicity/hERG Blockers] Probability,[Toxicity/hERG Blockers] Interpretation,[Toxicity/Daphnia Maga] Predictions,[Toxicity/Daphnia Maga] Interpretation,[Toxicity/Micronucleos] Predictions,[Toxicity/Micronucleos] Probability,[Toxicity/Micronucleos] Interpretation,[Toxicity/NR-AhR] Predictions,[Toxicity/NR-AhR] Probability,[Toxicity/NR-AhR] Interpretation,[Toxicity/NR-AR] Predictions,[Toxicity/NR-AR] Probability,[Toxicity/NR-AR] Interpretation,[Toxicity/NR-AR-LBD] Predictions,[Toxicity/NR-AR-LBD] Probability,[Toxicity/NR-AR-LBD] Interpretation,[Toxicity/NR-Aromatase] Predictions,[Toxicity/NR-Aromatase] Probability,[Toxicity/NR-Aromatase] Interpretation,[Toxicity/NR-ER] Predictions,[Toxicity/NR-ER] Probability,[Toxicity/NR-ER] Interpretation,[Toxicity/NR-ER-LBD] Predictions,[Toxicity/NR-ER-LBD] Probability,[Toxicity/NR-ER-LBD] Interpretation,[Toxicity/NR-GR] Predictions,[Toxicity/NR-GR] Probability,[Toxicity/NR-GR] Interpretation,[Toxicity/NR-PPAR-gamma] Predictions,[Toxicity/NR-PPAR-gamma] Probability,[Toxicity/NR-PPAR-gamma] Interpretation,[Toxicity/NR-TR] Predictions,[Toxicity/NR-TR] Probability,[Toxicity/NR-TR] Interpretation,[Toxicity/T. Pyriformis] Predictions,[Toxicity/T. Pyriformis] Interpretation,[Toxicity/Rat (Acute)] Predictions,[Toxicity/Rat (Acute)] Interpretation,[Toxicity/Rat (Chronic Oral)] Predictions,[Toxicity/Rat (Chronic Oral)] Interpretation,[Toxicity/Fathead Minnow] Predictions,[Toxicity/Fathead Minnow] Interpretation,[Toxicity/Respiratory Disease] Predictions,[Toxicity/Respiratory Disease] Probability,[Toxicity/Respiratory Disease] Interpretation,[Toxicity/Skin Sensitisation] Predictions,[Toxicity/Skin Sensitisation] Probability,[Toxicity/Skin Sensitisation] Interpretation,[Toxicity/SR-ARE] Predictions,[Toxicity/SR-ARE] Probability,[Toxicity/SR-ARE] Interpretation,[Toxicity/SR-ATAD5] Predictions,[Toxicity/SR-ATAD5] Probability,[Toxicity/SR-ATAD5] Interpretation,[Toxicity/SR-HSE] Predictions,[Toxicity/SR-HSE] Probability,[Toxicity/SR-HSE] Interpretation,[Toxicity/SR-MMP] Predictions,[Toxicity/SR-MMP] Probability,[Toxicity/SR-MMP] Interpretation,[Toxicity/SR-p53] Predictions,[Toxicity/SR-p53] Probability,[Toxicity/SR-p53] Interpretation
c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,Safe,0.000,Safe  (High Confidence),Toxic,1.000,Toxic  (High Confidence),Safe,0.000,Safe  (High Confidence),-488429.170,None,Safe,0.000,Safe  (High Confidence),Toxic,0.717,Toxic  (Medium Confidence),Toxic,1.000,Toxic  (High Confidence),Safe,0.404,Safe  (Low Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),0.720,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.964,Toxic  (High Confidence),Toxic,1.000,Toxic  (High Confidence),4.050,None,Toxic,1.000,Toxic  (High Confidence),Safe,0.008,Safe  (High Confidence),Safe,0.048,Safe  (High Confidence),Safe,0.189,Safe  (Medium Confidence),Toxic,0.940,Toxic  (High Confidence),Safe,0.447,Safe  (Low Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.010,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Toxic,0.997,Toxic  (High Confidence),-38115142105.980,PIGC50% > -0.5 log ug/L: toxic,1.960,None,78.780,None,48112311.500,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,1.000,Toxic  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.136,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Toxic,0.971,Toxic  (High Confidence),Safe,0.314,Safe  (Medium Confidence),Toxic,1.000,Toxic  (High Confidence)
c1(P(c2ccccc2)c3ccccc3)ccccc1,Safe,0.001,Safe  (High Confidence),Safe,0.253,Safe  (Medium Confidence),Safe,0.226,Safe  (Medium Confidence),3.200,None,Safe,0.075,Safe  (High Confidence),Toxic,0.511,Toxic  (Low Confidence),Toxic,0.998,Toxic  (High Confidence),Toxic,0.600,Toxic  (Low Confidence),Toxic,0.648,Toxic  (Low Confidence),Toxic,0.995,Toxic  (High Confidence),0.290,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.670,Toxic  (Medium Confidence),Toxic,0.872,Toxic  (High Confidence),6.250,None,Safe,0.462,Safe  (Low Confidence),Safe,0.088,Safe  (High Confidence),Safe,0.129,Safe  (High Confidence),Safe,0.005,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.226,Safe  (Medium Confidence),Safe,0.064,Safe  (High Confidence),Safe,0.031,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),5.400,PIGC50% > -0.5 log ug/L: toxic,2.310,None,1.250,None,5.100,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.002,Safe  (High Confidence),Toxic,0.786,Toxic  (Medium Confidence),Safe,0.013,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.176,Safe  (Medium Confidence),Toxic,0.970,Toxic  (High Confidence),Safe,0.293,Safe  (Medium Confidence)
c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,Safe,0.000,Safe  (High Confidence),Safe,0.245,Safe  (Medium Confidence),Safe,0.423,Safe  (Low Confidence),4.040,None,Safe,0.009,Safe  (High Confidence),Safe,0.488,Safe  (Low Confidence),Toxic,1.000,Toxic  (High Confidence),Safe,0.434,Safe  (Low Confidence),Safe,0.000,Safe  (High Confidence),Toxic,0.824,Toxic  (Medium Confidence),0.530,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.612,Toxic  (Low Confidence),Toxic,0.946,Toxic  (High Confidence),8.170,None,Toxic,0.560,Toxic  (Low Confidence),Safe,0.038,Safe  (High Confidence),Safe,0.106,Safe  (High Confidence),Safe,0.005,Safe  (High Confidence),Safe,0.004,Safe  (High Confidence),Safe,0.202,Safe  (Medium Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.028,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.112,Safe  (High Confidence),-66.770,PIGC50% > -0.5 log ug/L: toxic,2.000,None,1.200,None,6.000,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.000,Safe  (High Confidence),Toxic,0.852,Toxic  (High Confidence),Safe,0.028,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.464,Safe  (Low Confidence),Toxic,0.901,Toxic  (High Confidence),Toxic,0.658,Toxic  (Low Confidence)
C1=C\CC/C=C\CC/1,Safe,0.022,Safe  (High Confidence),Safe,0.032,Safe  (High Confidence),Safe,0.377,Safe  (Low Confidence),1.550,None,Safe,0.281,Safe  (Medium Confidence),Toxic,0.643,Toxic  (Low Confidence),Toxic,0.877,Toxic  (High Confidence),Safe,0.408,Safe  (Low Confidence),Toxic,0.995,Toxic  (High Confidence),Toxic,1.000,Toxic  (High Confidence),0.820,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Safe,0.488,Safe  (Low Confidence),Safe,0.000,Safe  (High Confidence),4.300,None,Safe,0.002,Safe  (High Confidence),Safe,0.006,Safe  (High Confidence),Safe,0.019,Safe  (High Confidence),Safe,0.012,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.021,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.002,Safe  (High Confidence),Safe,0.003,Safe  (High Confidence),Safe,0.009,Safe  (High Confidence),2.460,PIGC50% > -0.5 log ug/L: toxic,1.880,None,2.090,None,3.880,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.003,Safe  (High Confidence),Toxic,0.726,Toxic  (Medium Confidence),Safe,0.006,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.099,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence)
CC(c1c(OC)c(C(C)(C)C)cc([P]2(c3ccc(OCO4)c4c3c5c6c(OCO6)ccc5[P](c7cc(C(C)(C)C)c(OC)c(C(C)(C)C)c7)(c8cc(C(C)(C)C)c(OC)c(C(C)(C)C)c8)[Ir+]2)c9cc(C(C)(C)C)c(OC)c(C(C)(C)C)c9)c1)(C)C,Safe,0.000,Safe  (High Confidence),Toxic,1.000,Toxic  (High Confidence),Safe,0.000,Safe  (High Confidence),-24969564647.110,None,Toxic,1.000,Toxic  (High Confidence),Safe,0.053,Safe  (High Confidence),Toxic,1.000,Toxic  (High Confidence),Safe,0.002,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),-10198.890,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.937,Toxic  (High Confidence),Toxic,1.000,Toxic  (High Confidence),4.050,None,Toxic,1.000,Toxic  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.066,Safe  (High Confidence),Safe,0.022,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.004,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Toxic,0.965,Toxic  (High Confidence),-1948536946356615.250,PIGC50% > -0.5 log ug/L: toxic,2.540,None,4179440.040,None,2459614171090.590,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,1.000,Toxic  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Toxic,0.597,Toxic  (Low Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence)
CC(c1cc(C=[N]2[C@H]3CCCC[C@@H]3[N]4=Cc5cc(C(C)(C)C)cc(C(C)(C)C)c5O[Mn]42(Cl)O6)c6c(C(C)(C)C)c1)(C)C,Safe,0.002,Safe  (High Confidence),Toxic,0.598,Toxic  (Low Confidence),Toxic,0.867,Toxic  (High Confidence),3.080,None,Safe,0.000,Safe  (High Confidence),Safe,0.034,Safe  (High Confidence),Toxic,1.000,Toxic  (High Confidence),Safe,0.032,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Toxic,0.837,Toxic  (High Confidence),-0.750,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.721,Toxic  (Medium Confidence),Safe,0.008,Safe  (High Confidence),9.030,None,Safe,0.359,Safe  (Low Confidence),Safe,0.016,Safe  (High Confidence),Safe,0.158,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.044,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.002,Safe  (High Confidence),Safe,0.019,Safe  (High Confidence),Toxic,0.914,Toxic  (High Confidence),-4790.850,PIGC50% > -0.5 log ug/L: toxic,2.820,None,0.600,None,21.150,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.021,Safe  (High Confidence),Toxic,0.913,Toxic  (High Confidence),Safe,0.036,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.297,Safe  (Medium Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence)
CC(c1c2c([P]3(c4ccccc4)c5ccccc5)ccc1)(c6c(O2)c([P]([Rh+]73O[C-](C=C(C)O7)C)(c8ccccc8)c9ccccc9)ccc6)C,Safe,0.002,Safe  (High Confidence),Toxic,0.998,Toxic  (High Confidence),Toxic,0.777,Toxic  (Medium Confidence),-30.370,None,Safe,0.000,Safe  (High Confidence),Safe,0.095,Safe  (High Confidence),Toxic,1.000,Toxic  (High Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Toxic,0.997,Toxic  (High Confidence),-1.400,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.988,Toxic  (High Confidence),Safe,0.121,Safe  (High Confidence),9.730,None,Toxic,0.996,Toxic  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.141,Safe  (High Confidence),Safe,0.253,Safe  (Medium Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.013,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),-2173961.050,PIGC50% > -0.5 log ug/L: toxic,2.890,None,-0.770,None,2756.900,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.000,Safe  (High Confidence),Safe,0.310,Safe  (Medium Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.041,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Toxic,0.767,Toxic  (Medium Confidence)
CC([O+]1[Ru]([C-]2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C)(Cl)(Cl)=Cc5cc(c6cc(C)c(O[Si](C(C)(C)C)(C)C)c(C)c6)ccc51)C,Safe,0.002,Safe  (High Confidence),Toxic,0.992,Toxic  (High Confidence),Toxic,0.772,Toxic  (Medium Confidence),-10.440,None,Safe,0.000,Safe  (High Confidence),Safe,0.185,Safe  (Medium Confidence),Toxic,1.000,Toxic  (High Confidence),Safe,0.397,Safe  (Low Confidence),Safe,0.000,Safe  (High Confidence),Toxic,0.848,Toxic  (High Confidence),-0.770,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.836,Toxic  (High Confidence),Safe,0.098,Safe  (High Confidence),8.030,None,Toxic,0.876,Toxic  (High Confidence),Safe,0.108,Safe  (High Confidence),Safe,0.059,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.019,Safe  (High Confidence),Safe,0.147,Safe  (High Confidence),Safe,0.313,Safe  (Medium Confidence),Safe,0.002,Safe  (High Confidence),Safe,0.056,Safe  (High Confidence),-908850.360,PIGC50% > -0.5 log ug/L: toxic,2.530,None,0.360,None,1159.100,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.001,Safe  (High Confidence),Toxic,0.758,Toxic  (Medium Confidence),Safe,0.008,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Toxic,0.792,Toxic  (Medium Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence)
CC(C[Si]1(O[Si](CC(C)C)(O2)O[Si](CCCNC(OCCc3ccc(OC(C)C)c(C=[Ru](Cl)(Cl)=C4N(c5c(C)cc(C)cc5C)CCN4c6c(C)cc(C)cc6C)c3)=O)(O7)O8)O[Si]9(CC(C)C)O[Si]2(CC(C)C)O[Si]7(CC(C)C)O[Si](O9)(CC(C)C)O[Si]8(CC(C)C)O1)C,Safe,0.117,Safe  (High Confidence),Toxic,1.000,Toxic  (High Confidence),Safe,0.000,Safe  (High Confidence),-1286731831062100.000,None,Toxic,1.000,Toxic  (High Confidence),Safe,0.007,Safe  (High Confidence),Toxic,1.000,Toxic  (High Confidence),Safe,0.215,Safe  (Medium Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.001,Safe  (High Confidence),-525387641.600,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.925,Toxic  (High Confidence),Toxic,1.000,Toxic  (High Confidence),4.050,None,Toxic,1.000,Toxic  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.034,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.237,Safe  (Medium Confidence),Safe,0.001,Safe  (High Confidence),Toxic,1.000,Toxic  (High Confidence),-100412009136984113152.000,PIGC50% > -0.5 log ug/L: toxic,80876.520,None,215374977527.660,None,126748758765063488.000,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Toxic,1.000,Toxic  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence)
CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,Safe,0.110,Safe  (High Confidence),Toxic,0.899,Toxic  (High Confidence),Toxic,0.638,Toxic  (Low Confidence),2.040,None,Safe,0.005,Safe  (High Confidence),Safe,0.227,Safe  (Medium Confidence),Toxic,1.000,Toxic  (High Confidence),Safe,0.489,Safe  (Low Confidence),Safe,0.000,Safe  (High Confidence),Toxic,0.885,Toxic  (High Confidence),-0.170,MTRD <= 0.477: Low<br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp;MTRD > 0.477: High,Toxic,0.818,Toxic  (Medium Confidence),Safe,0.005,Safe  (High Confidence),7.350,None,Toxic,0.732,Toxic  (Medium Confidence),Safe,0.235,Safe  (Medium Confidence),Safe,0.076,Safe  (High Confidence),Safe,0.003,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.056,Safe  (High Confidence),Safe,0.117,Safe  (High Confidence),Safe,0.299,Safe  (Medium Confidence),Safe,0.006,Safe  (High Confidence),Safe,0.084,Safe  (High Confidence),-628.440,PIGC50% > -0.5 log ug/L: toxic,2.490,None,0.970,None,7.950,LC50% < 0.5mM <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; (log LC50% < -0.3) = <br/>&nbsp;&nbsp;<br/>&nbsp;&nbsp; High Acute Toxicity,Safe,0.026,Safe  (High Confidence),Toxic,0.705,Toxic  (Medium Confidence),Safe,0.062,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence),Toxic,0.552,Toxic  (Low Confidence),Safe,0.000,Safe  (High Confidence),Safe,0.000,Safe  (High Confidence)
