,Unnamed: 0,id,solvent,permeance,pressure,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,temperature,solvent_smiles,solute_smiles,secondary_solute_smiles,solute_category,rejection,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,secondary_solute_ratio,source,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,membrane_DM150,membrane_DM300,membrane_DM500,membrane_GMT-oNF-2,membrane_PMPerformance,membrane_SM122,membrane_SS150101,membrane_SS336,membrane,process_configuration_CF,process_configuration_DE,process_configuration,nlc_rejection,test_standard,test_solute_disjoint,test_solute_disjoint_outer_val,is_augmented,id_original,loss_weight,attn_weight_0_admpnn_combi_v42a_fold1,atom_attns_primary_admpnn_combi_v42a_fold1,rejection_admpnn_combi_v42a_fold1
0,5231,5231,Ethyl acetate,14.53,20.0,500,59.0,-31.0,0,0,30.0,O(C(C)=O)CC,OC1=CC=C(C=C1OC)C=O,OC1=CC=C(C=C1OC)C=O,Unknown,0.179,152.149,1.2132999999999998,152.149,1.2132999999999998,0.5,nf10k,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,0,0,1,0,0,0,0,0,DM500,1,0,CF,0.0851281824599496,0,0,0,0,5231,0.3865677106143198,1.0,"{'ligand_0': (1.0000001192092896, 11)}",0.16633248
1,200,200,Acetonitrile,0.153480228,10.0,300,87.0,-8.0,0,0,21.0,C(C)#N,n1([Ru+2]23(n4c5c(n3ccc6)c6ccc5ccc4)7n8cccc9ccc%10cccn2c%10c89)cccc%11ccc%12cccn7c%12c1%11,n1([Ru+2]23(n4c5c(n3ccc6)c6ccc5ccc4)7n8cccc9ccc%10cccn2c%10c89)cccc%11ccc%12cccn7c%12c1%11,metal_catalyst,0.890707497,641.7,2.5283000000000007,641.7,2.5283000000000007,0.5,cat,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,0,0,1,0,0,0,0,GMT-oNF-2,0,1,DE,0.9574540072006656,0,0,0,0,200,5.365244157409308,1.0,"{'metal': (0.006180195603519678, 1), 'ligand_0': (0.33127325773239136, 14), 'ligand_1': (0.33127325773239136, 14), 'ligand_2': (0.33127325773239136, 14)}",0.94691396
2,5507,5507,n-Heptane,0.225,20.0,300,59.0,-37.5,0,0,22.0,CCCCCCC,C#Cc1ccccc1,C#Cc1ccccc1,Unknown,-0.00953911,102.13599999999998,1.6679000000000002,102.13599999999998,1.6679000000000002,0.5,nf10k,100.205,4.39,0.39,684.0,1.92,15.3,0.0,0.0,147.4,0,1,0,0,0,0,0,0,DM300,1,0,CF,-0.0045531262912042,0,0,0,0,5507,0.218933830913944,1.0,"{'ligand_0': (1.0, 8)}",0.02651465
3,5868,5868,Methanol,1.23,20.0,300,59.0,-37.5,0,0,22.0,CO,C1C2C=CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl,C1C2C=CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl,Unknown,1.0,364.9139999999999,5.270200000000001,364.9139999999999,5.270200000000001,0.5,nf10k,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,0,1,0,0,0,0,0,0,DM300,1,0,CF,3.0,0,0,0,0,5868,0.6568014927418321,1.0,"{'ligand_0': (1.0, 18)}",0.9838877
4,3696,3696,Methanol,0.7475,20.0,150,59.0,0.0,0,1,22.0,CO,CCCC(CO1)OC1(C2=C(Cl)C=C(Cl)C=C2)CN3N=CN=C3,CCCC(CO1)OC1(C2=C(Cl)C=C(Cl)C=C2)CN3N=CN=C3,Unknown,0.99,342.22600000000006,3.653400000000002,342.22600000000006,3.653400000000002,0.5,nf10k,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,1,0,0,0,0,0,0,0,DM150,1,0,CF,1.9586073148417744,0,0,0,0,3696,0.7454608281502991,1.0,"{'ligand_0': (0.9999999403953552, 22)}",0.9702784
5,3561,3561,Ethyl acetate,3.897707231,20.0,300,87.0,-8.0,0,0,22.0,O(C(C)=O)CC,COc1ncc(Br)cn1,COc1ncc(Br)cn1,Unknown,0.093292236,189.012,1.2477,189.012,1.2477,0.5,nf10k,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,0,0,0,1,0,0,0,0,GMT-oNF-2,1,0,CF,0.0420539498383489,0,0,0,0,3561,0.2645327510899702,1.0,"{'ligand_0': (1.0, 9)}",0.0567528
6,5564,5564,Acetone,2.314814815,20.0,500,82.0,0.0,0,1,22.0,CC(=O)C,Nc1ccc2[nH]ccc2c1,Nc1ccc2[nH]ccc2c1,Unknown,0.064222919,132.166,1.7500999999999998,132.166,1.7500999999999998,0.5,nf10k,58.08,-0.24,0.32,784.0,20.7,15.5,10.4,7.0,74.0,0,0,0,0,0,0,0,1,SS336,1,0,CF,0.0283637431673233,0,0,0,0,5564,0.26266300909925,1.0,"{'ligand_0': (1.0, 10)}",0.3585034
7,3707,3707,Dimethylformamide,0.9,20.0,300,59.0,-37.5,0,0,22.0,O=CN(C)C,CC=CC1=CC=C(C=C1)OC,CC=CC1=CC=C(C=C1)OC,Unknown,0.294774699,148.20499999999996,2.728300000000001,148.20499999999996,2.728300000000001,0.5,nf10k,73.095,-1.01,0.92,944.0,36.7,17.4,13.7,11.3,77.0,0,1,0,0,0,0,0,0,DM300,1,0,CF,0.151056727600086,0,0,0,0,3707,0.2708073007284088,1.0,"{'ligand_0': (0.9999998807907104, 11)}",0.408834
8,6230,6230,Methanol,0.7475,20.0,150,59.0,0.0,0,1,22.0,CO,C1=CC2=C(C=CN2)C(=C1)O,C1=CC2=C(C=CN2)C(=C1)O,Unknown,0.62,133.14999999999998,1.8734999999999995,133.14999999999998,1.8734999999999995,0.5,nf10k,32.042,-0.77,0.593,791.0,32.6,15.1,12.3,22.3,40.7,1,0,0,0,0,0,0,0,DM150,1,0,CF,0.4190750243243807,0,0,0,0,6230,0.5136788899859203,1.0,"{'ligand_0': (1.0000001192092896, 10)}",0.6283281
9,499,499,Acetonitrile,0.45587198,10.0,500,82.0,0.0,0,1,21.0,C(C)#N,CC(C)(C)P(C(C)(C)C)Nc1cccc(c2ncccc2)n1,CC(C)(C)P(C(C)(C)C)Nc1cccc(c2ncccc2)n1,ligand,0.095045045,315.401,5.549400000000005,315.401,5.549400000000005,0.5,cat,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,0,0,0,0,0,0,0,1,SS336,1,0,CF,0.0428933953488715,0,0,0,0,499,0.26266300909925,1.0,"{'ligand_0': (1.0000001192092896, 22)}",0.20455119
