,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,DM300,Acetonitrile,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,0.5,30,25,0.519,CF,appcat,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,411.41400000000016,1.9686,411.41400000000016,1.9686,0,0,0,1,0,0,0,0,1,0,0.8319613,0.9774947,0.94421124,0.9682122,1.0,0.944375888,0.8624916209965602,1.02626015500344
1,1,1,1,1,1,1,DM300,Acetonitrile,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,0.5,30,25,0.519,CF,appcat,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,415.9020000000001,4.038800000000002,415.9020000000001,4.038800000000002,0,0,0,1,0,0,0,0,1,0,0.8668797,0.9727938,0.9546707,0.98962194,0.9624435,0.9492819279999999,0.8898228222935645,1.0087410337064353
2,2,2,2,2,2,2,DM300,Acetonitrile,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,0.5,30,25,0.519,CF,appcat,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,472.6170000000002,4.766700000000004,472.6170000000002,4.766700000000004,0,0,0,1,0,0,0,0,1,0,0.848281,0.9547522,0.95897406,0.9923493,1.0,0.950871312,0.8754982689249953,1.0262443550750047
3,3,3,3,3,3,3,DM300,Acetonitrile,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,0.5,30,25,0.519,CF,appcat,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,338.8200000000001,1.6752999999999998,338.8200000000001,1.6752999999999998,0,0,0,1,0,0,0,0,1,0,0.73536086,0.85716164,0.928035,0.8967526,0.93825287,0.8711125940000001,0.7690455678120945,0.9731796201879056
4,4,4,4,4,4,4,DM300,Acetonitrile,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,0.5,30,25,0.519,CF,appcat,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,359.43600000000004,2.4770600000000003,359.43600000000004,2.4770600000000003,0,0,0,1,0,0,0,0,1,0,0.7451637,0.94663304,0.92997605,0.9961314,0.9603398,0.915648798,0.793508567831163,1.037789028168837
5,5,5,5,5,5,5,DM300,Acetonitrile,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,0.5,30,25,0.519,CF,appcat,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,574.6940000000004,7.427680000000006,574.6940000000004,7.427680000000006,0,0,0,1,0,0,0,0,1,0,0.8874029,0.9558374,0.95743716,0.9877932,1.0,0.957694132,0.9034286166649396,1.0119596473350603
6,6,6,6,6,6,6,DM300,Acetonitrile,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,0.5,30,25,0.519,CF,appcat,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,489.6010000000001,4.169800000000003,489.6010000000001,4.169800000000003,0,0,0,1,0,0,0,0,1,0,0.8860414,0.97147787,0.95888996,0.99937737,1.0,0.96315732,0.9052380460517356,1.0210765939482642
7,7,7,7,7,7,7,DM300,Acetonitrile,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,0.5,30,25,0.519,CF,appcat,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,514.7170000000003,4.133100000000004,514.7170000000003,4.133100000000004,0,0,0,1,0,0,0,0,1,0,0.86535907,0.94907093,0.97611403,0.992893,1.0,0.956687406,0.8887833254443458,1.0245914865556542
8,8,8,8,8,8,8,DM300,Acetonitrile,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,0.5,30,25,0.519,CF,appcat,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,351.4100000000001,1.867199999999999,351.4100000000001,1.867199999999999,0,0,0,1,0,0,0,0,1,0,0.78163373,0.8691714,0.93768615,0.9711175,0.97731996,0.907385748,0.8050999295443645,1.0096715664556355
9,9,9,9,9,9,9,DM300,Acetonitrile,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,0.5,30,25,0.519,CF,appcat,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,533.6750000000002,5.865080000000005,533.6750000000002,5.865080000000005,0,0,0,1,0,0,0,0,1,0,0.85766506,0.9740398,0.9497348,0.9748922,1.0,0.9512663719999999,0.8826501764507726,1.0198825675492271
