,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,DM300,Ethanol,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,0.5,30,25,0.078,CF,appcat,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,411.41400000000016,1.9686,411.41400000000016,1.9686,0,0,0,1,0,0,0,0,1,0,0.8627236,0.92054117,0.913748,0.9360551,0.97502303,0.9216181800000001,0.871211462025652,0.9720248979743481
1,1,1,1,1,1,1,DM300,Ethanol,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,0.5,30,25,0.078,CF,appcat,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,415.9020000000001,4.038800000000002,415.9020000000001,4.038800000000002,0,0,0,1,0,0,0,0,1,0,0.84325606,0.94838315,0.9264773,0.9781004,0.9363724,0.9265178619999999,0.8639138260261102,0.9891218979738895
2,2,2,2,2,2,2,DM300,Ethanol,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,0.5,30,25,0.078,CF,appcat,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,472.6170000000002,4.766700000000004,472.6170000000002,4.766700000000004,0,0,0,1,0,0,0,0,1,0,0.8463717,0.9529153,0.93155164,0.9719673,1.0,0.940561188,0.8680944497594654,1.0130279262405346
3,3,3,3,3,3,3,DM300,Ethanol,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,0.5,30,25,0.078,CF,appcat,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,338.8200000000001,1.6752999999999998,338.8200000000001,1.6752999999999998,0,0,0,1,0,0,0,0,1,0,0.8024342,0.8175869,0.9302082,0.82630765,0.8944181,0.8541910099999999,0.785637712992223,0.9227443070077768
4,4,4,4,4,4,4,DM300,Ethanol,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,0.5,30,25,0.078,CF,appcat,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,359.43600000000004,2.4770600000000003,359.43600000000004,2.4770600000000003,0,0,0,1,0,0,0,0,1,0,0.86964595,0.92053646,0.9401301,0.96218604,0.92641807,0.9237833240000001,0.8812650565174287,0.9663015914825714
5,5,5,5,5,5,5,DM300,Ethanol,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,0.5,30,25,0.078,CF,appcat,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,574.6940000000004,7.427680000000006,574.6940000000004,7.427680000000006,0,0,0,1,0,0,0,0,1,0,0.87454444,0.9591491,0.9321542,0.9505396,1.0,0.943277468,0.8864788070816795,1.0000761289183207
6,6,6,6,6,6,6,DM300,Ethanol,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,0.5,30,25,0.078,CF,appcat,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,489.6010000000001,4.169800000000003,489.6010000000001,4.169800000000003,0,0,0,1,0,0,0,0,1,0,0.84342444,0.945707,0.93396044,0.97535473,0.97583264,0.9348558499999999,0.8674233526891402,1.0022883473108597
7,7,7,7,7,7,7,DM300,Ethanol,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,0.5,30,25,0.078,CF,appcat,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,514.7170000000003,4.133100000000004,514.7170000000003,4.133100000000004,0,0,0,1,0,0,0,0,1,0,0.8573928,0.9386101,0.94016343,0.95458174,0.9986381,0.9378772340000001,0.8743990784764408,1.0013553895235594
8,8,8,8,8,8,8,DM300,Ethanol,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,0.5,30,25,0.078,CF,appcat,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,351.4100000000001,1.867199999999999,351.4100000000001,1.867199999999999,0,0,0,1,0,0,0,0,1,0,0.8671,0.9264127,0.91568744,0.936193,0.9952985,0.928138328,0.8710385006316766,0.9852381553683233
9,9,9,9,9,9,9,DM300,Ethanol,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,0.5,30,25,0.078,CF,appcat,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,533.6750000000002,5.865080000000005,533.6750000000002,5.865080000000005,0,0,0,1,0,0,0,0,1,0,0.8627647,0.9461787,0.9299316,0.94076717,1.0,0.935928434,0.8750281979795251,0.9968286700204749
