,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,DM300,Ethyl acetate,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,0.5,30,25,0.073,CF,appcat,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,411.41400000000016,1.9686,411.41400000000016,1.9686,0,0,0,1,0,0,0,0,1,0,0.78876436,0.76665246,0.7844591,0.82623196,0.8085072,0.7949230159999999,0.7663956204850895,0.8234504115149104
1,1,1,1,1,1,1,DM300,Ethyl acetate,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,0.5,30,25,0.073,CF,appcat,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,415.9020000000001,4.038800000000002,415.9020000000001,4.038800000000002,0,0,0,1,0,0,0,0,1,0,0.802659,0.77159923,0.79456,0.93346715,0.8723676,0.8349305959999999,0.7521173676871515,0.9177438243128482
2,2,2,2,2,2,2,DM300,Ethyl acetate,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,0.5,30,25,0.073,CF,appcat,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,472.6170000000002,4.766700000000004,472.6170000000002,4.766700000000004,0,0,0,1,0,0,0,0,1,0,0.7536571,0.82530534,0.79673076,0.8985222,0.92371166,0.8395854119999999,0.7518416482649021,0.9273291757350978
3,3,3,3,3,3,3,DM300,Ethyl acetate,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,0.5,30,25,0.073,CF,appcat,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,338.8200000000001,1.6752999999999998,338.8200000000001,1.6752999999999998,0,0,0,1,0,0,0,0,1,0,0.72015494,0.53157926,0.7063919,0.7924619,0.7422573,0.69856906,0.5757489882360294,0.8213891317639705
4,4,4,4,4,4,4,DM300,Ethyl acetate,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,0.5,30,25,0.073,CF,appcat,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,359.43600000000004,2.4770600000000003,359.43600000000004,2.4770600000000003,0,0,0,1,0,0,0,0,1,0,0.79497075,0.76945543,0.80763996,0.85276616,0.85452247,0.815870954,0.76976957087671,0.8619723371232899
5,5,5,5,5,5,5,DM300,Ethyl acetate,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,0.5,30,25,0.073,CF,appcat,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,574.6940000000004,7.427680000000006,574.6940000000004,7.427680000000006,0,0,0,1,0,0,0,0,1,0,0.80069107,0.8690653,0.8763242,0.9021821,0.9270277,0.875058074,0.8161459830288692,0.9339701649711308
6,6,6,6,6,6,6,DM300,Ethyl acetate,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,0.5,30,25,0.073,CF,appcat,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,489.6010000000001,4.169800000000003,489.6010000000001,4.169800000000003,0,0,0,1,0,0,0,0,1,0,0.7888647,0.76894915,0.82846546,0.9152314,0.9000951,0.8403211620000001,0.7592157954061791,0.921426528593821
7,7,7,7,7,7,7,DM300,Ethyl acetate,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,0.5,30,25,0.073,CF,appcat,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,514.7170000000003,4.133100000000004,514.7170000000003,4.133100000000004,0,0,0,1,0,0,0,0,1,0,0.7993213,0.82987416,0.8615118,0.9164808,0.91987896,0.8654134040000001,0.7996497328624902,0.93117707513751
8,8,8,8,8,8,8,DM300,Ethyl acetate,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,0.5,30,25,0.073,CF,appcat,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,351.4100000000001,1.867199999999999,351.4100000000001,1.867199999999999,0,0,0,1,0,0,0,0,1,0,0.73390913,0.72541875,0.74725616,0.81892693,0.80105734,0.765313662,0.7131640880595309,0.817463235940469
9,9,9,9,9,9,9,DM300,Ethyl acetate,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,0.5,30,25,0.073,CF,appcat,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,533.6750000000002,5.865080000000005,533.6750000000002,5.865080000000005,0,0,0,1,0,0,0,0,1,0,0.7793753,0.7883234,0.837816,0.8890375,0.9087574,0.84066192,0.7685794458400936,0.9127443941599063
10,10,10,10,10,10,10,DM300,Ethyl acetate,NC(=O)CCNc1c(Nc2c(F)cc(O)cc2F)c(=O)c(=O)c1=O,NC(=O)CCNc1c(Nc2c(F)cc(O)cc2F)c(=O)c(=O)c1=O,0.5,30,25,0.073,CF,appcat,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,339.25400000000013,-0.3425000000000006,339.25400000000013,-0.3425000000000006,0,0,0,1,0,0,0,0,1,0,0.64209497,0.74316347,0.7149217,0.7915245,0.68619794,0.7155805159999999,0.6453627884331317,0.7857982435668682
11,11,11,11,11,11,11,DM300,Ethyl acetate,CC(C)(C)C(=O)Oc1cc(/C=N/[C@@H]2CCCC[C@H]2Nc2c(Nc3cccc(F)c3F)c(=S)c2=S)c(O)c(C(C)(C)C)c1,CC(C)(C)C(=O)Oc1cc(/C=N/[C@@H]2CCCC[C@H]2Nc2c(Nc3cccc(F)c3F)c(=S)c2=S)c(O)c(C(C)(C)C)c1,0.5,30,25,0.073,CF,appcat,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,613.7959999999999,8.839780000000003,613.7959999999999,8.839780000000003,0,0,0,1,0,0,0,0,1,0,0.7355499,0.88055,0.8475944,0.89863235,0.9423464,0.8609346099999999,0.7640906895947648,0.9577785304052351
12,12,12,12,12,12,12,DM300,Ethyl acetate,CCOC(=O)c1cnn(C)c1S(=O)(=O)Nc1c(Nc2cccc(/N=N/c3cccc([N+](=O)[O-])c3)c2)c(=O)c1=O,CCOC(=O)c1cnn(C)c1S(=O)(=O)Nc1c(Nc2cccc(/N=N/c3cccc([N+](=O)[O-])c3)c2)c(=O)c1=O,0.5,30,25,0.073,CF,appcat,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,553.5130000000003,3.0608000000000013,553.5130000000003,3.0608000000000013,0,0,0,1,0,0,0,0,1,0,0.74128944,0.7943,0.79268765,0.9117925,0.91073215,0.830160348,0.7344961410667606,0.9258245549332395
13,13,13,13,13,13,13,DM300,Ethyl acetate,CCOC(=O)[C@]1(NC(=O)[C@H](Cc2ccccc2)NC(=O)NCCC(N)=O)Cc2cc(Br)c(OC)cc2C1,CCOC(=O)[C@]1(NC(=O)[C@H](Cc2ccccc2)NC(=O)NCCC(N)=O)Cc2cc(Br)c(OC)cc2C1,0.5,30,25,0.073,CF,appcat,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,575.4600000000002,1.7602999999999998,575.4600000000002,1.7602999999999998,0,0,0,1,0,0,0,0,1,0,0.84999484,0.81765425,0.79438835,0.88457483,0.8882061,0.846963674,0.7959649354261457,0.8979624125738545
