,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,DM300,Toluene,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,0.5,30,25,0.127,CF,appcat,DM,300,59.0,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,411.41400000000016,1.9686,411.41400000000016,1.9686,0,0,0,1,0,0,0,0,1,0,0.5820598,0.340579,0.5913095,0.642935,0.5573858,0.54285382,0.39721930209253836,0.6884883379074618
1,1,1,1,1,1,1,DM300,Toluene,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,0.5,30,25,0.127,CF,appcat,DM,300,59.0,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,415.9020000000001,4.038800000000002,415.9020000000001,4.038800000000002,0,0,0,1,0,0,0,0,1,0,0.64377457,0.4387045,0.7162168,0.8926593,0.7481411,0.6878992540000001,0.481616059508859,0.8941824484911411
2,2,2,2,2,2,2,DM300,Toluene,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,0.5,30,25,0.127,CF,appcat,DM,300,59.0,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,472.6170000000002,4.766700000000004,472.6170000000002,4.766700000000004,0,0,0,1,0,0,0,0,1,0,0.5896522,0.4179275,0.6478056,0.6787068,0.7460017,0.61601876,0.46171846209726886,0.7703190579027311
3,3,3,3,3,3,3,DM300,Toluene,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,0.5,30,25,0.127,CF,appcat,DM,300,59.0,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,338.8200000000001,1.6752999999999998,338.8200000000001,1.6752999999999998,0,0,0,1,0,0,0,0,1,0,0.6193895,0.26171136,0.52406716,0.61709297,0.5878914,0.5220304779999999,0.3351368347141511,0.7089241212858487
4,4,4,4,4,4,4,DM300,Toluene,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,0.5,30,25,0.127,CF,appcat,DM,300,59.0,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,359.43600000000004,2.4770600000000003,359.43600000000004,2.4770600000000003,0,0,0,1,0,0,0,0,1,0,0.61791337,0.31496918,0.63444436,0.6400404,0.74809134,0.5910917299999999,0.3890708956094525,0.7931125643905473
5,5,5,5,5,5,5,DM300,Toluene,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,0.5,30,25,0.127,CF,appcat,DM,300,59.0,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,574.6940000000004,7.427680000000006,574.6940000000004,7.427680000000006,0,0,0,1,0,0,0,0,1,0,0.7481538,0.5458301,0.7442428,0.72674406,0.871169,0.727227952,0.5824904062490046,0.8719654977509954
6,6,6,6,6,6,6,DM300,Toluene,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,0.5,30,25,0.127,CF,appcat,DM,300,59.0,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,489.6010000000001,4.169800000000003,489.6010000000001,4.169800000000003,0,0,0,1,0,0,0,0,1,0,0.6370625,0.43202808,0.7002937,0.7654085,0.7872642,0.664411396,0.48735915059923496,0.841463641400765
7,7,7,7,7,7,7,DM300,Toluene,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,0.5,30,25,0.127,CF,appcat,DM,300,59.0,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,514.7170000000003,4.133100000000004,514.7170000000003,4.133100000000004,0,0,0,1,0,0,0,0,1,0,0.6974281,0.5438688,0.76106286,0.88074553,0.8491042,0.7464418979999999,0.5795904842758128,0.913293311724187
8,8,8,8,8,8,8,DM300,Toluene,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,0.5,30,25,0.127,CF,appcat,DM,300,59.0,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,351.4100000000001,1.867199999999999,351.4100000000001,1.867199999999999,0,0,0,1,0,0,0,0,1,0,0.49911004,0.43601578,0.47983176,0.5941777,0.47320628,0.496468312,0.42294096630697386,0.5699956576930262
9,9,9,9,9,9,9,DM300,Toluene,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,0.5,30,25,0.127,CF,appcat,DM,300,59.0,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,533.6750000000002,5.865080000000005,533.6750000000002,5.865080000000005,0,0,0,1,0,0,0,0,1,0,0.7215372,0.4578122,0.73132426,0.7061046,0.808665,0.685088652,0.5198568104187831,0.850320493581217
