,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,GMT-oNF-2,Acetonitrile,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,0.5,30,25,0.153,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,411.41400000000016,1.9686,411.41400000000016,1.9686,0,0,0,0,0,0,1,0,1,0,0.87749684,0.91647726,0.9189664,1.0,1.0,0.9425881,0.8743844410907232,1.010791758909277
1,1,1,1,1,1,1,GMT-oNF-2,Acetonitrile,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,0.5,30,25,0.153,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,415.9020000000001,4.038800000000002,415.9020000000001,4.038800000000002,0,0,0,0,0,0,1,0,1,0,0.8478259,0.98687744,0.93047094,0.99647796,1.0,0.952330448,0.8718280881542603,1.0328328078457398
2,2,2,2,2,2,2,GMT-oNF-2,Acetonitrile,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,0.5,30,25,0.153,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,472.6170000000002,4.766700000000004,472.6170000000002,4.766700000000004,0,0,0,0,0,0,1,0,1,0,0.88566476,0.92553616,0.9247861,1.0,1.0,0.947197404,0.8840860199776046,1.0103087880223953
3,3,3,3,3,3,3,GMT-oNF-2,Acetonitrile,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,0.5,30,25,0.153,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,338.8200000000001,1.6752999999999998,338.8200000000001,1.6752999999999998,0,0,0,0,0,0,1,0,1,0,0.85660505,0.91963565,0.9178047,0.88905203,1.0,0.9166194860000001,0.850552607367048,0.9826863646329522
4,4,4,4,4,4,4,GMT-oNF-2,Acetonitrile,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,0.5,30,25,0.153,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,359.43600000000004,2.4770600000000003,359.43600000000004,2.4770600000000003,0,0,0,0,0,0,1,0,1,0,0.8023943,0.88800454,0.89957774,1.0,1.0,0.9179953160000001,0.8140142310640079,1.0219764009359922
5,5,5,5,5,5,5,GMT-oNF-2,Acetonitrile,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,0.5,30,25,0.153,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,574.6940000000004,7.427680000000006,574.6940000000004,7.427680000000006,0,0,0,0,0,0,1,0,1,0,0.89985573,0.9035152,0.9115416,0.9865062,1.0,0.9402837460000001,0.8797247502887859,1.0008427417112142
6,6,6,6,6,6,6,GMT-oNF-2,Acetonitrile,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,0.5,30,25,0.153,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,489.6010000000001,4.169800000000003,489.6010000000001,4.169800000000003,0,0,0,0,0,0,1,0,1,0,0.9210199,1.0,0.91646785,1.0,1.0,0.96749755,0.9122001654707156,1.0227949345292844
7,7,7,7,7,7,7,GMT-oNF-2,Acetonitrile,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,0.5,30,25,0.153,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,514.7170000000003,4.133100000000004,514.7170000000003,4.133100000000004,0,0,0,0,0,0,1,0,1,0,0.8400276,0.96033394,0.9419148,0.98177123,1.0,0.9448095139999999,0.8671663001822776,1.0224527278177222
8,8,8,8,8,8,8,GMT-oNF-2,Acetonitrile,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,0.5,30,25,0.153,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,351.4100000000001,1.867199999999999,351.4100000000001,1.867199999999999,0,0,0,0,0,0,1,0,1,0,0.85645294,0.78236985,0.879179,0.97418916,0.9875214,0.8959424699999999,0.7897667261632018,1.002118213836798
9,9,9,9,9,9,9,GMT-oNF-2,Acetonitrile,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,0.5,30,25,0.153,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,533.6750000000002,5.865080000000005,533.6750000000002,5.865080000000005,0,0,0,0,0,0,1,0,1,0,0.8762759,0.98656976,0.93866086,0.99062324,1.0,0.958425952,0.8942173028158287,1.0226346011841714
