,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,GMT-oNF-2,Ethanol,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,0.5,30,25,0.196,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,411.41400000000016,1.9686,411.41400000000016,1.9686,0,0,0,0,0,0,1,0,1,0,0.8250648,0.85574496,0.6534758,0.9083234,0.88436365,0.8253945220000001,0.6999436501455225,0.9508453938544776
1,1,1,1,1,1,1,GMT-oNF-2,Ethanol,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,0.5,30,25,0.196,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,415.9020000000001,4.038800000000002,415.9020000000001,4.038800000000002,0,0,0,0,0,0,1,0,1,0,0.76054806,0.94134545,0.7616471,0.89179134,0.9034464,0.85175567,0.7465077117488234,0.9570036282511766
2,2,2,2,2,2,2,GMT-oNF-2,Ethanol,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,0.5,30,25,0.196,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,472.6170000000002,4.766700000000004,472.6170000000002,4.766700000000004,0,0,0,0,0,0,1,0,1,0,0.8147385,0.92924184,0.72596633,0.9109646,0.7829169,0.832765634,0.7258838530209275,0.9396474149790726
3,3,3,3,3,3,3,GMT-oNF-2,Ethanol,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,0.5,30,25,0.196,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,338.8200000000001,1.6752999999999998,338.8200000000001,1.6752999999999998,0,0,0,0,0,0,1,0,1,0,0.7102438,0.7595216,0.6863768,0.78358954,0.96524525,0.7809953980000001,0.6444485839739381,0.917542212026062
4,4,4,4,4,4,4,GMT-oNF-2,Ethanol,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,0.5,30,25,0.196,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,359.43600000000004,2.4770600000000003,359.43600000000004,2.4770600000000003,0,0,0,0,0,0,1,0,1,0,0.8067473,0.9239124,0.8551885,0.9067142,0.91421545,0.88135557,0.8199433120146206,0.9427678279853794
5,5,5,5,5,5,5,GMT-oNF-2,Ethanol,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,0.5,30,25,0.196,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,574.6940000000004,7.427680000000006,574.6940000000004,7.427680000000006,0,0,0,0,0,0,1,0,1,0,0.7517931,0.81040394,0.6264433,0.8893839,0.74193895,0.7639926380000001,0.6438781036718879,0.8841071723281122
6,6,6,6,6,6,6,GMT-oNF-2,Ethanol,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,0.5,30,25,0.196,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,489.6010000000001,4.169800000000003,489.6010000000001,4.169800000000003,0,0,0,0,0,0,1,0,1,0,0.76320463,0.8706219,0.6779816,0.89088005,0.859604,0.812458436,0.7009406958273582,0.9239761761726418
7,7,7,7,7,7,7,GMT-oNF-2,Ethanol,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,0.5,30,25,0.196,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,514.7170000000003,4.133100000000004,514.7170000000003,4.133100000000004,0,0,0,0,0,0,1,0,1,0,0.8324032,0.89912736,0.7573302,0.88205826,0.86189556,0.8465629159999999,0.7773714602801111,0.9157543717198887
8,8,8,8,8,8,8,GMT-oNF-2,Ethanol,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,0.5,30,25,0.196,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,351.4100000000001,1.867199999999999,351.4100000000001,1.867199999999999,0,0,0,0,0,0,1,0,1,0,0.81776786,0.86479366,0.6182771,0.8542174,0.7597629,0.7829637840000001,0.6578010427661695,0.9081265252338308
9,9,9,9,9,9,9,GMT-oNF-2,Ethanol,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,0.5,30,25,0.196,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,533.6750000000002,5.865080000000005,533.6750000000002,5.865080000000005,0,0,0,0,0,0,1,0,1,0,0.7962589,0.9034037,0.7246395,0.87038326,0.86145693,0.831228458,0.742903894654721,0.919553021345279
