,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,GMT-oNF-2,Ethyl acetate,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,0.5,30,25,3.73,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,411.41400000000016,1.9686,411.41400000000016,1.9686,0,0,0,0,0,0,1,0,1,0,0.79856,0.780891,0.6597098,0.88243496,0.6406646,0.752452072,0.6268538569833355,0.8780502870166644
1,1,1,1,1,1,1,GMT-oNF-2,Ethyl acetate,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,0.5,30,25,3.73,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,415.9020000000001,4.038800000000002,415.9020000000001,4.038800000000002,0,0,0,0,0,0,1,0,1,0,0.8004371,0.80407524,0.64686596,0.8936051,0.7724135,0.78347938,0.6730740340266753,0.8938847259733246
2,2,2,2,2,2,2,GMT-oNF-2,Ethyl acetate,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,0.5,30,25,3.73,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,472.6170000000002,4.766700000000004,472.6170000000002,4.766700000000004,0,0,0,0,0,0,1,0,1,0,0.8137772,0.7955044,0.5718022,0.87858886,0.46647954,0.70523044,0.4859176226713853,0.9245432573286148
3,3,3,3,3,3,3,GMT-oNF-2,Ethyl acetate,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,0.5,30,25,3.73,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,338.8200000000001,1.6752999999999998,338.8200000000001,1.6752999999999998,0,0,0,0,0,0,1,0,1,0,0.658481,0.5993898,0.60282135,0.7632652,0.7182596,0.6684433900000001,0.579236225900045,0.7576505540999552
4,4,4,4,4,4,4,GMT-oNF-2,Ethyl acetate,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,0.5,30,25,3.73,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,359.43600000000004,2.4770600000000003,359.43600000000004,2.4770600000000003,0,0,0,0,0,0,1,0,1,0,0.8080553,0.7548661,0.69370055,0.84601367,0.7900375,0.778534624,0.7068985005635737,0.8501707474364262
5,5,5,5,5,5,5,GMT-oNF-2,Ethyl acetate,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,0.5,30,25,3.73,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,574.6940000000004,7.427680000000006,574.6940000000004,7.427680000000006,0,0,0,0,0,0,1,0,1,0,0.80041707,0.8060361,0.48160875,0.92425334,0.41519934,0.68550292,0.40829456348260673,0.9627112765173933
6,6,6,6,6,6,6,GMT-oNF-2,Ethyl acetate,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,0.5,30,25,3.73,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,489.6010000000001,4.169800000000003,489.6010000000001,4.169800000000003,0,0,0,0,0,0,1,0,1,0,0.8013025,0.79966044,0.54608065,0.87553155,0.6280775,0.7301305279999999,0.559734487096422,0.9005265689035777
7,7,7,7,7,7,7,GMT-oNF-2,Ethyl acetate,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,0.5,30,25,3.73,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,514.7170000000003,4.133100000000004,514.7170000000003,4.133100000000004,0,0,0,0,0,0,1,0,1,0,0.8345654,0.8325561,0.6760886,0.8928313,0.6215207,0.77151242,0.627212710373544,0.915812129626456
8,8,8,8,8,8,8,GMT-oNF-2,Ethyl acetate,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,0.5,30,25,3.73,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,351.4100000000001,1.867199999999999,351.4100000000001,1.867199999999999,0,0,0,0,0,0,1,0,1,0,0.6810481,0.7137836,0.6184795,0.8256789,0.41392452,0.6505829240000001,0.4616429447202992,0.8395229032797009
9,9,9,9,9,9,9,GMT-oNF-2,Ethyl acetate,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,0.5,30,25,3.73,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,533.6750000000002,5.865080000000005,533.6750000000002,5.865080000000005,0,0,0,0,0,0,1,0,1,0,0.8416548,0.80761564,0.505544,0.9267943,0.6709802,0.750517788,0.545569952132088,0.955465623867912
