,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,GMT-oNF-2,Toluene,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,0.5,30,25,0.341,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,411.41400000000016,1.9686,411.41400000000016,1.9686,0,0,0,0,0,0,1,0,1,0,0.85726357,0.599909,0.7684413,0.8836357,0.31815127,0.685480168,0.3956702012662399,0.9752901347337601
1,1,1,1,1,1,1,GMT-oNF-2,Toluene,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,0.5,30,25,0.341,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,415.9020000000001,4.038800000000002,415.9020000000001,4.038800000000002,0,0,0,0,0,0,1,0,1,0,0.73779845,0.69308436,0.8352607,0.9245155,0.5217894,0.742489682,0.5532516072417825,0.9317277567582175
2,2,2,2,2,2,2,GMT-oNF-2,Toluene,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,0.5,30,25,0.341,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,472.6170000000002,4.766700000000004,472.6170000000002,4.766700000000004,0,0,0,0,0,0,1,0,1,0,0.81418586,0.63607985,0.69923186,0.92840326,0.48388234,0.712356634,0.5016061187617893,0.9231071492382108
3,3,3,3,3,3,3,GMT-oNF-2,Toluene,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,0.5,30,25,0.341,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,338.8200000000001,1.6752999999999998,338.8200000000001,1.6752999999999998,0,0,0,0,0,0,1,0,1,0,0.65347654,0.3739721,0.6277584,0.69578516,0.35622978,0.541444396,0.3391504984332309,0.7437382935667691
4,4,4,4,4,4,4,GMT-oNF-2,Toluene,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,0.5,30,25,0.341,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,359.43600000000004,2.4770600000000003,359.43600000000004,2.4770600000000003,0,0,0,0,0,0,1,0,1,0,0.76587576,0.5191813,0.6606906,0.8331123,0.51440036,0.658652064,0.48065822120415624,0.8366459067958437
5,5,5,5,5,5,5,GMT-oNF-2,Toluene,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,0.5,30,25,0.341,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,574.6940000000004,7.427680000000006,574.6940000000004,7.427680000000006,0,0,0,0,0,0,1,0,1,0,0.8755691,0.73202354,0.84724236,0.97043896,0.63867795,0.812790382,0.6523084899431694,0.9732722740568306
6,6,6,6,6,6,6,GMT-oNF-2,Toluene,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,0.5,30,25,0.341,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,489.6010000000001,4.169800000000003,489.6010000000001,4.169800000000003,0,0,0,0,0,0,1,0,1,0,0.81714046,0.7105897,0.7267466,0.92094135,0.55033565,0.745150752,0.5744829677992108,0.9158185362007892
7,7,7,7,7,7,7,GMT-oNF-2,Toluene,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,0.5,30,25,0.341,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,514.7170000000003,4.133100000000004,514.7170000000003,4.133100000000004,0,0,0,0,0,0,1,0,1,0,0.7883016,0.7326247,0.84886336,0.94245565,0.6335902,0.7891671020000001,0.6442816362468091,0.934052567753191
8,8,8,8,8,8,8,GMT-oNF-2,Toluene,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,0.5,30,25,0.341,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,351.4100000000001,1.867199999999999,351.4100000000001,1.867199999999999,0,0,0,0,0,0,1,0,1,0,0.79066,0.6185155,0.5789904,0.82241434,0.24711847,0.6115397419999999,0.32672522362233586,0.896354260377664
9,9,9,9,9,9,9,GMT-oNF-2,Toluene,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,0.5,30,25,0.341,CF,appcat,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,533.6750000000002,5.865080000000005,533.6750000000002,5.865080000000005,0,0,0,0,0,0,1,0,1,0,0.8713466,0.7303786,0.8489022,0.95741975,0.5849213,0.79859369,0.6193475055155807,0.9778398744844193
