,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,PMPerformance,Acetonitrile,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,0.5,30,25,2.531,CF,appcat,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,411.41400000000016,1.9686,411.41400000000016,1.9686,0,0,1,0,0,0,0,0,1,0,0.3647467,0.508562,0.5836187,0.5853121,0.32853788,0.47415547599999996,0.32374418464299715,0.6245667673570028
1,1,1,1,1,1,1,PMPerformance,Acetonitrile,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,0.5,30,25,2.531,CF,appcat,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,415.9020000000001,4.038800000000002,415.9020000000001,4.038800000000002,0,0,1,0,0,0,0,0,1,0,0.50965595,0.53950965,0.7562024,0.8380033,0.44869232,0.618412724,0.4087361830408772,0.8280892649591228
2,2,2,2,2,2,2,PMPerformance,Acetonitrile,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,0.5,30,25,2.531,CF,appcat,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,472.6170000000002,4.766700000000004,472.6170000000002,4.766700000000004,0,0,1,0,0,0,0,0,1,0,0.58233255,0.6122637,0.6079101,0.4452631,0.58815277,0.5671844439999999,0.48110419370356,0.6532646942964399
3,3,3,3,3,3,3,PMPerformance,Acetonitrile,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,0.5,30,25,2.531,CF,appcat,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,338.8200000000001,1.6752999999999998,338.8200000000001,1.6752999999999998,0,0,1,0,0,0,0,0,1,0,0.30367148,0.52846223,0.47430924,0.5851871,0.35797018,0.449920046,0.30444875612991207,0.595391335870088
4,4,4,4,4,4,4,PMPerformance,Acetonitrile,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,0.5,30,25,2.531,CF,appcat,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,359.43600000000004,2.4770600000000003,359.43600000000004,2.4770600000000003,0,0,1,0,0,0,0,0,1,0,0.4621268,0.6401246,0.62189853,0.631322,0.5535561,0.581805606,0.4885123568921771,0.6750988551078229
5,5,5,5,5,5,5,PMPerformance,Acetonitrile,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,0.5,30,25,2.531,CF,appcat,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,574.6940000000004,7.427680000000006,574.6940000000004,7.427680000000006,0,0,1,0,0,0,0,0,1,0,0.6236706,0.67822117,0.5402019,0.5528969,0.61094475,0.601187064,0.5315372795150264,0.6708368484849736
6,6,6,6,6,6,6,PMPerformance,Acetonitrile,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,0.5,30,25,2.531,CF,appcat,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,489.6010000000001,4.169800000000003,489.6010000000001,4.169800000000003,0,0,1,0,0,0,0,0,1,0,0.54248554,0.59254414,0.67441225,0.84466326,0.5585693,0.6425348980000001,0.4886596964598946,0.7964100995401056
7,7,7,7,7,7,7,PMPerformance,Acetonitrile,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,0.5,30,25,2.531,CF,appcat,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,514.7170000000003,4.133100000000004,514.7170000000003,4.133100000000004,0,0,1,0,0,0,0,0,1,0,0.68345517,0.623538,0.76059544,0.8605265,0.768242,0.7392714220000001,0.6273381827030289,0.8512046612969713
8,8,8,8,8,8,8,PMPerformance,Acetonitrile,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,0.5,30,25,2.531,CF,appcat,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,351.4100000000001,1.867199999999999,351.4100000000001,1.867199999999999,0,0,1,0,0,0,0,0,1,0,0.26335797,0.23566362,0.3877051,0.56556576,0.3650892,0.36347633,0.20183386677503984,0.5251187932249601
9,9,9,9,9,9,9,PMPerformance,Acetonitrile,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,0.5,30,25,2.531,CF,appcat,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,533.6750000000002,5.865080000000005,533.6750000000002,5.865080000000005,0,0,1,0,0,0,0,0,1,0,0.61836946,0.6625582,0.6960715,0.61994183,0.5102486,0.621437918,0.53444216896067,0.7084336670393301
