,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,PMPerformance,Ethanol,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,0.5,30,25,0.539,CF,appcat,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,411.41400000000016,1.9686,411.41400000000016,1.9686,0,0,1,0,0,0,0,0,1,0,0.41263387,0.41580385,0.27460763,0.5129296,0.19797322,0.36278963399999997,0.20723747823544073,0.5183417897645592
1,1,1,1,1,1,1,PMPerformance,Ethanol,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,0.5,30,25,0.539,CF,appcat,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,415.9020000000001,4.038800000000002,415.9020000000001,4.038800000000002,0,0,1,0,0,0,0,0,1,0,0.46867374,0.4172048,0.44284487,0.72451735,0.3420862,0.47906539200000003,0.2988565567953023,0.6592742272046977
2,2,2,2,2,2,2,PMPerformance,Ethanol,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,0.5,30,25,0.539,CF,appcat,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,472.6170000000002,4.766700000000004,472.6170000000002,4.766700000000004,0,0,1,0,0,0,0,0,1,0,0.41033268,0.48660848,0.34470543,0.38259998,0.12892875,0.350635064,0.1837441735626074,0.5175259544373926
3,3,3,3,3,3,3,PMPerformance,Ethanol,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,0.5,30,25,0.539,CF,appcat,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,338.8200000000001,1.6752999999999998,338.8200000000001,1.6752999999999998,0,0,1,0,0,0,0,0,1,0,0.42188483,0.43747592,0.24450949,0.41990575,0.36448056,0.37765131,0.2790557629963186,0.4762468570036814
4,4,4,4,4,4,4,PMPerformance,Ethanol,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,0.5,30,25,0.539,CF,appcat,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,359.43600000000004,2.4770600000000003,359.43600000000004,2.4770600000000003,0,0,1,0,0,0,0,0,1,0,0.5869829,0.55318123,0.5369373,0.5229908,0.42655337,0.5253291200000001,0.45063863116522607,0.6000196088347741
5,5,5,5,5,5,5,PMPerformance,Ethanol,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,0.5,30,25,0.539,CF,appcat,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,574.6940000000004,7.427680000000006,574.6940000000004,7.427680000000006,0,0,1,0,0,0,0,0,1,0,0.37622514,0.4145808,0.25331962,0.49720436,0.15194166,0.33865431600000007,0.16924777055802573,0.5080608614419744
6,6,6,6,6,6,6,PMPerformance,Ethanol,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,0.5,30,25,0.539,CF,appcat,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,489.6010000000001,4.169800000000003,489.6010000000001,4.169800000000003,0,0,1,0,0,0,0,0,1,0,0.4199684,0.39529774,0.31955642,0.6449964,0.23372,0.402707792,0.21183084431294566,0.5935847396870544
7,7,7,7,7,7,7,PMPerformance,Ethanol,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,0.5,30,25,0.539,CF,appcat,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,514.7170000000003,4.133100000000004,514.7170000000003,4.133100000000004,0,0,1,0,0,0,0,0,1,0,0.69100726,0.6588778,0.37076783,0.7576365,0.3475222,0.5651623180000002,0.32727565751970744,0.8030489784802929
8,8,8,8,8,8,8,PMPerformance,Ethanol,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,0.5,30,25,0.539,CF,appcat,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,351.4100000000001,1.867199999999999,351.4100000000001,1.867199999999999,0,0,1,0,0,0,0,0,1,0,0.32553703,0.3749671,0.14359939,0.4143873,0.037289023,0.2591559686,0.05846901762322712,0.4598429195767729
9,9,9,9,9,9,9,PMPerformance,Ethanol,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,0.5,30,25,0.539,CF,appcat,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,533.6750000000002,5.865080000000005,533.6750000000002,5.865080000000005,0,0,1,0,0,0,0,0,1,0,0.46289954,0.47748977,0.37201297,0.5483846,0.2573315,0.42362367599999995,0.28434933186046024,0.5628980201395397
