,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,PMPerformance,Ethyl acetate,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,0.5,30,25,2.036,CF,appcat,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,411.41400000000016,1.9686,411.41400000000016,1.9686,0,0,1,0,0,0,0,0,1,0,0.38865173,0.4938171,0.4121697,0.5854661,0.18663004,0.41334693399999994,0.22906098472508013,0.5976328832749198
1,1,1,1,1,1,1,PMPerformance,Ethyl acetate,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,0.5,30,25,2.036,CF,appcat,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,415.9020000000001,4.038800000000002,415.9020000000001,4.038800000000002,0,0,1,0,0,0,0,0,1,0,0.5852293,0.43611673,0.5159635,0.86923754,0.3838243,0.558074274,0.3220192956431374,0.7941292523568626
2,2,2,2,2,2,2,PMPerformance,Ethyl acetate,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,0.5,30,25,2.036,CF,appcat,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,472.6170000000002,4.766700000000004,472.6170000000002,4.766700000000004,0,0,1,0,0,0,0,0,1,0,0.56717193,0.5469228,0.5888342,0.554737,0.27466813,0.506466812,0.3443751682579179,0.6685584557420821
3,3,3,3,3,3,3,PMPerformance,Ethyl acetate,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,0.5,30,25,2.036,CF,appcat,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,338.8200000000001,1.6752999999999998,338.8200000000001,1.6752999999999998,0,0,1,0,0,0,0,0,1,0,0.43807605,0.5461646,0.34379068,0.68213075,0.28732732,0.45949787999999997,0.26261848783153735,0.6563772721684626
4,4,4,4,4,4,4,PMPerformance,Ethyl acetate,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,0.5,30,25,2.036,CF,appcat,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,359.43600000000004,2.4770600000000003,359.43600000000004,2.4770600000000003,0,0,1,0,0,0,0,0,1,0,0.52192575,0.51669556,0.5826662,0.5512883,0.4189782,0.518310802,0.44199194858692176,0.5946296554130783
5,5,5,5,5,5,5,PMPerformance,Ethyl acetate,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,0.5,30,25,2.036,CF,appcat,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,574.6940000000004,7.427680000000006,574.6940000000004,7.427680000000006,0,0,1,0,0,0,0,0,1,0,0.5995268,0.6943977,0.6425664,0.8031362,0.42405993,0.632737406,0.45981191777806285,0.805662894221937
6,6,6,6,6,6,6,PMPerformance,Ethyl acetate,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,0.5,30,25,2.036,CF,appcat,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,489.6010000000001,4.169800000000003,489.6010000000001,4.169800000000003,0,0,1,0,0,0,0,0,1,0,0.58648753,0.54317087,0.532996,0.82151103,0.35502493,0.567838072,0.3602445821512055,0.7754315618487946
7,7,7,7,7,7,7,PMPerformance,Ethyl acetate,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,0.5,30,25,2.036,CF,appcat,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,514.7170000000003,4.133100000000004,514.7170000000003,4.133100000000004,0,0,1,0,0,0,0,0,1,0,0.73509586,0.71381176,0.5328512,0.9238417,0.44218713,0.66955753,0.4361873941596175,0.9029276658403824
8,8,8,8,8,8,8,PMPerformance,Ethyl acetate,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,0.5,30,25,2.036,CF,appcat,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,351.4100000000001,1.867199999999999,351.4100000000001,1.867199999999999,0,0,1,0,0,0,0,0,1,0,0.22499919,0.39548147,0.37417227,0.51477337,0.016327322,0.30515072439999996,0.0673562671117221,0.5429451816882778
9,9,9,9,9,9,9,PMPerformance,Ethyl acetate,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,0.5,30,25,2.036,CF,appcat,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,533.6750000000002,5.865080000000005,533.6750000000002,5.865080000000005,0,0,1,0,0,0,0,0,1,0,0.59246135,0.59521174,0.6193883,0.79156995,0.41344798,0.6024158639999999,0.43591341545100304,0.7689183125489968
