,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,PMPerformance,Toluene,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,0.5,30,25,0.717,CF,appcat,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,411.41400000000016,1.9686,411.41400000000016,1.9686,0,0,1,0,0,0,0,0,1,0,0.7770995,0.50720453,0.80238795,0.8482647,0.488678,0.684726936,0.4704986959330939,0.8989551760669061
1,1,1,1,1,1,1,PMPerformance,Toluene,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,0.5,30,25,0.717,CF,appcat,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,415.9020000000001,4.038800000000002,415.9020000000001,4.038800000000002,0,0,1,0,0,0,0,0,1,0,0.7877745,0.6025886,0.9107405,0.9604823,0.7116316,0.7946435000000001,0.6138499473673006,0.9754370526326995
2,2,2,2,2,2,2,PMPerformance,Toluene,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,0.5,30,25,0.717,CF,appcat,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,472.6170000000002,4.766700000000004,472.6170000000002,4.766700000000004,0,0,1,0,0,0,0,0,1,0,0.80500317,0.6103671,0.77513516,0.88957465,0.6846227,0.7529405560000001,0.6185386560178224,0.8873424559821778
3,3,3,3,3,3,3,PMPerformance,Toluene,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,0.5,30,25,0.717,CF,appcat,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,338.8200000000001,1.6752999999999998,338.8200000000001,1.6752999999999998,0,0,1,0,0,0,0,0,1,0,0.5859237,0.46196756,0.71339357,0.6819129,0.5142552,0.591490586,0.45861362198752487,0.7243675500124752
4,4,4,4,4,4,4,PMPerformance,Toluene,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,0.5,30,25,0.717,CF,appcat,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,359.43600000000004,2.4770600000000003,359.43600000000004,2.4770600000000003,0,0,1,0,0,0,0,0,1,0,0.6953428,0.46473226,0.7473371,0.73111594,0.68401545,0.66450871,0.5222054711382168,0.8068119488617832
5,5,5,5,5,5,5,PMPerformance,Toluene,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,0.5,30,25,0.717,CF,appcat,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,574.6940000000004,7.427680000000006,574.6940000000004,7.427680000000006,0,0,1,0,0,0,0,0,1,0,0.85320866,0.83401805,0.89076966,1.0,0.82133514,0.8798663019999999,0.7903510731386082,0.9693815308613917
6,6,6,6,6,6,6,PMPerformance,Toluene,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,0.5,30,25,0.717,CF,appcat,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,489.6010000000001,4.169800000000003,489.6010000000001,4.169800000000003,0,0,1,0,0,0,0,0,1,0,0.8400272,0.62898046,0.89665395,0.955131,0.73603964,0.8113664499999999,0.6498278968033322,0.9729050031966675
7,7,7,7,7,7,7,PMPerformance,Toluene,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,0.5,30,25,0.717,CF,appcat,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,514.7170000000003,4.133100000000004,514.7170000000003,4.133100000000004,0,0,1,0,0,0,0,0,1,0,0.8178154,0.6527268,0.89002717,0.9917854,0.7802658,0.826524114,0.6697531418447102,0.9832950861552898
8,8,8,8,8,8,8,PMPerformance,Toluene,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,0.5,30,25,0.717,CF,appcat,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,351.4100000000001,1.867199999999999,351.4100000000001,1.867199999999999,0,0,1,0,0,0,0,0,1,0,0.5662381,0.53909636,0.7323479,0.7003661,0.3770904,0.5830277720000001,0.40667777118944215,0.7593777728105581
9,9,9,9,9,9,9,PMPerformance,Toluene,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,0.5,30,25,0.717,CF,appcat,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,533.6750000000002,5.865080000000005,533.6750000000002,5.865080000000005,0,0,1,0,0,0,0,0,1,0,0.8315725,0.6116792,0.9254481,1.0,0.78760755,0.83126147,0.6476526261111357,1.0148703138888642
