,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,SM122,Toluene,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,0.5,30,25,0.18,CF,appcat,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,411.41400000000016,1.9686,411.41400000000016,1.9686,1,0,0,0,0,0,0,0,1,0,0.8120506,0.8284168,0.89139414,0.93238413,0.8846573,0.8697805940000001,0.8087891656745206,0.9307720223254795
1,1,1,1,1,1,1,SM122,Toluene,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,0.5,30,25,0.18,CF,appcat,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,415.9020000000001,4.038800000000002,415.9020000000001,4.038800000000002,1,0,0,0,0,0,0,0,1,0,0.78715545,0.8675631,0.96515775,0.9861692,0.92786765,0.90678263,0.8066701370968111,1.0068951229031888
2,2,2,2,2,2,2,SM122,Toluene,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,0.5,30,25,0.18,CF,appcat,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,472.6170000000002,4.766700000000004,472.6170000000002,4.766700000000004,1,0,0,0,0,0,0,0,1,0,0.76485056,0.873526,0.8849405,0.93675673,0.91260153,0.874535064,0.7924992781492868,0.9565708498507133
3,3,3,3,3,3,3,SM122,Toluene,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,0.5,30,25,0.18,CF,appcat,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,338.8200000000001,1.6752999999999998,338.8200000000001,1.6752999999999998,1,0,0,0,0,0,0,0,1,0,0.776594,0.61932206,0.8476068,0.90807766,0.87690306,0.8057007159999999,0.6629213189812865,0.9484801130187134
4,4,4,4,4,4,4,SM122,Toluene,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,0.5,30,25,0.18,CF,appcat,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,359.43600000000004,2.4770600000000003,359.43600000000004,2.4770600000000003,1,0,0,0,0,0,0,0,1,0,0.7764184,0.78466296,0.87856185,0.8914279,0.9210272,0.850419662,0.7688582769007339,0.931981047099266
5,5,5,5,5,5,5,SM122,Toluene,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,0.5,30,25,0.18,CF,appcat,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,574.6940000000004,7.427680000000006,574.6940000000004,7.427680000000006,1,0,0,0,0,0,0,0,1,0,0.840671,0.9537696,0.9296971,1.0,0.92985237,0.930798014,0.8588200641247685,1.0027759638752314
6,6,6,6,6,6,6,SM122,Toluene,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,0.5,30,25,0.18,CF,appcat,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,489.6010000000001,4.169800000000003,489.6010000000001,4.169800000000003,1,0,0,0,0,0,0,0,1,0,0.80371726,0.8751545,0.9604869,0.97529554,0.9254478,0.9080204000000001,0.8212332719339307,0.9948075280660694
7,7,7,7,7,7,7,SM122,Toluene,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,0.5,30,25,0.18,CF,appcat,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,514.7170000000003,4.133100000000004,514.7170000000003,4.133100000000004,1,0,0,0,0,0,0,0,1,0,0.8024087,0.8841981,0.96357596,0.9851105,0.93697965,0.9144545820000001,0.8236722957718798,1.0052368682281203
8,8,8,8,8,8,8,SM122,Toluene,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,0.5,30,25,0.18,CF,appcat,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,351.4100000000001,1.867199999999999,351.4100000000001,1.867199999999999,1,0,0,0,0,0,0,0,1,0,0.7341178,0.8035201,0.8243898,0.9075612,0.81675345,0.8172684699999999,0.7404587113576357,0.8940782286423641
9,9,9,9,9,9,9,SM122,Toluene,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,0.5,30,25,0.18,CF,appcat,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,533.6750000000002,5.865080000000005,533.6750000000002,5.865080000000005,1,0,0,0,0,0,0,0,1,0,0.8150468,0.878242,0.9544748,0.99972045,0.93848604,0.917194018,0.8280767628357791,1.006311273164221
