,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,SS336,Acetonitrile,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,0.5,30,25,0.456,CF,appcat,SS,500,82.0,0.0,0,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,411.41400000000016,1.9686,411.41400000000016,1.9686,0,0,0,0,0,1,0,0,1,0,0.82728493,0.89673185,0.8682592,0.8555497,0.8834779,0.866260716,0.8330432849401093,0.8994781470598907
1,1,1,1,1,1,1,SS336,Acetonitrile,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,0.5,30,25,0.456,CF,appcat,SS,500,82.0,0.0,0,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,415.9020000000001,4.038800000000002,415.9020000000001,4.038800000000002,0,0,0,0,0,1,0,0,1,0,0.77201533,0.7925701,0.8652752,0.8698231,0.9158545,0.843107646,0.7693738634128764,0.9168414285871236
2,2,2,2,2,2,2,SS336,Acetonitrile,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,0.5,30,25,0.456,CF,appcat,SS,500,82.0,0.0,0,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,472.6170000000002,4.766700000000004,472.6170000000002,4.766700000000004,0,0,0,0,0,1,0,0,1,0,0.7958847,0.93497324,0.801859,0.8445822,0.83563316,0.84258646,0.7733771154471488,0.9117958045528513
3,3,3,3,3,3,3,SS336,Acetonitrile,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,0.5,30,25,0.456,CF,appcat,SS,500,82.0,0.0,0,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,338.8200000000001,1.6752999999999998,338.8200000000001,1.6752999999999998,0,0,0,0,0,1,0,0,1,0,0.6287218,0.8194957,0.84768105,0.7695117,0.96130764,0.8053435780000001,0.6548040322414701,0.9558831237585301
4,4,4,4,4,4,4,SS336,Acetonitrile,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,0.5,30,25,0.456,CF,appcat,SS,500,82.0,0.0,0,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,359.43600000000004,2.4770600000000003,359.43600000000004,2.4770600000000003,0,0,0,0,0,1,0,0,1,0,0.69141096,0.84663975,0.75518686,0.8831184,0.94424343,0.8241198799999999,0.6987470796860544,0.9494926803139454
5,5,5,5,5,5,5,SS336,Acetonitrile,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,0.5,30,25,0.456,CF,appcat,SS,500,82.0,0.0,0,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,574.6940000000004,7.427680000000006,574.6940000000004,7.427680000000006,0,0,0,0,0,1,0,0,1,0,0.87229955,0.85422456,0.8178936,0.8242648,0.8529021,0.844316922,0.8161721102661275,0.8724617337338725
6,6,6,6,6,6,6,SS336,Acetonitrile,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,0.5,30,25,0.456,CF,appcat,SS,500,82.0,0.0,0,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,489.6010000000001,4.169800000000003,489.6010000000001,4.169800000000003,0,0,0,0,0,1,0,0,1,0,0.85825217,0.8592726,0.8369095,0.8919306,0.8732507,0.863923114,0.8386670352412179,0.8891791927587821
7,7,7,7,7,7,7,SS336,Acetonitrile,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,0.5,30,25,0.456,CF,appcat,SS,500,82.0,0.0,0,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,514.7170000000003,4.133100000000004,514.7170000000003,4.133100000000004,0,0,0,0,0,1,0,0,1,0,0.74296725,0.7370434,0.84163064,0.87845254,0.8904468,0.818108126,0.7267692390146443,0.9094470129853558
8,8,8,8,8,8,8,SS336,Acetonitrile,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,0.5,30,25,0.456,CF,appcat,SS,500,82.0,0.0,0,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,351.4100000000001,1.867199999999999,351.4100000000001,1.867199999999999,0,0,0,0,0,1,0,0,1,0,0.671123,0.6811662,0.8002951,0.8614596,0.7652605,0.75586088,0.6558054756124407,0.8559162843875592
9,9,9,9,9,9,9,SS336,Acetonitrile,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,0.5,30,25,0.456,CF,appcat,SS,500,82.0,0.0,0,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,533.6750000000002,5.865080000000005,533.6750000000002,5.865080000000005,0,0,0,0,0,1,0,0,1,0,0.8340925,0.8528372,0.8487623,0.84992075,0.88968027,0.8550586040000001,0.8293917775571379,0.8807254304428623
