,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,SS336,Ethanol,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,0.5,30,25,0.321,CF,appcat,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,411.41400000000016,1.9686,411.41400000000016,1.9686,0,0,0,0,0,1,0,0,1,0,0.97539973,0.9231791,0.8190725,0.991546,0.8837618,0.9185918259999999,0.8314810665641079,1.0057025854358919
1,1,1,1,1,1,1,SS336,Ethanol,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,0.5,30,25,0.321,CF,appcat,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,415.9020000000001,4.038800000000002,415.9020000000001,4.038800000000002,0,0,0,0,0,1,0,0,1,0,0.84700286,0.92241716,0.86453825,0.96736073,0.9085535,0.9019745,0.8425563086132443,0.9613926913867558
2,2,2,2,2,2,2,SS336,Ethanol,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,0.5,30,25,0.321,CF,appcat,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,472.6170000000002,4.766700000000004,472.6170000000002,4.766700000000004,0,0,0,0,0,1,0,0,1,0,0.88508654,0.9755236,0.8030632,0.9547808,0.7898859,0.8816680079999999,0.7763665733943739,0.9869694426056259
3,3,3,3,3,3,3,SS336,Ethanol,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,0.5,30,25,0.321,CF,appcat,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,338.8200000000001,1.6752999999999998,338.8200000000001,1.6752999999999998,0,0,0,0,0,1,0,0,1,0,0.7914682,0.7390108,0.90492046,0.71865034,0.9794692,0.8267038,0.6877951224231595,0.9656124775768404
4,4,4,4,4,4,4,SS336,Ethanol,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,0.5,30,25,0.321,CF,appcat,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,359.43600000000004,2.4770600000000003,359.43600000000004,2.4770600000000003,0,0,0,0,0,1,0,0,1,0,0.9455629,0.91262233,0.8427775,0.9798632,0.92689276,0.9215437380000001,0.8585655301975097,0.9845219458024905
5,5,5,5,5,5,5,SS336,Ethanol,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,0.5,30,25,0.321,CF,appcat,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,574.6940000000004,7.427680000000006,574.6940000000004,7.427680000000006,0,0,0,0,0,1,0,0,1,0,0.87498796,0.9204437,0.72416705,0.9034994,0.7665647,0.837932562,0.7294801877103799,0.9463849362896201
6,6,6,6,6,6,6,SS336,Ethanol,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,0.5,30,25,0.321,CF,appcat,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,489.6010000000001,4.169800000000003,489.6010000000001,4.169800000000003,0,0,0,0,0,1,0,0,1,0,0.8872498,0.95096064,0.8399775,0.983135,0.83978295,0.900221178,0.8195141364037197,0.9809282195962803
7,7,7,7,7,7,7,SS336,Ethanol,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,0.5,30,25,0.321,CF,appcat,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,514.7170000000003,4.133100000000004,514.7170000000003,4.133100000000004,0,0,0,0,0,1,0,0,1,0,0.8643271,0.8486374,0.828846,0.9335253,0.8444813,0.8639634199999999,0.8131967438544216,0.9147300961455782
8,8,8,8,8,8,8,SS336,Ethanol,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,0.5,30,25,0.321,CF,appcat,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,351.4100000000001,1.867199999999999,351.4100000000001,1.867199999999999,0,0,0,0,0,1,0,0,1,0,0.9234699,0.90308744,0.849186,0.97535145,0.7729832,0.884815598,0.7890368748580372,0.9805943211419628
9,9,9,9,9,9,9,SS336,Ethanol,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,0.5,30,25,0.321,CF,appcat,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,533.6750000000002,5.865080000000005,533.6750000000002,5.865080000000005,0,0,0,0,0,1,0,0,1,0,0.8884253,0.90729165,0.8378,0.9481425,0.8455381,0.88543951,0.828948091699065,0.9419309283009349
