,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,SS336,Ethyl acetate,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,0.5,30,25,1.0,CF,appcat,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,411.41400000000016,1.9686,411.41400000000016,1.9686,0,0,0,0,0,1,0,0,1,0,0.6370355,0.617866,0.5354282,0.67095697,0.48087355,0.5884320439999999,0.49142070347231837,0.6854433845276815
1,1,1,1,1,1,1,SS336,Ethyl acetate,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,0.5,30,25,1.0,CF,appcat,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,415.9020000000001,4.038800000000002,415.9020000000001,4.038800000000002,0,0,0,0,0,1,0,0,1,0,0.61659324,0.53309923,0.38670462,0.837103,0.5974141,0.594182838,0.39176752631021095,0.7965981496897891
2,2,2,2,2,2,2,SS336,Ethyl acetate,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,0.5,30,25,1.0,CF,appcat,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,472.6170000000002,4.766700000000004,472.6170000000002,4.766700000000004,0,0,0,0,0,1,0,0,1,0,0.6962268,0.69843084,0.6403046,0.7563787,0.5522133,0.668710848,0.5731255980580315,0.7642960979419685
3,3,3,3,3,3,3,SS336,Ethyl acetate,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,0.5,30,25,1.0,CF,appcat,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,338.8200000000001,1.6752999999999998,338.8200000000001,1.6752999999999998,0,0,0,0,0,1,0,0,1,0,0.522522,0.38202894,0.39702946,0.6393402,0.4947106,0.48712624,0.3574297781983146,0.6168227018016854
4,4,4,4,4,4,4,SS336,Ethyl acetate,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,0.5,30,25,1.0,CF,appcat,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,359.43600000000004,2.4770600000000003,359.43600000000004,2.4770600000000003,0,0,0,0,0,1,0,0,1,0,0.74626714,0.63158673,0.6365223,0.772061,0.64258546,0.6858045260000001,0.6017462992160337,0.7698627527839664
5,5,5,5,5,5,5,SS336,Ethyl acetate,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,0.5,30,25,1.0,CF,appcat,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,574.6940000000004,7.427680000000006,574.6940000000004,7.427680000000006,0,0,0,0,0,1,0,0,1,0,0.6560705,0.66215414,0.47207353,0.709047,0.5424677,0.6083625739999999,0.48698432867464175,0.7297408193253582
6,6,6,6,6,6,6,SS336,Ethyl acetate,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,0.5,30,25,1.0,CF,appcat,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,489.6010000000001,4.169800000000003,489.6010000000001,4.169800000000003,0,0,0,0,0,1,0,0,1,0,0.65961075,0.5808576,0.4867282,0.8458291,0.6483836,0.6442818499999999,0.4803552998117038,0.8082084001882961
7,7,7,7,7,7,7,SS336,Ethyl acetate,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,0.5,30,25,1.0,CF,appcat,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,514.7170000000003,4.133100000000004,514.7170000000003,4.133100000000004,0,0,0,0,0,1,0,0,1,0,0.7442682,0.67167044,0.5368021,0.81825775,0.6986718,0.693934058,0.564898830201085,0.8229692857989149
8,8,8,8,8,8,8,SS336,Ethyl acetate,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,0.5,30,25,1.0,CF,appcat,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,351.4100000000001,1.867199999999999,351.4100000000001,1.867199999999999,0,0,0,0,0,1,0,0,1,0,0.56720436,0.6174375,0.5478842,0.67993224,0.43576774,0.5696452080000001,0.4571220700680531,0.6821683459319471
9,9,9,9,9,9,9,SS336,Ethyl acetate,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,0.5,30,25,1.0,CF,appcat,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,533.6750000000002,5.865080000000005,533.6750000000002,5.865080000000005,0,0,0,0,0,1,0,0,1,0,0.68177366,0.6095285,0.46504003,0.6998507,0.6113585,0.6135102779999999,0.498734480301254,0.7282860756987458
