,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,SS336,Toluene,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,CCOC(=O)[C@@H]1[C@@H]2C=C[C@@H](C2)[C@@H]1Nc1c(NCc2ccccc2[N+](=O)[O-])c(=O)c1=O,0.5,30,25,0.798,CF,appcat,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,411.41400000000016,1.9686,411.41400000000016,1.9686,0,0,0,0,0,1,0,0,1,0,0.62303627,0.41635177,0.5202043,0.6844168,0.3595932,0.520720468,0.35169891292433103,0.689742023075669
1,1,1,1,1,1,1,SS336,Toluene,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,O=C(Nc1ccccc1NS(=O)(=O)NCc1ccc(Cl)cc1)c1ccccc1,0.5,30,25,0.798,CF,appcat,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,415.9020000000001,4.038800000000002,415.9020000000001,4.038800000000002,0,0,0,0,0,1,0,0,1,0,0.5177957,0.4347041,0.5190499,0.8325917,0.5397466,0.5687776,0.3789528177049777,0.7586023822950223
2,2,2,2,2,2,2,SS336,Toluene,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,CCOC(=O)C[C@]1(Nc2c(Nc3ncc(C)s3)c(=S)c2=S)C(=O)N(C)c2ccccc21,0.5,30,25,0.798,CF,appcat,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,472.6170000000002,4.766700000000004,472.6170000000002,4.766700000000004,0,0,0,0,0,1,0,0,1,0,0.6366553,0.5362801,0.553124,0.7655639,0.50722575,0.59976981,0.47010744912538627,0.7294321708746137
3,3,3,3,3,3,3,SS336,Toluene,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,O=C(COc1ccc(Cl)cc1)NC(=S)NCCc1c[nH]cn1,0.5,30,25,0.798,CF,appcat,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,338.8200000000001,1.6752999999999998,338.8200000000001,1.6752999999999998,0,0,0,0,0,1,0,0,1,0,0.45098132,0.22095874,0.40194818,0.6157234,0.39535573,0.41699347400000003,0.2416450540502189,0.5923418939497811
4,4,4,4,4,4,4,SS336,Toluene,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,C=CCC1(CC=C)C(=O)N=C(Nc2c(NC#N)c(=S)c2=S)NC1=O,0.5,30,25,0.798,CF,appcat,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,359.43600000000004,2.4770600000000003,359.43600000000004,2.4770600000000003,0,0,0,0,0,1,0,0,1,0,0.679437,0.37773383,0.5567948,0.75063825,0.5357253,0.580065836,0.4018368286694017,0.7582948433305983
5,5,5,5,5,5,5,SS336,Toluene,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,CN1C(=O)[C@@H](Nc2c(Nc3ccc(OC(F)(F)F)cc3)c(=S)c2=S)C[C@H](N2CCCCCC2)c2ccccc21,0.5,30,25,0.798,CF,appcat,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,574.6940000000004,7.427680000000006,574.6940000000004,7.427680000000006,0,0,0,0,0,1,0,0,1,0,0.6753677,0.5935872,0.5672784,0.7543275,0.6428957,0.6466913,0.5555563171362133,0.7378262828637866
6,6,6,6,6,6,6,SS336,Toluene,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,CC(C)(C)c1cc(NS(=O)(=O)NC(=O)C(c2ccccc2)c2ccccc2)n(-c2ccccn2)n1,0.5,30,25,0.798,CF,appcat,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,489.6010000000001,4.169800000000003,489.6010000000001,4.169800000000003,0,0,0,0,0,1,0,0,1,0,0.5555647,0.48918936,0.5524947,0.81829685,0.5686608,0.596841282,0.43844269188546753,0.7552398721145324
7,7,7,7,7,7,7,SS336,Toluene,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](NS(=O)(=O)NCCc1cccs1)c1ccnc2ccc(OC)cc12,0.5,30,25,0.798,CF,appcat,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,514.7170000000003,4.133100000000004,514.7170000000003,4.133100000000004,0,0,0,0,0,1,0,0,1,0,0.6530199,0.46427006,0.60100365,0.8410875,0.6415035,0.640176922,0.4724264022640424,0.8079274417359575
8,8,8,8,8,8,8,SS336,Toluene,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,O=c1c(NCCN2CCCCC2)c(Nc2ccc3cccnc3n2)c1=O,0.5,30,25,0.798,CF,appcat,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,351.4100000000001,1.867199999999999,351.4100000000001,1.867199999999999,0,0,0,0,0,1,0,0,1,0,0.52080977,0.43194324,0.4210582,0.67290366,0.28658992,0.46666095799999996,0.289774322175395,0.6435475938246049
9,9,9,9,9,9,9,SS336,Toluene,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,CN(Cc1ccccc1)C(=O)[C@H](Nc1c(NC(=O)c2cc3ccccc3oc2=O)c(=S)c1=S)C(C)(C)C,0.5,30,25,0.798,CF,appcat,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,533.6750000000002,5.865080000000005,533.6750000000002,5.865080000000005,0,0,0,0,0,1,0,0,1,0,0.6934337,0.5176822,0.5558902,0.7433393,0.593733,0.62081568,0.5032327897393944,0.7383985702606055
10,10,10,10,10,10,10,SS336,Toluene,NC(=O)CCNc1c(Nc2c(F)cc(O)cc2F)c(=O)c(=O)c1=O,NC(=O)CCNc1c(Nc2c(F)cc(O)cc2F)c(=O)c(=O)c1=O,0.5,30,25,0.798,CF,appcat,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,339.25400000000013,-0.3425000000000006,339.25400000000013,-0.3425000000000006,0,0,0,0,0,1,0,0,1,0,0.4547928,0.35088617,0.37759838,0.6217214,0.29336858,0.419673466,0.26198743685593573,0.5773594951440643
11,11,11,11,11,11,11,SS336,Toluene,CC(C)(C)C(=O)Oc1cc(/C=N/[C@@H]2CCCC[C@H]2Nc2c(Nc3cccc(F)c3F)c(=S)c2=S)c(O)c(C(C)(C)C)c1,CC(C)(C)C(=O)Oc1cc(/C=N/[C@@H]2CCCC[C@H]2Nc2c(Nc3cccc(F)c3F)c(=S)c2=S)c(O)c(C(C)(C)C)c1,0.5,30,25,0.798,CF,appcat,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,613.7959999999999,8.839780000000003,613.7959999999999,8.839780000000003,0,0,0,0,0,1,0,0,1,0,0.56523126,0.6296625,0.52951115,0.77170414,0.7388188,0.64698557,0.5156210410746713,0.7783500989253287
12,12,12,12,12,12,12,SS336,Toluene,CCOC(=O)c1cnn(C)c1S(=O)(=O)Nc1c(Nc2cccc(/N=N/c3cccc([N+](=O)[O-])c3)c2)c(=O)c1=O,CCOC(=O)c1cnn(C)c1S(=O)(=O)Nc1c(Nc2cccc(/N=N/c3cccc([N+](=O)[O-])c3)c2)c(=O)c1=O,0.5,30,25,0.798,CF,appcat,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,553.5130000000003,3.0608000000000013,553.5130000000003,3.0608000000000013,0,0,0,0,0,1,0,0,1,0,0.5636101,0.5290406,0.5740455,0.84159565,0.5175154,0.60516145,0.43849139963677475,0.7718315003632252
13,13,13,13,13,13,13,SS336,Toluene,CCOC(=O)[C@]1(NC(=O)[C@H](Cc2ccccc2)NC(=O)NCCC(N)=O)Cc2cc(Br)c(OC)cc2C1,CCOC(=O)[C@]1(NC(=O)[C@H](Cc2ccccc2)NC(=O)NCCC(N)=O)Cc2cc(Br)c(OC)cc2C1,0.5,30,25,0.798,CF,appcat,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,575.4600000000002,1.7602999999999998,575.4600000000002,1.7602999999999998,0,0,0,0,0,1,0,0,1,0,0.5853565,0.4353238,0.5332856,0.7810494,0.5808395,0.58317096,0.4267096915697346,0.7396322284302654
14,14,14,14,14,14,14,SS336,Toluene,O=C(NS(=O)(=O)Nc1ccccc1C#Cc1cc([N+](=O)[O-])ccc1O)c1cccc(F)c1,O=C(NS(=O)(=O)Nc1ccccc1C#Cc1cc([N+](=O)[O-])ccc1O)c1cccc(F)c1,0.5,30,25,0.798,CF,appcat,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,455.4230000000002,2.926000000000001,455.4230000000002,2.926000000000001,0,0,0,0,0,1,0,0,1,0,0.51640093,0.45420903,0.600435,0.8132808,0.4900713,0.574879412,0.39638422031678755,0.7533746036832125
15,15,15,15,15,15,15,SS336,Toluene,CC(C)[C@H](NC(=O)NC[C@@H](C(=O)N[C@H](C(=O)OC(C)(C)C)C(C)C)C(F)(F)F)C(=O)O,CC(C)[C@H](NC(=O)NC[C@@H](C(=O)N[C@H](C(=O)OC(C)(C)C)C(C)C)C(F)(F)F)C(=O)O,0.5,30,25,0.798,CF,appcat,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,455.47400000000016,2.0558,455.47400000000016,2.0558,0,0,0,0,0,1,0,0,1,0,0.62777674,0.38571435,0.47837383,0.6996097,0.6599952,0.570293964,0.40534404733245244,0.7352438806675475
16,16,16,16,16,16,16,SS336,Toluene,O=c1c(NCc2ccc3ccc4cccc5ccc2c3c45)c(Nc2cccc3cc[nH]c23)c(=O)c1=O,O=c1c(NCc2ccc3ccc4cccc5ccc2c3c45)c(Nc2cccc3cc[nH]c23)c(=O)c1=O,0.5,30,25,0.798,CF,appcat,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,469.5000000000002,5.377200000000003,469.5000000000002,5.377200000000003,0,0,0,0,0,1,0,0,1,0,0.5510217,0.56171554,0.47972983,0.70023936,0.4958316,0.5577076059999999,0.4496663562514099,0.6657488557485899
17,17,17,17,17,17,17,SS336,Toluene,C=C(C)C(=O)OCCNc1c(Nc2ccc(Cl)c([N+](=O)[O-])c2)c1=O,C=C(C)C(=O)OCCNc1c(Nc2ccc(Cl)c([N+](=O)[O-])c2)c1=O,0.5,30,25,0.798,CF,appcat,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,351.7460000000001,2.758800000000001,351.7460000000001,2.758800000000001,0,0,0,0,0,1,0,0,1,0,0.5024288,0.3996947,0.5023445,0.59627974,0.38984877,0.47811930199999997,0.37224640907020123,0.5839921949297987
18,18,18,18,18,18,18,SS336,Toluene,CCN(CC)c1ccc2ccccc2c1-c1c(NS(=O)(=O)NC[C@@H](C)O)ccc2ccccc12,CCN(CC)c1ccc2ccccc2c1-c1c(NS(=O)(=O)NC[C@@H](C)O)ccc2ccccc12,0.5,30,25,0.798,CF,appcat,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,477.63000000000017,5.1333000000000055,477.63000000000017,5.1333000000000055,0,0,0,0,0,1,0,0,1,0,0.56274754,0.4798043,0.54290694,0.8199045,0.6321234,0.607497336,0.4453624252067929,0.7696322467932071
19,19,19,19,19,19,19,SS336,Toluene,O=C(NC(=O)C(Cl)(Cl)Cl)Nc1c2ccccc2nc2ccccc12,O=C(NC(=O)C(Cl)(Cl)Cl)Nc1c2ccccc2nc2ccccc12,0.5,30,25,0.798,CF,appcat,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,382.6340000000001,4.406300000000002,382.6340000000001,4.406300000000002,0,0,0,0,0,1,0,0,1,0,0.6254785,0.45026425,0.48221755,0.5466407,0.40424502,0.5017692039999999,0.3944829767393528,0.6090554312606471
20,20,20,20,20,20,20,SS336,Toluene,CCOC(=O)[C@H](C)C[C@@H](Cc1ccc(-c2ccccc2)cc1)Nc1c(NCCc2ccc(O)c(O)c2)c(=O)c1=O,CCOC(=O)[C@H](C)C[C@@H](Cc1ccc(-c2ccccc2)cc1)Nc1c(NCCc2ccc(O)c(O)c2)c(=O)c1=O,0.5,30,25,0.798,CF,appcat,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,542.6320000000002,4.627900000000005,542.6320000000002,4.627900000000005,0,0,0,0,0,1,0,0,1,0,0.62276906,0.58439595,0.5326579,0.74697876,0.6141724,0.6201948140000001,0.5219123138741415,0.7184773141258587
21,21,21,21,21,21,21,SS336,Toluene,CC(C)(C)C(=O)Nc1c(NC[C@@H]2CCC3=NN(c4ccccc4)[C]N32)c(=S)c1=S,CC(C)(C)C(=O)Nc1c(NC[C@@H]2CCC3=NN(c4ccccc4)[C]N32)c(=S)c1=S,0.5,30,25,0.798,CF,appcat,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,425.5830000000001,4.712070000000003,425.5830000000001,4.712070000000003,0,0,0,0,0,1,0,0,1,0,0.6442894,0.54195696,0.43273363,0.70514154,0.44670165,0.5541646360000001,0.4054765924219676,0.7028526795780325
22,22,22,22,22,22,22,SS336,Toluene,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](Nc1c(N[C@@H]2c3ccccc3C[C@@H]2O)c1=O)c1ccnc2ccc(OC)cc12,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](Nc1c(N[C@@H]2c3ccccc3C[C@@H]2O)c1=O)c1ccnc2ccc(OC)cc12,0.5,30,25,0.798,CF,appcat,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,522.6490000000003,4.599000000000004,522.6490000000003,4.599000000000004,0,0,0,0,0,1,0,0,1,0,0.6277408,0.48585173,0.5797795,0.74954724,0.5734218,0.6032682140000001,0.48348524825297967,0.7230511797470205
23,23,23,23,23,23,23,SS336,Toluene,COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@H](NS(=O)(=O)N[C@H](C)C(C)(C)C)C[C@H]1C[C@H]3O,COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@H](NS(=O)(=O)N[C@H](C)C(C)(C)C)C[C@H]1C[C@H]3O,0.5,30,25,0.798,CF,appcat,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,584.8640000000001,4.403400000000004,584.8640000000001,4.403400000000004,0,0,0,0,0,1,0,0,1,0,0.70793617,0.4531671,0.6764542,0.82730854,0.7668246,0.686338122,0.5093371606752216,0.8633390833247784
24,24,24,24,24,24,24,SS336,Toluene,COC(=O)[C@@H](Nc1c(N[C@@H](CO)Cc2ccccc2)c1=O)C(C)C,COC(=O)[C@@H](Nc1c(N[C@@H](CO)Cc2ccccc2)c1=O)C(C)C,0.5,30,25,0.798,CF,appcat,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,332.4000000000001,1.5473999999999992,332.4000000000001,1.5473999999999992,0,0,0,0,0,1,0,0,1,0,0.43417186,0.3617726,0.42137086,0.5814095,0.5048968,0.46072432399999996,0.3558031807352072,0.5656454672647927
25,25,25,25,25,25,25,SS336,Toluene,CN(C(=O)OC(C)(C)C)c1nc2c(I)c(NS(=O)(=O)N[C@H](C(=O)N3CCC[C@@H]3c3ccccc3)C(C)(C)C)ccc2s1,CN(C(=O)OC(C)(C)C)c1nc2c(I)c(NS(=O)(=O)N[C@H](C(=O)N3CCC[C@@H]3c3ccccc3)C(C)(C)C)ccc2s1,0.5,30,25,0.798,CF,appcat,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,727.6910000000001,6.296900000000007,727.6910000000001,6.296900000000007,0,0,0,0,0,1,0,0,1,0,0.54834276,0.4660461,0.57915443,0.85491085,0.7742048,0.644531788,0.44196722733950594,0.8470963486604941
26,26,26,26,26,26,26,SS336,Toluene,CC(=O)Nc1ccc(NC(=O)NCCCCc2c[nH]cn2)cc1,CC(=O)Nc1ccc(NC(=O)NCCCCc2c[nH]cn2)cc1,0.5,30,25,0.798,CF,appcat,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,315.37699999999995,2.5125,315.37699999999995,2.5125,0,0,0,0,0,1,0,0,1,0,0.5479646,0.27449027,0.32153678,0.6204728,0.4610229,0.44509747000000005,0.26306995883299644,0.6271249811670037
27,27,27,27,27,27,27,SS336,Toluene,O=C(Nc1ccc2ccccc2c1-c1c(P(c2ccccc2)c2ccccc2)ccc2ccccc12)N[C@@H](c1ccc(Cl)cc1)[C@@H](NC(=O)c1ccccc1)c1ccc(Cl)cc1,O=C(Nc1ccc2ccccc2c1-c1c(P(c2ccccc2)c2ccccc2)ccc2ccccc12)N[C@@H](c1ccc(Cl)cc1)[C@@H](NC(=O)c1ccccc1)c1ccc(Cl)cc1,0.5,30,25,0.798,CF,appcat,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,864.813,12.75909999999998,864.813,12.75909999999998,0,0,0,0,0,1,0,0,1,0,0.59716487,0.6234629,0.6347011,0.874603,0.96478343,0.7389430600000001,0.5295922862277671,0.9482938337722331
28,28,28,28,28,28,28,SS336,Toluene,COC(=O)c1ccccc1CS(=O)(=O)Nc1c(N[C@@H](C)c2ccc(Br)cc2)c1=O,COC(=O)c1ccccc1CS(=O)(=O)Nc1c(N[C@@H](C)c2ccc(Br)cc2)c1=O,0.5,30,25,0.798,CF,appcat,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,479.3520000000001,3.586500000000002,479.3520000000001,3.586500000000002,0,0,0,0,0,1,0,0,1,0,0.5215958,0.49479648,0.61106193,0.7674654,0.5582689,0.590637702,0.45649596519015023,0.7247794388098497
29,29,29,29,29,29,29,SS336,Toluene,COC(=O)CC[C@H](Nc1c(N[C@@H]2CCCC[C@H]2n2c(C)ccc2C)c(=S)c1=S)C(=O)OC,COC(=O)CC[C@H](Nc1c(N[C@@H]2CCCC[C@H]2n2c(C)ccc2C)c(=S)c1=S)C(=O)OC,0.5,30,25,0.798,CF,appcat,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,477.6520000000002,4.942020000000005,477.6520000000002,4.942020000000005,0,0,0,0,0,1,0,0,1,0,0.6430445,0.5713219,0.5217567,0.68641204,0.5110569,0.586718408,0.4919663687842505,0.6814704472157495
