,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_PBI,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_PMS600,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v40_fold3,rejection_mcmpnn_combi_v40_fold1,rejection_mcmpnn_combi_v40_fold4,rejection_mcmpnn_combi_v40_fold0,rejection_mcmpnn_combi_v40_fold2,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,SM122,Toluene,OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1,OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1,0.5,30,25,0.18,CF,fda,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,437.5310000000002,4.308100000000004,437.5310000000002,4.308100000000004,1,0,0,0,0,0,0,0,0,0,1,0,0.9508454,0.93991464,0.9440675,0.9460087,0.9371834,0.9436039280000001,0.9369964911748634,0.9502113648251369
1,1,1,1,1,1,1,SM122,Toluene,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,0.5,30,25,0.18,CF,fda,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,272.388,3.609200000000003,272.388,3.609200000000003,1,0,0,0,0,0,0,0,0,0,1,0,0.76226825,0.90218276,0.87462485,0.7960129,0.7297567,0.812969092,0.7218464744084929,0.9040917095915071
2,2,2,2,2,2,2,SM122,Toluene,ClC1=CC2=C(C=C1)N(CC1CC1)C(=O)CN=C2C1=CC=CC=C1,ClC1=CC2=C(C=C1)N(CC1CC1)C(=O)CN=C2C1=CC=CC=C1,0.5,30,25,0.18,CF,fda,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,324.811,3.934000000000003,324.811,3.934000000000003,1,0,0,0,0,0,0,0,0,0,1,0,0.8483523,0.86989367,0.87669635,0.8353621,0.86109304,0.858279492,0.837635153824551,0.878923830175449
3,3,3,3,3,3,3,SM122,Toluene,CN1N=C(S\C1=N/C(C)=O)S(N)(=O)=O,CN1N=C(S\C1=N/C(C)=O)S(N)(=O)=O,0.5,30,25,0.18,CF,fda,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,236.278,-1.4237999999999995,236.278,-1.4237999999999995,1,0,0,0,0,0,0,0,0,0,1,0,0.75996566,0.7548071,0.8321123,0.76835096,0.8451617,0.7920795440000001,0.7386594155924951,0.8454996724075051
4,4,4,4,4,4,4,SM122,Toluene,[H][C@@]12N3CC[C@@]11C4=CC(=C(OC)C=C4N(C=O)[C@@]1([H])[C@](O)([C@H](OC(C)=O)[C@]2(CC)C=CC3)C(=O)OC)[C@]1(C[C@]2([H])CN(C[C@](O)(CC)C2)CCC2=C1NC1=CC=CC=C21)C(=O)OC,[H][C@@]12N3CC[C@@]11C4=CC(=C(OC)C=C4N(C=O)[C@@]1([H])[C@](O)([C@H](OC(C)=O)[C@]2(CC)C=CC3)C(=O)OC)[C@]1(C[C@]2([H])CN(C[C@](O)(CC)C2)CCC2=C1NC1=CC=CC=C21)C(=O)OC,0.5,30,25,0.18,CF,fda,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,824.9719999999998,3.5175000000000027,824.9719999999998,3.5175000000000027,1,0,0,0,0,0,0,0,0,0,1,0,0.9721984,0.97152054,1.0,0.99039674,0.9454117,0.975905476,0.9499091171928002,1.0019018348071997
5,5,5,5,5,5,5,SM122,Toluene,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,0.5,30,25,0.18,CF,fda,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,404.54700000000025,4.195500000000004,404.54700000000025,4.195500000000004,1,0,0,0,0,0,0,0,0,0,1,0,0.892262,0.9165802,0.93257415,0.9069558,0.9605187,0.92177817,0.8893085514823272,0.9542477885176727
6,6,6,6,6,6,6,SM122,Toluene,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,0.5,30,25,0.18,CF,fda,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,511.57100000000025,-0.8697999999999988,511.57100000000025,-0.8697999999999988,1,0,0,0,0,0,0,0,0,0,1,0,0.8709506,0.8772329,0.92855716,0.9431585,0.90963507,0.905906846,0.866844935232924,0.944968756767076
7,7,7,7,7,7,7,SM122,Toluene,OC(=O)CCCCCCCC(O)=O,OC(=O)CCCCCCCC(O)=O,0.5,30,25,0.18,CF,fda,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,188.223,1.8863,188.223,1.8863,1,0,0,0,0,0,0,0,0,0,1,0,0.5648701,0.52215314,0.69555783,0.50573456,0.7023627,0.5981356660000001,0.4807142596166941,0.7155570723833061
8,8,8,8,8,8,8,SM122,Toluene,[H][C@@]12C[C@H](CC)[C@]3([H])N(C1)CCC1=C(NC4=CC(=C(OC)C=C14)[C@@]1([H])C[C@]4([H])C(C(=O)OC)[C@@]([H])(CC5=C1NC1=CC=CC=C51)N(C)C\C4=C\C)[C@@]3(C2)C(=O)OC,[H][C@@]12C[C@H](CC)[C@]3([H])N(C1)CCC1=C(NC4=CC(=C(OC)C=C14)[C@@]1([H])C[C@]4([H])C(C(=O)OC)[C@@]([H])(CC5=C1NC1=CC=CC=C51)N(C)C\C4=C\C)[C@@]3(C2)C(=O)OC,0.5,30,25,0.18,CF,fda,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,704.9119999999999,6.488900000000007,704.9119999999999,6.488900000000007,1,0,0,0,0,0,0,0,0,0,1,0,0.9852632,0.99521613,1.0,0.99955446,0.9815625,0.992319258,0.9818341864708198,1.0028043295291802
9,9,9,9,9,9,9,SM122,Toluene,[H][C@]12C[C@@H](OC(=O)C=CC3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,[H][C@]12C[C@@H](OC(=O)C=CC3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,0.5,30,25,0.18,CF,fda,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,634.7260000000002,4.570700000000004,634.7260000000002,4.570700000000004,1,0,0,0,0,0,0,0,0,0,1,0,0.96582115,0.9737569,0.97585326,0.9669411,0.9814868,0.972771842,0.9647075798675562,0.9808361041324438
10,10,10,10,10,10,10,SM122,Toluene,NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1,NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1,0.5,30,25,0.18,CF,fda,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,286.33900000000006,1.0922999999999998,286.33900000000006,1.0922999999999998,1,0,0,0,0,0,0,0,0,0,1,0,0.5346625,0.7044083,0.54068506,0.57807916,0.7419659,0.619960184,0.5000075701505605,0.7399127978494394
11,11,11,11,11,11,11,SM122,Toluene,COC1=CC(=CC(OC)=C1OC)C(=O)NCC1=CC=C(OCCN(C)C)C=C1,COC1=CC(=CC(OC)=C1OC)C(=O)NCC1=CC=C(OCCN(C)C)C=C1,0.5,30,25,0.18,CF,fda,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,388.46400000000017,2.5828000000000007,388.46400000000017,2.5828000000000007,1,0,0,0,0,0,0,0,0,0,1,0,0.91319525,0.898044,0.8858,0.91730285,0.9249711,0.90786264,0.8882949108777386,0.9274303691222615
12,12,12,12,12,12,12,SM122,Toluene,COC1=C(OC)C=C(CCNCC(O)COC2=CC=CC(C)=C2)C=C1,COC1=C(OC)C=C(CCNCC(O)COC2=CC=CC(C)=C2)C=C1,0.5,30,25,0.18,CF,fda,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,345.439,2.58422,345.439,2.58422,1,0,0,0,0,0,0,0,0,0,1,0,0.66832614,0.7572676,0.8266624,0.7335822,0.7216424,0.741496148,0.6698641840856556,0.8131281119143443
13,13,13,13,13,13,13,SM122,Toluene,CS(C)=O,CS(C)=O,0.5,30,25,0.18,CF,fda,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,78.136,-0.0052999999999999,78.136,-0.0052999999999999,1,0,0,0,0,0,0,0,0,0,1,0,0.49143928,0.34909672,0.47773513,0.4637135,0.46322298,0.4490415219999999,0.37818438774306484,0.519898656256935
14,14,14,14,14,14,14,SM122,Toluene,C\N=C(\NCCSCC1=C(C)NC=N1)NC#N,C\N=C(\NCCSCC1=C(C)NC=N1)NC#N,0.5,30,25,0.18,CF,fda,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,252.347,0.5973999999999998,252.347,0.5973999999999998,1,0,0,0,0,0,0,0,0,0,1,0,0.77466685,0.72502893,0.8486587,0.7079592,0.8255045,0.776363636,0.7004323068942518,0.8522949651057482
15,15,15,15,15,15,15,SM122,Toluene,CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,0.5,30,25,0.18,CF,fda,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,471.6850000000001,6.445800000000007,471.6850000000001,6.445800000000007,1,0,0,0,0,0,0,0,0,0,1,0,0.9772265,0.93217945,0.94244367,0.9683971,0.942011,0.952451544,0.9285017516792442,0.9764013363207558
16,16,16,16,16,16,16,SM122,Toluene,OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,0.5,30,25,0.18,CF,fda,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,267.278,-4.492399999999994,267.278,-4.492399999999994,1,0,0,0,0,0,0,0,0,0,1,0,0.6166115,0.48757344,0.5304645,0.42256185,0.6060908,0.5326604180000001,0.431407386739446,0.6339134492605542
17,17,17,17,17,17,17,SM122,Toluene,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C,0.5,30,25,0.18,CF,fda,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,374.47700000000015,1.8036,374.47700000000015,1.8036,1,0,0,0,0,0,0,0,0,0,1,0,0.89267004,0.89567035,0.92650676,0.9008943,0.8717338,0.8974950500000001,0.8731042802247353,0.9218858197752648
18,18,18,18,18,18,18,SM122,Toluene,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@]([H])(F)C5=CC(=O)CC[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@]([H])(F)C5=CC(=O)CC[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,0.5,30,25,0.18,CF,fda,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,436.5200000000003,2.498700000000001,436.5200000000003,2.498700000000001,1,0,0,0,0,0,0,0,0,0,1,0,0.96334267,0.92836523,0.9881578,0.9592682,0.91732013,0.9512908059999999,0.9159107328646834,0.9866708791353165
19,19,19,19,19,19,19,SM122,Toluene,[H][C@@]12CCCN1C(=O)[C@H](NC(=O)[C@@H](NC(=O)C1=C3N=C4C(OC3=C(C)C=C1)=C(C)C(=O)C(N)=C4C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@]3([H])CCCN3C(=O)[C@H](NC1=O)C(C)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C2=O)C(C)C,[H][C@@]12CCCN1C(=O)[C@H](NC(=O)[C@@H](NC(=O)C1=C3N=C4C(OC3=C(C)C=C1)=C(C)C(=O)C(N)=C4C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@]3([H])CCCN3C(=O)[C@H](NC1=O)C(C)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C2=O)C(C)C,0.5,30,25,0.18,CF,fda,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,1255.437999999999,0.7256400000000023,1255.437999999999,0.7256400000000023,1,0,0,0,0,0,0,0,0,0,1,0,0.97650254,0.9667339,0.96929646,1.0,1.0,0.9825065800000001,0.9621856126173735,1.002827547382627
20,20,20,20,20,20,20,SM122,Toluene,CCC[C@@]1(CCC2=CC=CC=C2)CC(=O)C([C@H](CC)C2=CC(NS(=O)(=O)C3=NC=C(C=C3)C(F)(F)F)=CC=C2)=C(O)O1,CCC[C@@]1(CCC2=CC=CC=C2)CC(=O)C([C@H](CC)C2=CC(NS(=O)(=O)C3=NC=C(C=C3)C(F)(F)F)=CC=C2)=C(O)O1,0.5,30,25,0.18,CF,fda,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,602.6750000000002,7.325500000000006,602.6750000000002,7.325500000000006,1,0,0,0,0,0,0,0,0,0,1,0,0.9936495,0.9583025,0.9765127,0.999768,0.9594443,0.9775354,0.9538769678427667,1.0011938321572333
