,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_PBI,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_PMS600,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v40_fold3,rejection_mcmpnn_combi_v40_fold1,rejection_mcmpnn_combi_v40_fold4,rejection_mcmpnn_combi_v40_fold0,rejection_mcmpnn_combi_v40_fold2,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,SS336,Toluene,OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1,OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1,0.5,30,25,0.798,CF,fda,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,437.5310000000002,4.308100000000004,437.5310000000002,4.308100000000004,0,0,0,0,0,0,0,1,0,0,1,0,0.5930537,0.634965,0.61873794,0.54874164,0.6107683,0.601253316,0.5602716579865532,0.6422349740134468
1,1,1,1,1,1,1,SS336,Toluene,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,0.5,30,25,0.798,CF,fda,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,272.388,3.609200000000003,272.388,3.609200000000003,0,0,0,0,0,0,0,1,0,0,1,0,0.274316,0.58123606,0.49410766,0.47538418,0.29266465,0.42354171,0.2570338961118753,0.5900495238881247
2,2,2,2,2,2,2,SS336,Toluene,ClC1=CC2=C(C=C1)N(CC1CC1)C(=O)CN=C2C1=CC=CC=C1,ClC1=CC2=C(C=C1)N(CC1CC1)C(=O)CN=C2C1=CC=CC=C1,0.5,30,25,0.798,CF,fda,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,324.811,3.934000000000003,324.811,3.934000000000003,0,0,0,0,0,0,0,1,0,0,1,0,0.33965176,0.54599404,0.4369208,0.42805758,0.43379605,0.43688404599999997,0.3459654268189095,0.5278026651810904
3,3,3,3,3,3,3,SS336,Toluene,CN1N=C(S\C1=N/C(C)=O)S(N)(=O)=O,CN1N=C(S\C1=N/C(C)=O)S(N)(=O)=O,0.5,30,25,0.798,CF,fda,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,236.278,-1.4237999999999995,236.278,-1.4237999999999995,0,0,0,0,0,0,0,1,0,0,1,0,0.44517604,0.5123049,0.3947338,0.5004461,0.62554437,0.49564104200000003,0.3882808329581539,0.6030012510418461
4,4,4,4,4,4,4,SS336,Toluene,[H][C@@]12N3CC[C@@]11C4=CC(=C(OC)C=C4N(C=O)[C@@]1([H])[C@](O)([C@H](OC(C)=O)[C@]2(CC)C=CC3)C(=O)OC)[C@]1(C[C@]2([H])CN(C[C@](O)(CC)C2)CCC2=C1NC1=CC=CC=C21)C(=O)OC,[H][C@@]12N3CC[C@@]11C4=CC(=C(OC)C=C4N(C=O)[C@@]1([H])[C@](O)([C@H](OC(C)=O)[C@]2(CC)C=CC3)C(=O)OC)[C@]1(C[C@]2([H])CN(C[C@](O)(CC)C2)CCC2=C1NC1=CC=CC=C21)C(=O)OC,0.5,30,25,0.798,CF,fda,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,824.9719999999998,3.5175000000000027,824.9719999999998,3.5175000000000027,0,0,0,0,0,0,0,1,0,0,1,0,0.77508736,0.81257874,0.7731575,0.7740365,0.7901661,0.78500524,0.7639886424348308,0.8060218375651693
5,5,5,5,5,5,5,SS336,Toluene,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,0.5,30,25,0.798,CF,fda,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,404.54700000000025,4.195500000000004,404.54700000000025,4.195500000000004,0,0,0,0,0,0,0,1,0,0,1,0,0.5387239,0.5851791,0.50433534,0.52632505,0.57549405,0.546011488,0.5039921703347782,0.5880308056652218
6,6,6,6,6,6,6,SS336,Toluene,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,0.5,30,25,0.798,CF,fda,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,511.57100000000025,-0.8697999999999988,511.57100000000025,-0.8697999999999988,0,0,0,0,0,0,0,1,0,0,1,0,0.6200871,0.6925189,0.6129857,0.6898709,0.67453134,0.657998788,0.6101332081174996,0.7058643678825004
7,7,7,7,7,7,7,SS336,Toluene,OC(=O)CCCCCCCC(O)=O,OC(=O)CCCCCCCC(O)=O,0.5,30,25,0.798,CF,fda,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,188.223,1.8863,188.223,1.8863,0,0,0,0,0,0,0,1,0,0,1,0,0.13111138,0.14080185,0.2765591,0.11982548,0.3764329,0.208946142,0.06837503437912501,0.349517249620875
8,8,8,8,8,8,8,SS336,Toluene,[H][C@@]12C[C@H](CC)[C@]3([H])N(C1)CCC1=C(NC4=CC(=C(OC)C=C14)[C@@]1([H])C[C@]4([H])C(C(=O)OC)[C@@]([H])(CC5=C1NC1=CC=CC=C51)N(C)C\C4=C\C)[C@@]3(C2)C(=O)OC,[H][C@@]12C[C@H](CC)[C@]3([H])N(C1)CCC1=C(NC4=CC(=C(OC)C=C14)[C@@]1([H])C[C@]4([H])C(C(=O)OC)[C@@]([H])(CC5=C1NC1=CC=CC=C51)N(C)C\C4=C\C)[C@@]3(C2)C(=O)OC,0.5,30,25,0.798,CF,fda,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,704.9119999999999,6.488900000000007,704.9119999999999,6.488900000000007,0,0,0,0,0,0,0,1,0,0,1,0,0.75707847,0.8320441,0.7949983,0.8374413,0.71413606,0.787139646,0.7224966854919491,0.8517826065080508
9,9,9,9,9,9,9,SS336,Toluene,[H][C@]12C[C@@H](OC(=O)C=CC3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,[H][C@]12C[C@@H](OC(=O)C=CC3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,0.5,30,25,0.798,CF,fda,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,634.7260000000002,4.570700000000004,634.7260000000002,4.570700000000004,0,0,0,0,0,0,0,1,0,0,1,0,0.7202068,0.80561817,0.70576334,0.7014019,0.71867394,0.7303328299999999,0.6771184109640954,0.7835472490359044
10,10,10,10,10,10,10,SS336,Toluene,NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1,NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1,0.5,30,25,0.798,CF,fda,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,286.33900000000006,1.0922999999999998,286.33900000000006,1.0922999999999998,0,0,0,0,0,0,0,1,0,0,1,0,0.40190297,0.37756252,0.111252844,0.2867245,0.5441081,0.34431018680000003,0.1460579215640937,0.5425624520359064
11,11,11,11,11,11,11,SS336,Toluene,COC1=CC(=CC(OC)=C1OC)C(=O)NCC1=CC=C(OCCN(C)C)C=C1,COC1=CC(=CC(OC)=C1OC)C(=O)NCC1=CC=C(OCCN(C)C)C=C1,0.5,30,25,0.798,CF,fda,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,388.46400000000017,2.5828000000000007,388.46400000000017,2.5828000000000007,0,0,0,0,0,0,0,1,0,0,1,0,0.47362924,0.5839206,0.5420242,0.53948313,0.50083417,0.527978268,0.4754828438461231,0.580473692153877
12,12,12,12,12,12,12,SS336,Toluene,COC1=C(OC)C=C(CCNCC(O)COC2=CC=CC(C)=C2)C=C1,COC1=C(OC)C=C(CCNCC(O)COC2=CC=CC(C)=C2)C=C1,0.5,30,25,0.798,CF,fda,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,345.439,2.58422,345.439,2.58422,0,0,0,0,0,0,0,1,0,0,1,0,0.3042613,0.3723358,0.35372722,0.3669821,0.38439137,0.356339558,0.3176929935405495,0.39498612245945053
13,13,13,13,13,13,13,SS336,Toluene,CS(C)=O,CS(C)=O,0.5,30,25,0.798,CF,fda,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,78.136,-0.0052999999999999,78.136,-0.0052999999999999,0,0,0,0,0,0,0,1,0,0,1,0,-0.06752002,0.019127965,0.08668959,0.10329765,0.07991305,0.044301647,-0.042799196463914155,0.13140249046391417
14,14,14,14,14,14,14,SS336,Toluene,C\N=C(\NCCSCC1=C(C)NC=N1)NC#N,C\N=C(\NCCSCC1=C(C)NC=N1)NC#N,0.5,30,25,0.798,CF,fda,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,252.347,0.5973999999999998,252.347,0.5973999999999998,0,0,0,0,0,0,0,1,0,0,1,0,0.44149902,0.5336741,0.42674455,0.45875025,0.5084271,0.473819004,0.4173676349845464,0.5302703730154537
15,15,15,15,15,15,15,SS336,Toluene,CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,0.5,30,25,0.798,CF,fda,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,471.6850000000001,6.445800000000007,471.6850000000001,6.445800000000007,0,0,0,0,0,0,0,1,0,0,1,0,0.7050001,0.6597945,0.5884704,0.7067688,0.5617437,0.6443555,0.5616206871920927,0.7270903128079073
16,16,16,16,16,16,16,SS336,Toluene,OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,0.5,30,25,0.798,CF,fda,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,267.278,-4.492399999999994,267.278,-4.492399999999994,0,0,0,0,0,0,0,1,0,0,1,0,0.41861534,0.020983875,0.24329829,0.24572578,0.33505827,0.252736311,0.06842115778496524,0.4370514642150347
17,17,17,17,17,17,17,SS336,Toluene,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C,0.5,30,25,0.798,CF,fda,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,374.47700000000015,1.8036,374.47700000000015,1.8036,0,0,0,0,0,0,0,1,0,0,1,0,0.5485107,0.5843513,0.57773966,0.48358572,0.6397194,0.566781356,0.49598452006548527,0.6375781919345147
