Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,catalyst_smiles,hub,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42a_fold0,rejection_mcmpnn_combi_v42a_fold4,rejection_mcmpnn_combi_v42a_fold1,rejection_mcmpnn_combi_v42a_fold2,rejection_mcmpnn_combi_v42a_fold3,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper,rejection_mcmpnn_combi_v42d_fold1,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42c_fold4,rejection_mcmpnn_combi_v42c_fold1,rejection_mcmpnn_combi_v42c_fold3,rejection_mcmpnn_combi_v42c_fold2,rejection_mcmpnn_combi_v42c_fold0
0,0,0,0,0,0,0,GMT-oNF-2,Toluene,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OCCOC(C=C6C[P](C7=CC=CC=C7)8C9=CC=CC=C9)=CC%10=C6[Pd]8(Cl)[P](C%10)(C%11=CC=CC=C%11)C%12=CC=CC=C%12)C=C3C[P](C%13=CC=CC=C%13)1C%14=CC=CC=C%14,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OCCOC(C=C6C[P](C7=CC=CC=C7)8C9=CC=CC=C9)=CC%10=C6[Pd]8(Cl)[P](C%10)(C%11=CC=CC=C%11)C%12=CC=CC=C%12)C=C3C[P](C%13=CC=CC=C%13)1C%14=CC=CC=C%14,0.5,30,25,0.341,CF,metal_catalyst,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OC)C=C3C[P](C6=CC=CC=C6)1C7=CC=CC=C7,H1,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,1288.814,13.39919999999998,1288.814,13.39919999999998,0,0,0,0,0,0,1,0,1,0,1.0,1.0,1.0,1.0,0.9744215,0.9948843,0.9806808397753396,1.0090877602246604,,,,,,,,,,
1,1,1,1,1,1,1,GMT-oNF-2,Toluene,Cl[Pd]12[P](CC3=C1C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)=CC(OCC6=CC=C(C7=CC=C(COC(C=C8C[P](C9=CC=CC=C9)%10C%11=CC=CC=C%11)=CC%12=C8[Pd]%10(Cl)[P](C%12)(C%13=CC=CC=C%13)C%14=CC=CC=C%14)C=C7)C=C6)=C3)(C%15=CC=CC=C%15)C%16=CC=CC=C%16,Cl[Pd]12[P](CC3=C1C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)=CC(OCC6=CC=C(C7=CC=C(COC(C=C8C[P](C9=CC=CC=C9)%10C%11=CC=CC=C%11)=CC%12=C8[Pd]%10(Cl)[P](C%12)(C%13=CC=CC=C%13)C%14=CC=CC=C%14)C=C7)C=C6)=C3)(C%15=CC=CC=C%15)C%16=CC=CC=C%16,0.5,30,25,0.341,CF,metal_catalyst,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OC)C=C3C[P](C6=CC=CC=C6)1C7=CC=CC=C7,H2,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,1441.01,16.766399999999965,1441.01,16.766399999999965,0,0,0,0,0,0,1,0,1,0,1.0,1.0,1.0,1.0,0.9864583,0.99729166,0.9897721026637886,1.0048112173362114,,,,,,,,,,
2,2,2,2,2,2,2,GMT-oNF-2,Toluene,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OCC6=CC(COC(C=C7C[P](C8=CC=CC=C8)9C%10=CC=CC=C%10)=CC%11=C7[Pd]9(Cl)[P](C%11)(C%12=CC=CC=C%12)C%13=CC=CC=C%13)=CC(COC(C=C%14C[P](C%15=CC=CC=C%15)%16C%17=CC=CC=C%17)=CC%18=C%14[Pd]%16(Cl)[P](C%18)(C%19=CC=CC=C%19)C%20=CC=CC=C%20)=C6)C=C3C[P](C%21=CC=CC=C%21)1C%22=CC=CC=C%22,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OCC6=CC(COC(C=C7C[P](C8=CC=CC=C8)9C%10=CC=CC=C%10)=CC%11=C7[Pd]9(Cl)[P](C%11)(C%12=CC=CC=C%12)C%13=CC=CC=C%13)=CC(COC(C=C%14C[P](C%15=CC=CC=C%15)%16C%17=CC=CC=C%17)=CC%18=C%14[Pd]%16(Cl)[P](C%18)(C%19=CC=CC=C%19)C%20=CC=CC=C%20)=C6)C=C3C[P](C%21=CC=CC=C%21)1C%22=CC=CC=C%22,0.5,30,25,0.341,CF,metal_catalyst,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OC)C=C3C[P](C6=CC=CC=C6)1C7=CC=CC=C7,H3,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,2008.311,21.805800000000016,2008.311,21.805800000000016,0,0,0,0,0,0,1,0,1,0,1.0,1.0,1.0,1.0,0.99974334,0.999948668,0.99980614751986,1.00009118848014,,,,,,,,,,
3,3,3,3,3,3,3,GMT-oNF-2,Toluene,Cl[Pd]12[P](CC3=C1C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)=CC(OCC(C=C6)=CC=C6C7=CC(C8=CC=C(COC9=CC(C[P](C%10=CC=CC=C%10)%11C%12=CC=CC=C%12)=C([Pd]%13%11Cl)C(C[P](C%14=CC=CC=C%14)%13C%15=CC=CC=C%15)=C9)C=C8)=CC(C%16=CC=C(COC(C=C%17C[P](C%18=CC=CC=C%18)%19C%20=CC=CC=C%20)=CC%21=C%17[Pd]%19(Cl)[P](C%21)(C%22=CC=CC=C%22)C%23=CC=CC=C%23)C=C%16)=C7)=C3)(C%24=CC=CC=C%24)C%25=CC=CC=C%25,Cl[Pd]12[P](CC3=C1C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)=CC(OCC(C=C6)=CC=C6C7=CC(C8=CC=C(COC9=CC(C[P](C%10=CC=CC=C%10)%11C%12=CC=CC=C%12)=C([Pd]%13%11Cl)C(C[P](C%14=CC=CC=C%14)%13C%15=CC=CC=C%15)=C9)C=C8)=CC(C%16=CC=C(COC(C=C%17C[P](C%18=CC=CC=C%18)%19C%20=CC=CC=C%20)=CC%21=C%17[Pd]%19(Cl)[P](C%21)(C%22=CC=CC=C%22)C%23=CC=CC=C%23)C=C%16)=C7)=C3)(C%24=CC=CC=C%24)C%25=CC=CC=C%25,0.5,30,25,0.341,CF,metal_catalyst,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OC)C=C3C[P](C6=CC=CC=C6)1C7=CC=CC=C7,H4,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,2236.604999999997,26.80680000000006,2236.604999999997,26.80680000000006,0,0,0,0,0,0,1,0,1,0,1.0,1.0,1.0,1.0,0.996927,0.9993854,0.9976789968383456,1.0010918031616547,,,,,,,,,,
4,4,4,4,4,4,4,GMT-oNF-2,Toluene,Cl[Pd]12[P](CC3=C1C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)=CC(OCC(COC(C=C6C[P](C7=CC=CC=C7)8C9=CC=CC=C9)=CC%10=C6[Pd]8(Cl)[P](C%10)(C%11=CC=CC=C%11)C%12=CC=CC=C%12)(COC%13=CC(C[P](C%14=CC=CC=C%14)%15C%16=CC=CC=C%16)=C([Pd]%17%15Cl)C(C[P](C%18=CC=CC=C%18)%17C%19=CC=CC=C%19)=C%13)COC%20=CC(C[P](C%21=CC=CC=C%21)%22C%23=CC=CC=C%23)=C([Pd]%24%22Cl)C(C[P](C%25=CC=CC=C%25)%24C%26=CC=CC=C%26)=C%20)=C3)(C%27=CC=CC=C%27)C%28=CC=CC=C%28,Cl[Pd]12[P](CC3=C1C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)=CC(OCC(COC(C=C6C[P](C7=CC=CC=C7)8C9=CC=CC=C9)=CC%10=C6[Pd]8(Cl)[P](C%10)(C%11=CC=CC=C%11)C%12=CC=CC=C%12)(COC%13=CC(C[P](C%14=CC=CC=C%14)%15C%16=CC=CC=C%16)=C([Pd]%17%15Cl)C(C[P](C%18=CC=CC=C%18)%17C%19=CC=CC=C%19)=C%13)COC%20=CC(C[P](C%21=CC=CC=C%21)%22C%23=CC=CC=C%23)=C([Pd]%24%22Cl)C(C[P](C%25=CC=CC=C%25)%24C%26=CC=CC=C%26)=C%20)=C3)(C%27=CC=CC=C%27)C%28=CC=CC=C%28,0.5,30,25,0.341,CF,metal_catalyst,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OC)C=C3C[P](C6=CC=CC=C6)1C7=CC=CC=C7,H5,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,2589.638999999995,26.79840000000005,2589.638999999995,26.79840000000005,0,0,0,0,0,0,1,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
5,5,5,5,5,5,5,GMT-oNF-2,Toluene,Cl[Pd]12[P](CC3=C1C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)=CC(OCC(C=C6)=CC=C6C(C7=CC=C(COC(C=C8C[P](C9=CC=CC=C9)%10C%11=CC=CC=C%11)=CC%12=C8[Pd]%10(Cl)[P](C%12)(C%13=CC=CC=C%13)C%14=CC=CC=C%14)C=C7)(C%15=CC=C(COC(C=C%16C[P](C%17=CC=CC=C%17)%18C%19=CC=CC=C%19)=CC%20=C%16[Pd]%18(Cl)[P](C%20)(C%21=CC=CC=C%21)C%22=CC=CC=C%22)C=C%15)C%23=CC=C(COC%24=CC(C[P](C%25=CC=CC=C%25)%26C%27=CC=CC=C%27)=C([Pd]%28%26Cl)C(C[P](C%29=CC=CC=C%29)%28C%30=CC=CC=C%30)=C%24)C=C%23)=C3)(C%31=CC=CC=C%31)C%32=CC=CC=C%32,Cl[Pd]12[P](CC3=C1C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)=CC(OCC(C=C6)=CC=C6C(C7=CC=C(COC(C=C8C[P](C9=CC=CC=C9)%10C%11=CC=CC=C%11)=CC%12=C8[Pd]%10(Cl)[P](C%12)(C%13=CC=CC=C%13)C%14=CC=CC=C%14)C=C7)(C%15=CC=C(COC(C=C%16C[P](C%17=CC=CC=C%17)%18C%19=CC=CC=C%19)=CC%20=C%16[Pd]%18(Cl)[P](C%20)(C%21=CC=CC=C%21)C%22=CC=CC=C%22)C=C%15)C%23=CC=C(COC%24=CC(C[P](C%25=CC=CC=C%25)%26C%27=CC=CC=C%27)=C([Pd]%28%26Cl)C(C[P](C%29=CC=CC=C%29)%28C%30=CC=CC=C%30)=C%24)C=C%23)=C3)(C%31=CC=CC=C%31)C%32=CC=CC=C%32,0.5,30,25,0.341,CF,metal_catalyst,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OC)C=C3C[P](C6=CC=CC=C6)1C7=CC=CC=C7,H6,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,2894.030999999992,32.8949000000001,2894.030999999992,32.8949000000001,0,0,0,0,0,0,1,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
6,6,6,6,6,6,6,GMT-oNF-2,Toluene,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OCC(C=C6)=CC=C6C7=C(C8=CC=C(COC9=CC(C[P](C%10=CC=CC=C%10)%11C%12=CC=CC=C%12)=C([Pd]%13%11Cl)C(C[P](C%14=CC=CC=C%14)%13C%15=CC=CC=C%15)=C9)C=C8)C(C%16=CC=C(COC%17=CC(C[P](C%18=CC=CC=C%18)%19C%20=CC=CC=C%20)=C([Pd]%21%19Cl)C(C[P](C%22=CC=CC=C%22)%21C%23=CC=CC=C%23)=C%17)C=C%16)=C(C%24=CC=C(COC(C=C%25C[P](C%26=CC=CC=C%26)%27C%28=CC=CC=C%28)=CC%29=C%25[Pd]%27(Cl)[P](C%29)(C%30=CC=CC=C%30)C%31=CC=CC=C%31)C=C%24)C(C%32=CC=C(COC(C=C%33C[P](C%34=CC=CC=C%34)%35C%36=CC=CC=C%36)=CC%37=C%33[Pd]%35(Cl)[P](C%37)(C%38=CC=CC=C%38)C%39=CC=CC=C%39)C=C%32)=C7C%40=CC=C(COC(C=C%41C[P](C%42=CC=CC=C%42)%43C%44=CC=CC=C%44)=CC%45=C%41[Pd]%43(Cl)[P](C%45)(C%46=CC=CC=C%46)C%47=CC=CC=C%47)C=C%40)C=C3C[P](C%48=CC=CC=C%48)1C%49=CC=CC=C%49,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OCC(C=C6)=CC=C6C7=C(C8=CC=C(COC9=CC(C[P](C%10=CC=CC=C%10)%11C%12=CC=CC=C%12)=C([Pd]%13%11Cl)C(C[P](C%14=CC=CC=C%14)%13C%15=CC=CC=C%15)=C9)C=C8)C(C%16=CC=C(COC%17=CC(C[P](C%18=CC=CC=C%18)%19C%20=CC=CC=C%20)=C([Pd]%21%19Cl)C(C[P](C%22=CC=CC=C%22)%21C%23=CC=CC=C%23)=C%17)C=C%16)=C(C%24=CC=C(COC(C=C%25C[P](C%26=CC=CC=C%26)%27C%28=CC=CC=C%28)=CC%29=C%25[Pd]%27(Cl)[P](C%29)(C%30=CC=CC=C%30)C%31=CC=CC=C%31)C=C%24)C(C%32=CC=C(COC(C=C%33C[P](C%34=CC=CC=C%34)%35C%36=CC=CC=C%36)=CC%37=C%33[Pd]%35(Cl)[P](C%37)(C%38=CC=CC=C%38)C%39=CC=CC=C%39)C=C%32)=C7C%40=CC=C(COC(C=C%41C[P](C%42=CC=CC=C%42)%43C%44=CC=CC=C%44)=CC%45=C%41[Pd]%43(Cl)[P](C%45)(C%46=CC=CC=C%46)C%47=CC=CC=C%47)C=C%40)C=C3C[P](C%48=CC=CC=C%48)1C%49=CC=CC=C%49,0.5,30,25,0.341,CF,metal_catalyst,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OC)C=C3C[P](C6=CC=CC=C6)1C7=CC=CC=C7,H7,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,4395.095999999989,51.92699999999968,4395.095999999989,51.92699999999968,0,0,0,0,0,0,1,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
7,7,7,7,7,7,7,GMT-oNF-2,Toluene,O[C@@H]1[C@@H](O)[C@H](O[C@@H]2[C@H](O)[C@@H](O)[C@H](O3)[C@@H](COC4=CC(C[P](C5=CC=CC=C5)6C7=CC=CC=C7)=C([Pd]86Cl)C(C[P](C9=CC=CC=C9)8C%10=CC=CC=C%10)=C4)O2)[C@@H](COC%11=CC(C[P](C%12=CC=CC=C%12)%13C%14=CC=CC=C%14)=C([Pd]%15%13Cl)C(C[P](C%16=CC=CC=C%16)%15C%17=CC=CC=C%17)=C%11)O[C@@H]1O[C@H]%18[C@H](O)[C@@H](O)[C@@H](O[C@@H]%19[C@@H](O)[C@H](O)[C@H](O[C@@H]%20[C@@H](O)[C@H](O)[C@H](O[C@@H]%21[C@@H](O)[C@H](O)[C@H](O[C@@H]%22[C@@H](O)[C@H](O)[C@H]3O[C@H]%22COC%23=CC(C[P](C%24=CC=CC=C%24)%25C%26=CC=CC=C%26)=C([Pd]%27%25Cl)C(C[P](C%28=CC=CC=C%28)%27C%29=CC=CC=C%29)=C%23)O[C@H]%21COC%30=CC(C[P](C%31=CC=CC=C%31)%32C%33=CC=CC=C%33)=C([Pd]%34%32Cl)C(C[P](C%35=CC=CC=C%35)%34C%36=CC=CC=C%36)=C%30)O[C@H]%20COC%37=CC(C[P](C%38=CC=CC=C%38)%39C%40=CC=CC=C%40)=C([Pd]%41%39Cl)C(C[P](C%42=CC=CC=C%42)%41C%43=CC=CC=C%43)=C%37)O[C@H]%19COC%44=CC(C[P](C%45=CC=CC=C%45)%46C%47=CC=CC=C%47)=C([Pd]%48%46Cl)C(C[P](C%49=CC=CC=C%49)%48C%50=CC=CC=C%50)=C%44)O[C@@H]%18COC%51=CC(C[P](C%52=CC=CC=C%52)%53C%54=CC=CC=C%54)=C([Pd]%55%53Cl)C(C[P](C%56=CC=CC=C%56)%55C%57=CC=CC=C%57)=C%51,O[C@@H]1[C@@H](O)[C@H](O[C@@H]2[C@H](O)[C@@H](O)[C@H](O3)[C@@H](COC4=CC(C[P](C5=CC=CC=C5)6C7=CC=CC=C7)=C([Pd]86Cl)C(C[P](C9=CC=CC=C9)8C%10=CC=CC=C%10)=C4)O2)[C@@H](COC%11=CC(C[P](C%12=CC=CC=C%12)%13C%14=CC=CC=C%14)=C([Pd]%15%13Cl)C(C[P](C%16=CC=CC=C%16)%15C%17=CC=CC=C%17)=C%11)O[C@@H]1O[C@H]%18[C@H](O)[C@@H](O)[C@@H](O[C@@H]%19[C@@H](O)[C@H](O)[C@H](O[C@@H]%20[C@@H](O)[C@H](O)[C@H](O[C@@H]%21[C@@H](O)[C@H](O)[C@H](O[C@@H]%22[C@@H](O)[C@H](O)[C@H]3O[C@H]%22COC%23=CC(C[P](C%24=CC=CC=C%24)%25C%26=CC=CC=C%26)=C([Pd]%27%25Cl)C(C[P](C%28=CC=CC=C%28)%27C%29=CC=CC=C%29)=C%23)O[C@H]%21COC%30=CC(C[P](C%31=CC=CC=C%31)%32C%33=CC=CC=C%33)=C([Pd]%34%32Cl)C(C[P](C%35=CC=CC=C%35)%34C%36=CC=CC=C%36)=C%30)O[C@H]%20COC%37=CC(C[P](C%38=CC=CC=C%38)%39C%40=CC=CC=C%40)=C([Pd]%41%39Cl)C(C[P](C%42=CC=CC=C%42)%41C%43=CC=CC=C%43)=C%37)O[C@H]%19COC%44=CC(C[P](C%45=CC=CC=C%45)%46C%47=CC=CC=C%47)=C([Pd]%48%46Cl)C(C[P](C%49=CC=CC=C%49)%48C%50=CC=CC=C%50)=C%44)O[C@@H]%18COC%51=CC(C[P](C%52=CC=CC=C%52)%53C%54=CC=CC=C%54)=C([Pd]%55%53Cl)C(C[P](C%56=CC=CC=C%56)%55C%57=CC=CC=C%57)=C%51,0.5,30,25,0.341,CF,metal_catalyst,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OC)C=C3C[P](C6=CC=CC=C6)1C7=CC=CC=C7,H8,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,5428.598000000004,35.26810000000006,5428.598000000004,35.26810000000006,0,0,0,0,0,0,1,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
8,8,8,8,8,8,8,GMT-oNF-2,Toluene,CC1=CC(C2=CC(COCCOCC3=CC=[N]4[Ru]56([N]7=CC=CC=C7C8=[N]5C=CC=C8)([N]9=C(C%10=CC=CC=[N]6%10)C=CC=C9)[N]%11=C(C=C(C=C%11)C)C4=C3)=CC=[N]2[Ru]%12%13([N]%14=C(C%15=CC=CC=[N]%15%13)C=CC=C%14)%16[N]%17=CC=CC=C%17C%18=[N]%12C=CC=C%18)=[N]%16C=C1,CC1=CC(C2=CC(COCCOCC3=CC=[N]4[Ru]56([N]7=CC=CC=C7C8=[N]5C=CC=C8)([N]9=C(C%10=CC=CC=[N]6%10)C=CC=C9)[N]%11=C(C=C(C=C%11)C)C4=C3)=CC=[N]2[Ru]%12%13([N]%14=C(C%15=CC=CC=[N]%15%13)C=CC=C%14)%16[N]%17=CC=CC=C%17C%18=[N]%12C=CC=C%18)=[N]%16C=C1,0.5,30,25,0.341,CF,metal_catalyst,CC1=CC=[N]([Ru]23([N]4=C(C5=CC=CC=[N]53)C=CC=C4)6[N]7=CC=CC=C7C8=[N]2C=CC=C8)C(C9=[N]6C=CC(C)=C9)=C1,H1,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,1253.4119999999998,13.520239999999976,1253.4119999999998,13.520239999999976,0,0,0,0,0,0,1,0,1,0,0.97299105,0.9691029,0.851421,1.0,0.79630244,0.917963478,0.8075974719992188,1.028329484000781,,,,,,,,,,
9,9,9,9,9,9,9,GMT-oNF-2,Toluene,CC1=CC=[N]([Ru]23([N]4=C(C5=CC=CC=[N]53)C=CC=C4)6[N]7=CC=CC=C7C8=[N]2C=CC=C8)C(C9=[N]6C=CC(COC%10=CC=C(C%11=CC=C(OCC%12=CC=[N]%13[Ru]%14%15([N]%16=CC=CC=C%16C%17=[N]%14C=CC=C%17)([N]%18=C(C%19=CC=CC=[N]%15%19)C=CC=C%18)[N]%20=C(C=C(C=C%20)C)C%13=C%12)C=C%11)C=C%10)=C9)=C1,CC1=CC=[N]([Ru]23([N]4=C(C5=CC=CC=[N]53)C=CC=C4)6[N]7=CC=CC=C7C8=[N]2C=CC=C8)C(C9=[N]6C=CC(COC%10=CC=C(C%11=CC=C(OCC%12=CC=[N]%13[Ru]%14%15([N]%16=CC=CC=C%16C%17=[N]%14C=CC=C%17)([N]%18=C(C%19=CC=CC=[N]%15%19)C=CC=C%18)[N]%20=C(C=C(C=C%20)C)C%13=C%12)C=C%11)C=C%10)=C9)=C1,0.5,30,25,0.341,CF,metal_catalyst,CC1=CC=[N]([Ru]23([N]4=C(C5=CC=CC=[N]53)C=CC=C4)6[N]7=CC=CC=C7C8=[N]2C=CC=C8)C(C9=[N]6C=CC(C)=C9)=C1,H2,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,1377.5539999999996,16.611839999999965,1377.5539999999996,16.611839999999965,0,0,0,0,0,0,1,0,1,0,0.990908,0.9825963,0.89698565,1.0,0.8723016,0.94855831,0.874908809363361,1.0222078106366388,,,,,,,,,,
