,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42c_fold0,rejection_mcmpnn_combi_v42c_fold4,rejection_mcmpnn_combi_v42c_fold2,rejection_mcmpnn_combi_v42c_fold1,rejection_mcmpnn_combi_v42c_fold3,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,DM300,Acetonitrile,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,0.5,30,25,0.519,CF,ligand,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,947.0320000000002,13.885199999999976,947.0320000000002,13.885199999999976,0,0,0,1,0,0,0,0,1,0,1.0,1.0,0.96338487,1.0,1.0,0.9926769740000001,0.9723449943070639,1.0130089536929363
1,1,1,1,1,1,1,DM300,Acetonitrile,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,0.5,30,25,0.519,CF,ligand,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,262.292,3.4448000000000016,262.292,3.4448000000000016,0,0,0,1,0,0,0,0,1,0,0.96689606,0.99342036,0.88607675,0.99345696,0.99020183,0.9660103919999999,0.9088398287026133,1.0231809552973867
2,2,2,2,2,2,2,DM300,Acetonitrile,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,0.5,30,25,0.519,CF,ligand,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,426.4800000000001,6.032400000000005,426.4800000000001,6.032400000000005,0,0,0,1,0,0,0,0,1,0,0.9899361,1.0,0.9442979,1.0,0.99100983,0.985048766,0.9561475047835913,1.0139500272164086
3,3,3,3,3,3,3,DM300,Acetonitrile,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,0.5,30,25,0.519,CF,ligand,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,1071.287999999999,21.300640000000016,1071.287999999999,21.300640000000016,0,0,0,1,0,0,0,0,1,0,1.0,1.0,0.970049,1.0,1.0,0.9940097999999999,0.9773783385308441,1.0106412614691558
4,4,4,4,4,4,4,DM300,Acetonitrile,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,0.5,30,25,0.519,CF,ligand,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,786.7980000000002,14.85679999999997,786.7980000000002,14.85679999999997,0,0,0,1,0,0,0,0,1,0,0.99963933,1.0,0.9512302,1.0,1.0,0.9901739060000001,0.9631419449758325,1.0172058670241677
5,5,5,5,5,5,5,DM300,Acetonitrile,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,0.5,30,25,0.519,CF,ligand,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,894.8940000000001,15.21199999999996,894.8940000000001,15.21199999999996,0,0,0,1,0,0,0,0,1,0,1.0,1.0,0.9597043,1.0,0.99596477,0.991133814,0.9692106172899817,1.0130570107100183
6,6,6,6,6,6,6,DM300,Acetonitrile,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,0.5,30,25,0.519,CF,ligand,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,578.6320000000002,7.634600000000009,578.6320000000002,7.634600000000009,0,0,0,1,0,0,0,0,1,0,1.0,1.0,0.9609611,1.0,0.9963949,0.9914712,0.9702052769244375,1.0127371230755626
7,7,7,7,7,7,7,DM300,Acetonitrile,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,0.5,30,25,0.519,CF,ligand,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,265.381,4.456800000000004,265.381,4.456800000000004,0,0,0,1,0,0,0,0,1,0,0.90617985,0.95515907,0.97733295,0.95787793,0.9815484,0.9556196400000001,0.918404019947718,0.9928352600522822
8,8,8,8,8,8,8,DM300,Acetonitrile,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,0.5,30,25,0.519,CF,ligand,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,298.4100000000001,6.057800000000005,298.4100000000001,6.057800000000005,0,0,0,1,0,0,0,0,1,0,0.9609034,0.9980161,0.9757362,0.9895305,0.9827095,0.9813791399999999,0.9638621952671219,0.9988960847328779
9,9,9,9,9,9,9,DM300,Acetonitrile,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,0.5,30,25,0.519,CF,ligand,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,350.48600000000016,7.126200000000005,350.48600000000016,7.126200000000005,0,0,0,1,0,0,0,0,1,0,0.99023306,0.99664915,0.93270695,0.9977287,0.97955775,0.9793751220000001,0.945763548669606,1.012986695330394
