,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42c_fold0,rejection_mcmpnn_combi_v42c_fold4,rejection_mcmpnn_combi_v42c_fold2,rejection_mcmpnn_combi_v42c_fold1,rejection_mcmpnn_combi_v42c_fold3,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,DM300,Ethanol,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,0.5,30,25,0.078,CF,ligand,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,947.0320000000002,13.885199999999976,947.0320000000002,13.885199999999976,0,0,0,1,0,0,0,0,1,0,0.9907539,1.0,0.93936074,0.9967703,0.9730143,0.9799798479999999,0.9489554078994255,1.0110042881005743
1,1,1,1,1,1,1,DM300,Ethanol,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,0.5,30,25,0.078,CF,ligand,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,262.292,3.4448000000000016,262.292,3.4448000000000016,0,0,0,1,0,0,0,0,1,0,0.9225004,0.94223064,0.79815805,0.9365753,0.9677273,0.913438338,0.8308810501599776,0.9959956258400223
2,2,2,2,2,2,2,DM300,Ethanol,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,0.5,30,25,0.078,CF,ligand,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,426.4800000000001,6.032400000000005,426.4800000000001,6.032400000000005,0,0,0,1,0,0,0,0,1,0,0.9447295,0.963722,0.9100806,0.9367943,0.97738844,0.9465429679999999,0.9144369380934119,0.978648997906588
3,3,3,3,3,3,3,DM300,Ethanol,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,0.5,30,25,0.078,CF,ligand,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,1071.287999999999,21.300640000000016,1071.287999999999,21.300640000000016,0,0,0,1,0,0,0,0,1,0,0.9784358,0.9931693,0.92943287,1.0,0.975981,0.975403794,0.9411541258429117,1.0096534621570883
4,4,4,4,4,4,4,DM300,Ethanol,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,0.5,30,25,0.078,CF,ligand,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,786.7980000000002,14.85679999999997,786.7980000000002,14.85679999999997,0,0,0,1,0,0,0,0,1,0,0.96524024,0.9841192,0.9303975,0.97184336,0.9844039,0.9672008400000001,0.9397010029749169,0.9947006770250832
5,5,5,5,5,5,5,DM300,Ethanol,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,0.5,30,25,0.078,CF,ligand,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,894.8940000000001,15.21199999999996,894.8940000000001,15.21199999999996,0,0,0,1,0,0,0,0,1,0,0.9738419,0.9834368,0.936962,0.9903902,0.9697834,0.97088286,0.9452948852611874,0.9964708347388126
6,6,6,6,6,6,6,DM300,Ethanol,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,0.5,30,25,0.078,CF,ligand,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,578.6320000000002,7.634600000000009,578.6320000000002,7.634600000000009,0,0,0,1,0,0,0,0,1,0,0.95453084,0.97334635,0.93357897,0.96384066,0.97467184,0.959993732,0.9390677243897433,0.9809197396102568
7,7,7,7,7,7,7,DM300,Ethanol,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,0.5,30,25,0.078,CF,ligand,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,265.381,4.456800000000004,265.381,4.456800000000004,0,0,0,1,0,0,0,0,1,0,0.8139707,0.8790049,0.9101708,0.84224796,0.90974176,0.871027224,0.8184270661861041,0.9236273818138959
8,8,8,8,8,8,8,DM300,Ethanol,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,0.5,30,25,0.078,CF,ligand,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,298.4100000000001,6.057800000000005,298.4100000000001,6.057800000000005,0,0,0,1,0,0,0,0,1,0,0.90785444,0.9394382,0.8964982,0.9136673,0.9574609,0.922983808,0.8920878279098472,0.9538797880901528
9,9,9,9,9,9,9,DM300,Ethanol,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,0.5,30,25,0.078,CF,ligand,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,350.48600000000016,7.126200000000005,350.48600000000016,7.126200000000005,0,0,0,1,0,0,0,0,1,0,0.9122151,0.9219514,0.8713247,0.9293705,0.9556489,0.91810212,0.8799609078081305,0.9562433321918695
