,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42c_fold0,rejection_mcmpnn_combi_v42c_fold4,rejection_mcmpnn_combi_v42c_fold2,rejection_mcmpnn_combi_v42c_fold1,rejection_mcmpnn_combi_v42c_fold3,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,DM300,Ethyl acetate,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,0.5,30,25,0.073,CF,ligand,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,947.0320000000002,13.885199999999976,947.0320000000002,13.885199999999976,0,0,0,1,0,0,0,0,1,0,1.0,1.0,0.9222044,1.0,1.0,0.98444088,0.9412418374348148,1.027639922565185
1,1,1,1,1,1,1,DM300,Ethyl acetate,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,0.5,30,25,0.073,CF,ligand,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,262.292,3.4448000000000016,262.292,3.4448000000000016,0,0,0,1,0,0,0,0,1,0,0.91506374,0.9331599,0.61988044,0.9121473,0.97139287,0.8703288499999999,0.6940343405963548,1.046623359403645
2,2,2,2,2,2,2,DM300,Ethyl acetate,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,0.5,30,25,0.073,CF,ligand,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,426.4800000000001,6.032400000000005,426.4800000000001,6.032400000000005,0,0,0,1,0,0,0,0,1,0,0.97135025,0.9695703,0.905393,0.96404845,0.99327385,0.96072717,0.9199066354918584,1.0015477045081416
3,3,3,3,3,3,3,DM300,Ethyl acetate,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,0.5,30,25,0.073,CF,ligand,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,1071.287999999999,21.300640000000016,1071.287999999999,21.300640000000016,0,0,0,1,0,0,0,0,1,0,1.0,1.0,0.90530205,1.0,1.0,0.9810604099999999,0.9284756780500467,1.033645141949953
4,4,4,4,4,4,4,DM300,Ethyl acetate,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,0.5,30,25,0.073,CF,ligand,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,786.7980000000002,14.85679999999997,786.7980000000002,14.85679999999997,0,0,0,1,0,0,0,0,1,0,0.98484874,0.9761166,0.91764706,0.997286,1.0,0.9751796799999999,0.9334908756397617,1.016868484360238
5,5,5,5,5,5,5,DM300,Ethyl acetate,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,0.5,30,25,0.073,CF,ligand,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,894.8940000000001,15.21199999999996,894.8940000000001,15.21199999999996,0,0,0,1,0,0,0,0,1,0,1.0,0.9786923,0.93104386,1.0,1.0,0.9819472319999999,0.9448037549164142,1.0190907090835857
6,6,6,6,6,6,6,DM300,Ethyl acetate,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,0.5,30,25,0.073,CF,ligand,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,578.6320000000002,7.634600000000009,578.6320000000002,7.634600000000009,0,0,0,1,0,0,0,0,1,0,0.9870403,0.9761307,0.8974294,0.98617435,0.9968311,0.9687211699999999,0.9184077643324757,1.019034575667524
7,7,7,7,7,7,7,DM300,Ethyl acetate,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,0.5,30,25,0.073,CF,ligand,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,265.381,4.456800000000004,265.381,4.456800000000004,0,0,0,1,0,0,0,0,1,0,0.76232994,0.7190622,0.80917454,0.7261312,0.81141174,0.765621924,0.7110321131906125,0.8202117348093874
8,8,8,8,8,8,8,DM300,Ethyl acetate,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,0.5,30,25,0.073,CF,ligand,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,298.4100000000001,6.057800000000005,298.4100000000001,6.057800000000005,0,0,0,1,0,0,0,0,1,0,0.86366415,0.78217274,0.8004593,0.8179116,0.8348615,0.8198138580000001,0.7808230831784306,0.8588046328215695
9,9,9,9,9,9,9,DM300,Ethyl acetate,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,0.5,30,25,0.073,CF,ligand,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,350.48600000000016,7.126200000000005,350.48600000000016,7.126200000000005,0,0,0,1,0,0,0,0,1,0,0.90080994,0.8670229,0.8160956,0.9049129,0.8857704,0.8749223480000001,0.8301093352556458,0.9197353607443545
