,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42c_fold0,rejection_mcmpnn_combi_v42c_fold4,rejection_mcmpnn_combi_v42c_fold2,rejection_mcmpnn_combi_v42c_fold1,rejection_mcmpnn_combi_v42c_fold3,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,DM300,Toluene,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,0.5,30,25,0.127,CF,ligand,DM,300,59.0,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,947.0320000000002,13.885199999999976,947.0320000000002,13.885199999999976,0,0,0,1,0,0,0,0,1,0,1.0,1.0,0.9692678,0.9870701,0.98748595,0.9887647699999998,0.9730944499680578,1.0044350900319419
1,1,1,1,1,1,1,DM300,Toluene,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,0.5,30,25,0.127,CF,ligand,DM,300,59.0,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,262.292,3.4448000000000016,262.292,3.4448000000000016,0,0,0,1,0,0,0,0,1,0,0.88616896,0.9068793,0.5446035,0.8523249,0.8505253,0.8081003920000001,0.6228485904376785,0.9933521935623216
2,2,2,2,2,2,2,DM300,Toluene,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,0.5,30,25,0.127,CF,ligand,DM,300,59.0,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,426.4800000000001,6.032400000000005,426.4800000000001,6.032400000000005,0,0,0,1,0,0,0,0,1,0,0.98368716,0.97197545,0.9264717,0.9112127,0.93803036,0.9462754740000001,0.9082589923971416,0.9842919556028586
3,3,3,3,3,3,3,DM300,Toluene,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,0.5,30,25,0.127,CF,ligand,DM,300,59.0,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,1071.287999999999,21.300640000000016,1071.287999999999,21.300640000000016,0,0,0,1,0,0,0,0,1,0,1.0,1.0,0.92044926,0.98979235,0.9336934,0.968787002,0.9208668731827229,1.0167071308172773
4,4,4,4,4,4,4,DM300,Toluene,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,0.5,30,25,0.127,CF,ligand,DM,300,59.0,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,786.7980000000002,14.85679999999997,786.7980000000002,14.85679999999997,0,0,0,1,0,0,0,0,1,0,0.9774329,0.96340114,0.9291013,0.925791,0.87878144,0.934901556,0.887266082674525,0.982537029325475
5,5,5,5,5,5,5,DM300,Toluene,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,0.5,30,25,0.127,CF,ligand,DM,300,59.0,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,894.8940000000001,15.21199999999996,894.8940000000001,15.21199999999996,0,0,0,1,0,0,0,0,1,0,1.0,0.9853023,0.94358385,0.95455027,0.90333426,0.957354136,0.9104190766040018,1.004289195395998
6,6,6,6,6,6,6,DM300,Toluene,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,0.5,30,25,0.127,CF,ligand,DM,300,59.0,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,578.6320000000002,7.634600000000009,578.6320000000002,7.634600000000009,0,0,0,1,0,0,0,0,1,0,1.0,0.9664868,0.92639935,0.92998976,0.9274864,0.950072462,0.9096656415488891,0.9904792824511108
7,7,7,7,7,7,7,DM300,Toluene,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,0.5,30,25,0.127,CF,ligand,DM,300,59.0,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,265.381,4.456800000000004,265.381,4.456800000000004,0,0,0,1,0,0,0,0,1,0,0.7210867,0.79170585,0.59145164,0.62702924,0.7100178,0.688258246,0.5893663097379037,0.7871501822620962
8,8,8,8,8,8,8,DM300,Toluene,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,0.5,30,25,0.127,CF,ligand,DM,300,59.0,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,298.4100000000001,6.057800000000005,298.4100000000001,6.057800000000005,0,0,0,1,0,0,0,0,1,0,0.8355218,0.81095904,0.7032881,0.7048994,0.6826794,0.747469548,0.6602297375613851,0.8347093584386148
9,9,9,9,9,9,9,DM300,Toluene,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,0.5,30,25,0.127,CF,ligand,DM,300,59.0,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,350.48600000000016,7.126200000000005,350.48600000000016,7.126200000000005,0,0,0,1,0,0,0,0,1,0,0.89363104,0.80570453,0.85678434,0.7980447,0.74277514,0.8193879500000001,0.7474602843082556,0.8913156156917446
