,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42c_fold0,rejection_mcmpnn_combi_v42c_fold4,rejection_mcmpnn_combi_v42c_fold2,rejection_mcmpnn_combi_v42c_fold1,rejection_mcmpnn_combi_v42c_fold3,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,GMT-oNF-2,Acetonitrile,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,0.5,30,25,0.153,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,947.0320000000002,13.885199999999976,947.0320000000002,13.885199999999976,0,0,0,0,0,0,1,0,1,0,0.8730724,0.79922175,0.6557716,0.84242666,0.8573677,0.805572022,0.6961261019241791,0.9150179420758209
1,1,1,1,1,1,1,GMT-oNF-2,Acetonitrile,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,0.5,30,25,0.153,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,262.292,3.4448000000000016,262.292,3.4448000000000016,0,0,0,0,0,0,1,0,1,0,0.39944398,0.211788,0.0971258,0.2677016,0.31491154,0.258194184,0.11750303331616,0.39888533468384
2,2,2,2,2,2,2,GMT-oNF-2,Acetonitrile,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,0.5,30,25,0.153,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,426.4800000000001,6.032400000000005,426.4800000000001,6.032400000000005,0,0,0,0,0,0,1,0,1,0,0.592257,0.47543222,0.3236964,0.5886197,0.64158434,0.524317932,0.365865043819564,0.682770820180436
3,3,3,3,3,3,3,GMT-oNF-2,Acetonitrile,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,0.5,30,25,0.153,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,1071.287999999999,21.300640000000016,1071.287999999999,21.300640000000016,0,0,0,0,0,0,1,0,1,0,0.9000477,0.8396419,0.81143796,0.8541534,0.89862204,0.8607806,0.8130962555492933,0.9084649444507067
4,4,4,4,4,4,4,GMT-oNF-2,Acetonitrile,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,0.5,30,25,0.153,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,786.7980000000002,14.85679999999997,786.7980000000002,14.85679999999997,0,0,0,0,0,0,1,0,1,0,0.87533534,0.78670657,0.7940871,0.7914578,0.84112436,0.817742234,0.7693438542585002,0.8661406137414999
5,5,5,5,5,5,5,GMT-oNF-2,Acetonitrile,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,0.5,30,25,0.153,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,894.8940000000001,15.21199999999996,894.8940000000001,15.21199999999996,0,0,0,0,0,0,1,0,1,0,0.9042702,0.8537794,0.82998186,0.851442,0.87914044,0.86372278,0.8282215263033667,0.8992240336966334
6,6,6,6,6,6,6,GMT-oNF-2,Acetonitrile,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,0.5,30,25,0.153,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,578.6320000000002,7.634600000000009,578.6320000000002,7.634600000000009,0,0,0,0,0,0,1,0,1,0,0.79298437,0.6418514,0.4497282,0.70656234,0.81263435,0.680752132,0.499175503007228,0.8623287609927719
7,7,7,7,7,7,7,GMT-oNF-2,Acetonitrile,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,0.5,30,25,0.153,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,265.381,4.456800000000004,265.381,4.456800000000004,0,0,0,0,0,0,1,0,1,0,0.11680591,0.044326276,0.17519084,0.32816052,0.19536164,0.1719690372,0.04131521473412883,0.3026228596658712
8,8,8,8,8,8,8,GMT-oNF-2,Acetonitrile,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,0.5,30,25,0.153,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,298.4100000000001,6.057800000000005,298.4100000000001,6.057800000000005,0,0,0,0,0,0,1,0,1,0,0.20335987,0.4002477,0.15461046,0.40325874,0.39049476,0.31039430599999995,0.15980127562115842,0.4609873363788415
9,9,9,9,9,9,9,GMT-oNF-2,Acetonitrile,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,0.5,30,25,0.153,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,350.48600000000016,7.126200000000005,350.48600000000016,7.126200000000005,0,0,0,0,0,0,1,0,1,0,0.37686825,0.56559205,0.25728738,0.36002994,0.4763852,0.40723256399999996,0.2609828715683652,0.5534822564316347
