,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42c_fold0,rejection_mcmpnn_combi_v42c_fold4,rejection_mcmpnn_combi_v42c_fold2,rejection_mcmpnn_combi_v42c_fold1,rejection_mcmpnn_combi_v42c_fold3,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,GMT-oNF-2,Ethanol,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,0.5,30,25,0.196,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,947.0320000000002,13.885199999999976,947.0320000000002,13.885199999999976,0,0,0,0,0,0,1,0,1,0,0.81541234,0.7760857,0.51973265,0.6811029,0.7416504,0.706796798,0.563243264118872,0.8503503318811279
1,1,1,1,1,1,1,GMT-oNF-2,Ethanol,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,0.5,30,25,0.196,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,262.292,3.4448000000000016,262.292,3.4448000000000016,0,0,0,0,0,0,1,0,1,0,0.5851648,0.497473,0.046964437,0.4257961,0.42609036,0.3962977394,0.1405490814872687,0.6520463973127313
2,2,2,2,2,2,2,GMT-oNF-2,Ethanol,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,0.5,30,25,0.196,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,426.4800000000001,6.032400000000005,426.4800000000001,6.032400000000005,0,0,0,0,0,0,1,0,1,0,0.6436476,0.7254151,0.42531517,0.6488873,0.5581739,0.600287814,0.45832506882047774,0.7422505591795222
3,3,3,3,3,3,3,GMT-oNF-2,Ethanol,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,0.5,30,25,0.196,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,1071.287999999999,21.300640000000016,1071.287999999999,21.300640000000016,0,0,0,0,0,0,1,0,1,0,0.83653295,0.35767728,0.49089426,0.35736895,0.5829245,0.525079588,0.27856295461300146,0.7715962213869985
4,4,4,4,4,4,4,GMT-oNF-2,Ethanol,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,0.5,30,25,0.196,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,786.7980000000002,14.85679999999997,786.7980000000002,14.85679999999997,0,0,0,0,0,0,1,0,1,0,0.768178,0.20580298,0.37350595,0.21324831,0.2674243,0.365631908,0.07409450388649336,0.6571693121135067
5,5,5,5,5,5,5,GMT-oNF-2,Ethanol,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,0.5,30,25,0.196,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,894.8940000000001,15.21199999999996,894.8940000000001,15.21199999999996,0,0,0,0,0,0,1,0,1,0,0.8403875,0.47681898,0.49726033,0.4149644,0.56387025,0.558660292,0.3522732600910575,0.7650473239089425
6,6,6,6,6,6,6,GMT-oNF-2,Ethanol,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,0.5,30,25,0.196,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,578.6320000000002,7.634600000000009,578.6320000000002,7.634600000000009,0,0,0,0,0,0,1,0,1,0,0.5637299,0.4849485,0.1447486,0.5405172,0.5606403,0.4589169,0.237347370374833,0.680486429625167
7,7,7,7,7,7,7,GMT-oNF-2,Ethanol,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,0.5,30,25,0.196,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,265.381,4.456800000000004,265.381,4.456800000000004,0,0,0,0,0,0,1,0,1,0,0.25929287,0.46064103,0.45736283,0.21942377,0.6089571,0.4011355200000001,0.2018583870014237,0.6004126529985765
8,8,8,8,8,8,8,GMT-oNF-2,Ethanol,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,0.5,30,25,0.196,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,298.4100000000001,6.057800000000005,298.4100000000001,6.057800000000005,0,0,0,0,0,0,1,0,1,0,0.36811888,0.41088194,0.27633736,0.30518097,0.53743714,0.379591258,0.25201926551117615,0.5071632504888238
9,9,9,9,9,9,9,GMT-oNF-2,Ethanol,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,0.5,30,25,0.196,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,350.48600000000016,7.126200000000005,350.48600000000016,7.126200000000005,0,0,0,0,0,0,1,0,1,0,0.415544,0.43780822,0.39427692,0.33482158,0.4107156,0.39863326400000004,0.3503137784483881,0.44695274955161196
