,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42c_fold0,rejection_mcmpnn_combi_v42c_fold4,rejection_mcmpnn_combi_v42c_fold2,rejection_mcmpnn_combi_v42c_fold1,rejection_mcmpnn_combi_v42c_fold3,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,GMT-oNF-2,Ethyl acetate,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,0.5,30,25,3.73,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,947.0320000000002,13.885199999999976,947.0320000000002,13.885199999999976,0,0,0,0,0,0,1,0,1,0,0.711344,0.55653715,0.3538362,0.7417797,0.56882846,0.586465102,0.3950712427931826,0.7778589612068174
1,1,1,1,1,1,1,GMT-oNF-2,Ethyl acetate,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,0.5,30,25,3.73,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,262.292,3.4448000000000016,262.292,3.4448000000000016,0,0,0,0,0,0,1,0,1,0,0.6347023,0.56463844,0.32483298,0.5764307,0.42135888,0.5043926599999999,0.3461889726445786,0.6625963473554213
2,2,2,2,2,2,2,GMT-oNF-2,Ethyl acetate,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,0.5,30,25,3.73,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,426.4800000000001,6.032400000000005,426.4800000000001,6.032400000000005,0,0,0,0,0,0,1,0,1,0,0.7903276,0.7509701,0.60149294,0.7127055,0.37797666,0.6466945599999999,0.44068141751891476,0.8527077024810851
3,3,3,3,3,3,3,GMT-oNF-2,Ethyl acetate,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,0.5,30,25,3.73,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,1071.287999999999,21.300640000000016,1071.287999999999,21.300640000000016,0,0,0,0,0,0,1,0,1,0,0.48682708,0.107364595,0.3751468,0.2773992,0.2939899,0.308145515,0.13489559736752807,0.48139543263247186
4,4,4,4,4,4,4,GMT-oNF-2,Ethyl acetate,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,0.5,30,25,3.73,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,786.7980000000002,14.85679999999997,786.7980000000002,14.85679999999997,0,0,0,0,0,0,1,0,1,0,0.4955216,0.14959884,0.17834988,0.17635927,0.19210437,0.23838679200000001,0.058886323347502795,0.41788726065249726
5,5,5,5,5,5,5,GMT-oNF-2,Ethyl acetate,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,0.5,30,25,3.73,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,894.8940000000001,15.21199999999996,894.8940000000001,15.21199999999996,0,0,0,0,0,0,1,0,1,0,0.59906423,0.20356673,0.30029863,0.24221721,0.29694065,0.32841749,0.1340174335303419,0.5228175464696581
6,6,6,6,6,6,6,GMT-oNF-2,Ethyl acetate,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,0.5,30,25,3.73,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,578.6320000000002,7.634600000000009,578.6320000000002,7.634600000000009,0,0,0,0,0,0,1,0,1,0,0.5702276,0.13614428,0.1831756,0.697196,0.2795558,0.373259856,0.06604699649322932,0.6804727155067707
7,7,7,7,7,7,7,GMT-oNF-2,Ethyl acetate,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,0.5,30,25,3.73,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,265.381,4.456800000000004,265.381,4.456800000000004,0,0,0,0,0,0,1,0,1,0,0.4079181,0.48160332,0.26504272,0.44589493,0.36549234,0.393190282,0.2893042401320546,0.4970763238679454
8,8,8,8,8,8,8,GMT-oNF-2,Ethyl acetate,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,0.5,30,25,3.73,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,298.4100000000001,6.057800000000005,298.4100000000001,6.057800000000005,0,0,0,0,0,0,1,0,1,0,0.5589843,0.52074564,0.2933821,0.62618345,0.50120157,0.5000994120000001,0.3448614373313914,0.6553373866686087
9,9,9,9,9,9,9,GMT-oNF-2,Ethyl acetate,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,0.5,30,25,3.73,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,350.48600000000016,7.126200000000005,350.48600000000016,7.126200000000005,0,0,0,0,0,0,1,0,1,0,0.50411266,0.39844993,0.35889423,0.4834542,0.4714859,0.44327938400000005,0.36663530378377746,0.5199234642162227
