,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42c_fold0,rejection_mcmpnn_combi_v42c_fold4,rejection_mcmpnn_combi_v42c_fold2,rejection_mcmpnn_combi_v42c_fold1,rejection_mcmpnn_combi_v42c_fold3,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,GMT-oNF-2,Toluene,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,0.5,30,25,0.341,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,947.0320000000002,13.885199999999976,947.0320000000002,13.885199999999976,0,0,0,0,0,0,1,0,1,0,0.99654233,1.0,0.94348705,0.92046815,0.98944366,0.969988238,0.9254832381139804,1.0144932378860196
1,1,1,1,1,1,1,GMT-oNF-2,Toluene,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,0.5,30,25,0.341,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,262.292,3.4448000000000016,262.292,3.4448000000000016,0,0,0,0,0,0,1,0,1,0,0.81923586,0.8025371,0.29256994,0.7897006,0.8036181,0.70153232,0.41736925406580844,0.9856953859341915
2,2,2,2,2,2,2,GMT-oNF-2,Toluene,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,0.5,30,25,0.341,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,426.4800000000001,6.032400000000005,426.4800000000001,6.032400000000005,0,0,0,0,0,0,1,0,1,0,0.887288,0.8665777,0.76444983,0.826175,0.8925211,0.8474023259999999,0.7813311524298281,0.9134734995701717
3,3,3,3,3,3,3,GMT-oNF-2,Toluene,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,0.5,30,25,0.341,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,1071.287999999999,21.300640000000016,1071.287999999999,21.300640000000016,0,0,0,0,0,0,1,0,1,0,0.9868902,0.96377146,0.9012301,1.0,1.0,0.970378352,0.9189853970253276,1.0217713069746723
4,4,4,4,4,4,4,GMT-oNF-2,Toluene,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,0.5,30,25,0.341,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,786.7980000000002,14.85679999999997,786.7980000000002,14.85679999999997,0,0,0,0,0,0,1,0,1,0,0.9553304,0.98456115,0.9265961,0.9800788,0.99825597,0.968964484,0.9338134204460254,1.0041155475539745
5,5,5,5,5,5,5,GMT-oNF-2,Toluene,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,0.5,30,25,0.341,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,894.8940000000001,15.21199999999996,894.8940000000001,15.21199999999996,0,0,0,0,0,0,1,0,1,0,0.9927751,0.98837864,0.93312764,0.9877673,1.0,0.980409736,0.9470350962360924,1.0137843757639078
6,6,6,6,6,6,6,GMT-oNF-2,Toluene,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,0.5,30,25,0.341,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,578.6320000000002,7.634600000000009,578.6320000000002,7.634600000000009,0,0,0,0,0,0,1,0,1,0,0.9791074,0.9613507,0.91271865,0.892366,0.95968986,0.9410465219999999,0.8955063654474774,0.9865866785525225
7,7,7,7,7,7,7,GMT-oNF-2,Toluene,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,0.5,30,25,0.341,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,265.381,4.456800000000004,265.381,4.456800000000004,0,0,0,0,0,0,1,0,1,0,0.74609,0.61227995,0.11717704,0.58809805,0.7216742,0.5570638480000001,0.2402936071632195,0.8738340888367806
8,8,8,8,8,8,8,GMT-oNF-2,Toluene,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,0.5,30,25,0.341,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,298.4100000000001,6.057800000000005,298.4100000000001,6.057800000000005,0,0,0,0,0,0,1,0,1,0,0.7895814,0.46965343,0.24737579,0.7873248,0.59187,0.577161084,0.2927795239131163,0.8615426440868836
9,9,9,9,9,9,9,GMT-oNF-2,Toluene,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,0.5,30,25,0.341,CF,ligand,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,350.48600000000016,7.126200000000005,350.48600000000016,7.126200000000005,0,0,0,0,0,0,1,0,1,0,0.6461167,0.6490916,0.53632766,0.49109036,0.72596467,0.609718198,0.49217403586059927,0.7272623601394008
