,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42c_fold0,rejection_mcmpnn_combi_v42c_fold4,rejection_mcmpnn_combi_v42c_fold2,rejection_mcmpnn_combi_v42c_fold1,rejection_mcmpnn_combi_v42c_fold3,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,PMPerformance,Acetonitrile,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,0.5,30,25,2.531,CF,ligand,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,947.0320000000002,13.885199999999976,947.0320000000002,13.885199999999976,0,0,1,0,0,0,0,0,1,0,0.691059,0.587178,0.5953053,0.7959455,0.7086894,0.67563544,0.5679562306614601,0.7833146493385399
1,1,1,1,1,1,1,PMPerformance,Acetonitrile,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,0.5,30,25,2.531,CF,ligand,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,262.292,3.4448000000000016,262.292,3.4448000000000016,0,0,1,0,0,0,0,0,1,0,0.19391003,0.08567873,0.33741772,0.15151253,0.17121923,0.18794764799999997,0.07272828411523356,0.30316701188476636
2,2,2,2,2,2,2,PMPerformance,Acetonitrile,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,0.5,30,25,2.531,CF,ligand,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,426.4800000000001,6.032400000000005,426.4800000000001,6.032400000000005,0,0,1,0,0,0,0,0,1,0,0.35262406,0.23533195,0.45180082,0.4056533,0.41103154,0.371288334,0.26726381100511276,0.47531285699488723
3,3,3,3,3,3,3,PMPerformance,Acetonitrile,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,0.5,30,25,2.531,CF,ligand,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,1071.287999999999,21.300640000000016,1071.287999999999,21.300640000000016,0,0,1,0,0,0,0,0,1,0,0.7029538,0.5896925,0.6375216,0.6968877,0.63744557,0.652900234,0.5942954581614919,0.7115050098385081
4,4,4,4,4,4,4,PMPerformance,Acetonitrile,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,0.5,30,25,2.531,CF,ligand,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,786.7980000000002,14.85679999999997,786.7980000000002,14.85679999999997,0,0,1,0,0,0,0,0,1,0,0.5604014,0.4771704,0.5649719,0.5973216,0.5402191,0.5480168799999999,0.4926553946374663,0.6033783653625335
5,5,5,5,5,5,5,PMPerformance,Acetonitrile,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,0.5,30,25,2.531,CF,ligand,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,894.8940000000001,15.21199999999996,894.8940000000001,15.21199999999996,0,0,1,0,0,0,0,0,1,0,0.62576646,0.54688275,0.59018904,0.66272056,0.5980357,0.604718902,0.551284073299902,0.658153730700098
6,6,6,6,6,6,6,PMPerformance,Acetonitrile,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,0.5,30,25,2.531,CF,ligand,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,578.6320000000002,7.634600000000009,578.6320000000002,7.634600000000009,0,0,1,0,0,0,0,0,1,0,0.4715503,0.4534092,0.52031684,0.6012824,0.56598,0.522507748,0.44528624562003827,0.5997292503799617
7,7,7,7,7,7,7,PMPerformance,Acetonitrile,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,0.5,30,25,2.531,CF,ligand,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,265.381,4.456800000000004,265.381,4.456800000000004,0,0,1,0,0,0,0,0,1,0,0.20669293,0.1430578,0.42023516,0.3321616,0.27760452,0.27595040200000004,0.1421649704283739,0.4097358335716262
8,8,8,8,8,8,8,PMPerformance,Acetonitrile,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,0.5,30,25,2.531,CF,ligand,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,298.4100000000001,6.057800000000005,298.4100000000001,6.057800000000005,0,0,1,0,0,0,0,0,1,0,0.23534319,0.36040956,0.49793366,0.38583982,0.37229946,0.37036513800000004,0.2544722898005706,0.4862579861994295
9,9,9,9,9,9,9,PMPerformance,Acetonitrile,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,0.5,30,25,2.531,CF,ligand,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,350.48600000000016,7.126200000000005,350.48600000000016,7.126200000000005,0,0,1,0,0,0,0,0,1,0,0.35516286,0.40358,0.39916334,0.38521037,0.34157336,0.376937986,0.342950575253388,0.410925396746612
