,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42c_fold0,rejection_mcmpnn_combi_v42c_fold4,rejection_mcmpnn_combi_v42c_fold2,rejection_mcmpnn_combi_v42c_fold1,rejection_mcmpnn_combi_v42c_fold3,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,PMPerformance,Ethanol,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,0.5,30,25,0.539,CF,ligand,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,947.0320000000002,13.885199999999976,947.0320000000002,13.885199999999976,0,0,1,0,0,0,0,0,1,0,0.6814279,0.6427864,0.6172558,0.7391687,0.6586936,0.66786648,0.6104856420593651,0.725247317940635
1,1,1,1,1,1,1,PMPerformance,Ethanol,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,0.5,30,25,0.539,CF,ligand,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,262.292,3.4448000000000016,262.292,3.4448000000000016,0,0,1,0,0,0,0,0,1,0,0.22956267,0.19660375,0.37604976,0.2468873,0.20767254,0.251355204,0.16149632734797903,0.34121408065202097
2,2,2,2,2,2,2,PMPerformance,Ethanol,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,0.5,30,25,0.539,CF,ligand,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,426.4800000000001,6.032400000000005,426.4800000000001,6.032400000000005,0,0,1,0,0,0,0,0,1,0,0.34737384,0.38410178,0.48152623,0.45275474,0.29721066,0.39259345,0.29896667717105013,0.4862202228289499
3,3,3,3,3,3,3,PMPerformance,Ethanol,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,0.5,30,25,0.539,CF,ligand,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,1071.287999999999,21.300640000000016,1071.287999999999,21.300640000000016,0,0,1,0,0,0,0,0,1,0,0.6555444,0.4051574,0.6319087,0.41352528,0.47605398,0.516437952,0.36784062047636645,0.6650352835236335
4,4,4,4,4,4,4,PMPerformance,Ethanol,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,0.5,30,25,0.539,CF,ligand,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,786.7980000000002,14.85679999999997,786.7980000000002,14.85679999999997,0,0,1,0,0,0,0,0,1,0,0.56844246,0.25522906,0.48015314,0.20818827,0.23480675,0.349363936,0.14626881932629934,0.5524590526737007
5,5,5,5,5,5,5,PMPerformance,Ethanol,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,0.5,30,25,0.539,CF,ligand,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,894.8940000000001,15.21199999999996,894.8940000000001,15.21199999999996,0,0,1,0,0,0,0,0,1,0,0.6305431,0.38973925,0.54049224,0.31148365,0.31829885,0.438111418,0.26224899317759814,0.6139738428224017
6,6,6,6,6,6,6,PMPerformance,Ethanol,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,0.5,30,25,0.539,CF,ligand,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,578.6320000000002,7.634600000000009,578.6320000000002,7.634600000000009,0,0,1,0,0,0,0,0,1,0,0.40176255,0.3231517,0.4296386,0.42648882,0.4263913,0.401486594,0.345355954803871,0.45761723319612896
7,7,7,7,7,7,7,PMPerformance,Ethanol,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,0.5,30,25,0.539,CF,ligand,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,265.381,4.456800000000004,265.381,4.456800000000004,0,0,1,0,0,0,0,0,1,0,0.35782802,0.4163803,0.5884035,0.25584516,0.37659276,0.39900994800000006,0.24838135944109196,0.5496385365589082
8,8,8,8,8,8,8,PMPerformance,Ethanol,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,0.5,30,25,0.539,CF,ligand,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,298.4100000000001,6.057800000000005,298.4100000000001,6.057800000000005,0,0,1,0,0,0,0,0,1,0,0.30789047,0.3612362,0.55906266,0.30941552,0.38535345,0.38459166,0.2565726811586828,0.5126106388413172
9,9,9,9,9,9,9,PMPerformance,Ethanol,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,0.5,30,25,0.539,CF,ligand,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,350.48600000000016,7.126200000000005,350.48600000000016,7.126200000000005,0,0,1,0,0,0,0,0,1,0,0.3643239,0.42064032,0.5805451,0.49419188,0.3032367,0.43258758,0.29767858000476777,0.5674965799952323
