,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42c_fold0,rejection_mcmpnn_combi_v42c_fold4,rejection_mcmpnn_combi_v42c_fold2,rejection_mcmpnn_combi_v42c_fold1,rejection_mcmpnn_combi_v42c_fold3,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,PMPerformance,Ethyl acetate,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,0.5,30,25,2.036,CF,ligand,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,947.0320000000002,13.885199999999976,947.0320000000002,13.885199999999976,0,0,1,0,0,0,0,0,1,0,0.8271272,0.8174588,0.7646155,0.75948983,0.8318095,0.800100166,0.7564400678680645,0.8437602641319355
1,1,1,1,1,1,1,PMPerformance,Ethyl acetate,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,0.5,30,25,2.036,CF,ligand,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,262.292,3.4448000000000016,262.292,3.4448000000000016,0,0,1,0,0,0,0,0,1,0,0.18775395,-0.15414512,0.22082818,-0.107066035,0.33227932,0.095930059,-0.17011449024774777,0.3619746082477478
2,2,2,2,2,2,2,PMPerformance,Ethyl acetate,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,0.5,30,25,2.036,CF,ligand,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,426.4800000000001,6.032400000000005,426.4800000000001,6.032400000000005,0,0,1,0,0,0,0,0,1,0,0.48923334,-0.11020714,0.2142458,-0.038049936,0.6370006,0.2384445328,-0.16406088219924492,0.6409499477992449
3,3,3,3,3,3,3,PMPerformance,Ethyl acetate,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,0.5,30,25,2.036,CF,ligand,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,1071.287999999999,21.300640000000016,1071.287999999999,21.300640000000016,0,0,1,0,0,0,0,0,1,0,0.761297,0.61102265,0.7226714,0.6907589,0.7746443,0.7120788499999999,0.6308566550280931,0.7933010449719068
4,4,4,4,4,4,4,PMPerformance,Ethyl acetate,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,0.5,30,25,2.036,CF,ligand,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,786.7980000000002,14.85679999999997,786.7980000000002,14.85679999999997,0,0,1,0,0,0,0,0,1,0,0.71602595,0.62971294,0.65065396,0.65271753,0.6559591,0.6610138959999999,0.6207421131414638,0.7012856788585361
5,5,5,5,5,5,5,PMPerformance,Ethyl acetate,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,0.5,30,25,2.036,CF,ligand,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,894.8940000000001,15.21199999999996,894.8940000000001,15.21199999999996,0,0,1,0,0,0,0,0,1,0,0.74784374,0.67415845,0.6719793,0.67725766,0.6854717,0.69134217,0.6516115208089155,0.7310728191910845
6,6,6,6,6,6,6,PMPerformance,Ethyl acetate,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,0.5,30,25,2.036,CF,ligand,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,578.6320000000002,7.634600000000009,578.6320000000002,7.634600000000009,0,0,1,0,0,0,0,0,1,0,0.6758224,0.6646912,0.63855326,0.308743,0.7419622,0.6059544120000001,0.3942998876373642,0.817608936362636
7,7,7,7,7,7,7,PMPerformance,Ethyl acetate,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,0.5,30,25,2.036,CF,ligand,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,265.381,4.456800000000004,265.381,4.456800000000004,0,0,1,0,0,0,0,0,1,0,0.39946973,0.4972287,0.43006283,0.45381224,0.49523377,0.455161454,0.40281691005884196,0.5075059979411581
8,8,8,8,8,8,8,PMPerformance,Ethyl acetate,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,0.5,30,25,2.036,CF,ligand,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,298.4100000000001,6.057800000000005,298.4100000000001,6.057800000000005,0,0,1,0,0,0,0,0,1,0,0.3435436,0.47743428,0.50956655,0.37088418,0.58802813,0.457891348,0.3327455842042019,0.583037111795798
9,9,9,9,9,9,9,PMPerformance,Ethyl acetate,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,0.5,30,25,2.036,CF,ligand,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,350.48600000000016,7.126200000000005,350.48600000000016,7.126200000000005,0,0,1,0,0,0,0,0,1,0,0.4442148,0.43821293,0.49824756,0.5908371,0.6706491,0.528432298,0.4038580329440915,0.6530065630559085
