,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42c_fold0,rejection_mcmpnn_combi_v42c_fold4,rejection_mcmpnn_combi_v42c_fold2,rejection_mcmpnn_combi_v42c_fold1,rejection_mcmpnn_combi_v42c_fold3,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,PMPerformance,Toluene,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,0.5,30,25,0.717,CF,ligand,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,947.0320000000002,13.885199999999976,947.0320000000002,13.885199999999976,0,0,1,0,0,0,0,0,1,0,0.9250444,0.95148873,0.88041747,0.92127085,0.91972107,0.919588504,0.8880259950687209,0.9511510129312791
1,1,1,1,1,1,1,PMPerformance,Toluene,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,0.5,30,25,0.717,CF,ligand,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,262.292,3.4448000000000016,262.292,3.4448000000000016,0,0,1,0,0,0,0,0,1,0,0.604572,0.53735286,0.13672966,0.43326312,0.7311182,0.48860716800000004,0.2099121433506289,0.7673021926493712
2,2,2,2,2,2,2,PMPerformance,Toluene,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,0.5,30,25,0.717,CF,ligand,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,426.4800000000001,6.032400000000005,426.4800000000001,6.032400000000005,0,0,1,0,0,0,0,0,1,0,0.84163755,0.85935104,0.58326495,0.82689047,0.88300574,0.79882995,0.6469651047062636,0.9506947952937365
3,3,3,3,3,3,3,PMPerformance,Toluene,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,0.5,30,25,0.717,CF,ligand,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,1071.287999999999,21.300640000000016,1071.287999999999,21.300640000000016,0,0,1,0,0,0,0,0,1,0,0.90680516,0.9109447,0.81553674,0.89453053,0.880712,0.8817058259999999,0.8335015214869004,0.9299101305130995
4,4,4,4,4,4,4,PMPerformance,Toluene,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,0.5,30,25,0.717,CF,ligand,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,786.7980000000002,14.85679999999997,786.7980000000002,14.85679999999997,0,0,1,0,0,0,0,0,1,0,0.8364091,0.809729,0.7931745,0.8359754,0.84624225,0.82430605,0.7969223742568639,0.8516897257431362
5,5,5,5,5,5,5,PMPerformance,Toluene,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,0.5,30,25,0.717,CF,ligand,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,894.8940000000001,15.21199999999996,894.8940000000001,15.21199999999996,0,0,1,0,0,0,0,0,1,0,0.8649612,0.86787647,0.8033145,0.8765638,0.8488939,0.852321974,0.8161064285400659,0.8885375194599341
6,6,6,6,6,6,6,PMPerformance,Toluene,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,0.5,30,25,0.717,CF,ligand,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,578.6320000000002,7.634600000000009,578.6320000000002,7.634600000000009,0,0,1,0,0,0,0,0,1,0,0.8647864,0.8806932,0.78390795,0.840656,0.9117211,0.8563529300000001,0.7967275992337454,0.9159782607662549
7,7,7,7,7,7,7,PMPerformance,Toluene,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,0.5,30,25,0.717,CF,ligand,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,265.381,4.456800000000004,265.381,4.456800000000004,0,0,1,0,0,0,0,0,1,0,0.71378046,0.59226084,0.26116753,0.5938287,0.78231376,0.588670258,0.339990107411357,0.837350408588643
8,8,8,8,8,8,8,PMPerformance,Toluene,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,0.5,30,25,0.717,CF,ligand,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,298.4100000000001,6.057800000000005,298.4100000000001,6.057800000000005,0,0,1,0,0,0,0,0,1,0,0.80389774,0.5936959,0.41162878,0.73301566,0.8100444,0.6704564960000001,0.4607577037707612,0.880155288229239
9,9,9,9,9,9,9,PMPerformance,Toluene,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,0.5,30,25,0.717,CF,ligand,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,350.48600000000016,7.126200000000005,350.48600000000016,7.126200000000005,0,0,1,0,0,0,0,0,1,0,0.7738884,0.80822754,0.6321265,0.67795587,0.871045,0.752648662,0.6321649622804084,0.8731323617195916
