,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42c_fold0,rejection_mcmpnn_combi_v42c_fold4,rejection_mcmpnn_combi_v42c_fold2,rejection_mcmpnn_combi_v42c_fold1,rejection_mcmpnn_combi_v42c_fold3,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,SM122,Toluene,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,0.5,30,25,0.18,CF,ligand,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,947.0320000000002,13.885199999999976,947.0320000000002,13.885199999999976,1,0,0,0,0,0,0,0,1,0,1.0,0.9720156,0.91361403,0.97277296,0.96410775,0.964502068,0.9253615183229169,1.0036426176770832
1,1,1,1,1,1,1,SM122,Toluene,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,0.5,30,25,0.18,CF,ligand,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,262.292,3.4448000000000016,262.292,3.4448000000000016,1,0,0,0,0,0,0,0,1,0,0.9232533,0.9316438,0.82052803,0.9117247,0.9217274,0.9017754459999999,0.8447006631952839,0.9588502288047159
2,2,2,2,2,2,2,SM122,Toluene,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,0.5,30,25,0.18,CF,ligand,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,426.4800000000001,6.032400000000005,426.4800000000001,6.032400000000005,1,0,0,0,0,0,0,0,1,0,0.9547889,0.95708,0.9045334,0.9369168,0.94731605,0.94012703,0.9135595714488138,0.9666944885511861
3,3,3,3,3,3,3,SM122,Toluene,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,0.5,30,25,0.18,CF,ligand,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,1071.287999999999,21.300640000000016,1071.287999999999,21.300640000000016,1,0,0,0,0,0,0,0,1,0,1.0,0.89442945,0.8391181,0.9318086,0.86204827,0.9054808839999999,0.8268541420336273,0.9841076259663726
4,4,4,4,4,4,4,SM122,Toluene,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,0.5,30,25,0.18,CF,ligand,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,786.7980000000002,14.85679999999997,786.7980000000002,14.85679999999997,1,0,0,0,0,0,0,0,1,0,0.974701,0.8234794,0.80611277,0.81353027,0.804109,0.8443864879999999,0.7534431012978542,0.9353298747021457
5,5,5,5,5,5,5,SM122,Toluene,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,0.5,30,25,0.18,CF,ligand,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,894.8940000000001,15.21199999999996,894.8940000000001,15.21199999999996,1,0,0,0,0,0,0,0,1,0,0.9921442,0.8593674,0.8164261,0.8668022,0.8221478,0.8713775399999999,0.7831560428197175,0.9595990371802823
6,6,6,6,6,6,6,SM122,Toluene,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,0.5,30,25,0.18,CF,ligand,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,578.6320000000002,7.634600000000009,578.6320000000002,7.634600000000009,1,0,0,0,0,0,0,0,1,0,0.9709724,0.91464865,0.8844485,0.93353474,0.91859114,0.9244390859999999,0.8852854098833742,0.9635927621166256
7,7,7,7,7,7,7,SM122,Toluene,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,0.5,30,25,0.18,CF,ligand,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,265.381,4.456800000000004,265.381,4.456800000000004,1,0,0,0,0,0,0,0,1,0,0.8521476,0.7777998,0.8275997,0.6901682,0.8264229,0.7948276400000001,0.7148356788765455,0.8748196011234546
8,8,8,8,8,8,8,SM122,Toluene,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,0.5,30,25,0.18,CF,ligand,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,298.4100000000001,6.057800000000005,298.4100000000001,6.057800000000005,1,0,0,0,0,0,0,0,1,0,0.91842616,0.8883399,0.85355663,0.8071761,0.8660786,0.866715478,0.8152945877203088,0.9181363682796913
9,9,9,9,9,9,9,SM122,Toluene,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,0.5,30,25,0.18,CF,ligand,SM,220,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,350.48600000000016,7.126200000000005,350.48600000000016,7.126200000000005,1,0,0,0,0,0,0,0,1,0,0.9334483,0.91623735,0.8906602,0.8985247,0.90955293,0.909684696,0.8891489428875345,0.9302204491124655
