,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42c_fold0,rejection_mcmpnn_combi_v42c_fold4,rejection_mcmpnn_combi_v42c_fold2,rejection_mcmpnn_combi_v42c_fold1,rejection_mcmpnn_combi_v42c_fold3,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,SS336,Ethanol,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,0.5,30,25,0.321,CF,ligand,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,947.0320000000002,13.885199999999976,947.0320000000002,13.885199999999976,0,0,0,0,0,1,0,0,1,0,0.7704316,0.7356453,0.7599515,0.8620476,0.72227985,0.77007117,0.7019736475259741,0.8381686924740259
1,1,1,1,1,1,1,SS336,Ethanol,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,0.5,30,25,0.321,CF,ligand,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,262.292,3.4448000000000016,262.292,3.4448000000000016,0,0,0,0,0,1,0,0,1,0,0.6789763,0.6782497,0.5629776,0.5993988,0.6570022,0.63532092,0.5709735329031181,0.6996683070968818
2,2,2,2,2,2,2,SS336,Ethanol,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,0.5,30,25,0.321,CF,ligand,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,426.4800000000001,6.032400000000005,426.4800000000001,6.032400000000005,0,0,0,0,0,1,0,0,1,0,0.79063535,0.8610836,0.7149179,0.8662263,0.8328797,0.8131485700000001,0.7354566117649398,0.8908405282350603
3,3,3,3,3,3,3,SS336,Ethanol,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,0.5,30,25,0.321,CF,ligand,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,1071.287999999999,21.300640000000016,1071.287999999999,21.300640000000016,0,0,0,0,0,1,0,0,1,0,0.69761455,0.53547037,0.66234905,0.65993416,0.50229347,0.61153232,0.5039047315905186,0.7191599084094814
4,4,4,4,4,4,4,SS336,Ethanol,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,0.5,30,25,0.321,CF,ligand,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,786.7980000000002,14.85679999999997,786.7980000000002,14.85679999999997,0,0,0,0,0,1,0,0,1,0,0.70747036,0.53084683,0.62809,0.5758843,0.51540035,0.5915383679999999,0.49435930100414105,0.6887174349958588
5,5,5,5,5,5,5,SS336,Ethanol,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,0.5,30,25,0.321,CF,ligand,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,894.8940000000001,15.21199999999996,894.8940000000001,15.21199999999996,0,0,0,0,0,1,0,0,1,0,0.73579705,0.62951744,0.6697961,0.69276595,0.5432089,0.654217088,0.5635737005217611,0.7448604754782389
6,6,6,6,6,6,6,SS336,Ethanol,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,0.5,30,25,0.321,CF,ligand,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,578.6320000000002,7.634600000000009,578.6320000000002,7.634600000000009,0,0,0,0,0,1,0,0,1,0,0.77219355,0.7768638,0.7124797,0.9116486,0.77719784,0.790076698,0.6991268779836509,0.8810265180163491
7,7,7,7,7,7,7,SS336,Ethanol,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,0.5,30,25,0.321,CF,ligand,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,265.381,4.456800000000004,265.381,4.456800000000004,0,0,0,0,0,1,0,0,1,0,0.64485705,0.80113125,0.82444817,0.80651397,0.8616036,0.787710808,0.684289361119742,0.891132254880258
8,8,8,8,8,8,8,SS336,Ethanol,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,0.5,30,25,0.321,CF,ligand,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,298.4100000000001,6.057800000000005,298.4100000000001,6.057800000000005,0,0,0,0,0,1,0,0,1,0,0.7311412,0.7281573,0.719973,0.80880755,0.7690178,0.75141937,0.7051921417738388,0.7976465982261612
9,9,9,9,9,9,9,SS336,Ethanol,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,0.5,30,25,0.321,CF,ligand,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,350.48600000000016,7.126200000000005,350.48600000000016,7.126200000000005,0,0,0,0,0,1,0,0,1,0,0.67948294,0.7760411,0.70928264,0.658506,0.71880096,0.7084227280000001,0.6528595389033345,0.7639859170966656
10,10,10,10,10,10,10,SS336,Ethanol,CN(c1c(c2ccccc2P(C3CCCCC3)C4CCCCC4)cccc1)C,CN(c1c(c2ccccc2P(C3CCCCC3)C4CCCCC4)cccc1)C,0.5,30,25,0.321,CF,ligand,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,393.5550000000001,7.192200000000008,393.5550000000001,7.192200000000008,0,0,0,0,0,1,0,0,1,0,0.73705727,0.75066036,0.6993842,0.73723006,0.78237617,0.741341612,0.7042661462536614,0.7784170777463387
