,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42c_fold0,rejection_mcmpnn_combi_v42c_fold4,rejection_mcmpnn_combi_v42c_fold2,rejection_mcmpnn_combi_v42c_fold1,rejection_mcmpnn_combi_v42c_fold3,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,SS336,Ethyl acetate,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,0.5,30,25,1.0,CF,ligand,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,947.0320000000002,13.885199999999976,947.0320000000002,13.885199999999976,0,0,0,0,0,1,0,0,1,0,0.7047374,0.5563811,0.54985607,0.69587743,0.6779262,0.6369556399999999,0.5411314272092926,0.7327798527907072
1,1,1,1,1,1,1,SS336,Ethyl acetate,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,0.5,30,25,1.0,CF,ligand,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,262.292,3.4448000000000016,262.292,3.4448000000000016,0,0,0,0,0,1,0,0,1,0,0.24817023,0.14856353,0.15398991,0.23274308,0.35730374,0.228154098,0.12254636020254481,0.3337618357974552
2,2,2,2,2,2,2,SS336,Ethyl acetate,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,0.5,30,25,1.0,CF,ligand,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,426.4800000000001,6.032400000000005,426.4800000000001,6.032400000000005,0,0,0,0,0,1,0,0,1,0,0.44823855,0.35099912,0.3344147,0.4501698,0.5581953,0.428403494,0.31641523575191166,0.5403917522480883
3,3,3,3,3,3,3,SS336,Ethyl acetate,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,0.5,30,25,1.0,CF,ligand,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,1071.287999999999,21.300640000000016,1071.287999999999,21.300640000000016,0,0,0,0,0,1,0,0,1,0,0.5819157,0.27488935,0.45377186,0.30464953,0.44614312,0.412273912,0.2575570663546072,0.5669907576453929
4,4,4,4,4,4,4,SS336,Ethyl acetate,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,0.5,30,25,1.0,CF,ligand,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,786.7980000000002,14.85679999999997,786.7980000000002,14.85679999999997,0,0,0,0,0,1,0,0,1,0,0.59858996,0.26868895,0.33471423,0.24832869,0.34350067,0.3587645,0.18466863478814424,0.5328603652118558
5,5,5,5,5,5,5,SS336,Ethyl acetate,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,0.5,30,25,1.0,CF,ligand,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,894.8940000000001,15.21199999999996,894.8940000000001,15.21199999999996,0,0,0,0,0,1,0,0,1,0,0.6455389,0.322101,0.3721444,0.31053072,0.43110695,0.416284394,0.24651206666444966,0.5860567213355503
6,6,6,6,6,6,6,SS336,Ethyl acetate,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,0.5,30,25,1.0,CF,ligand,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,578.6320000000002,7.634600000000009,578.6320000000002,7.634600000000009,0,0,0,0,0,1,0,0,1,0,0.5940152,0.52125555,0.46145752,0.49088302,0.62768674,0.539059606,0.45228750568496107,0.6258317063150389
7,7,7,7,7,7,7,SS336,Ethyl acetate,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,0.5,30,25,1.0,CF,ligand,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,265.381,4.456800000000004,265.381,4.456800000000004,0,0,0,0,0,1,0,0,1,0,0.30752155,0.34700382,0.35789955,0.3059526,0.5688108,0.377437664,0.24151938742205806,0.513355940577942
8,8,8,8,8,8,8,SS336,Ethyl acetate,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,0.5,30,25,1.0,CF,ligand,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,298.4100000000001,6.057800000000005,298.4100000000001,6.057800000000005,0,0,0,0,0,1,0,0,1,0,0.2974774,0.24226004,0.35442793,0.3371844,0.3825593,0.322781814,0.2550390328501595,0.3905245951498405
9,9,9,9,9,9,9,SS336,Ethyl acetate,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,0.5,30,25,1.0,CF,ligand,SS,500,82.0,0.0,0,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,350.48600000000016,7.126200000000005,350.48600000000016,7.126200000000005,0,0,0,0,0,1,0,0,1,0,0.2059012,0.19676739,0.31418076,0.2849741,0.30776852,0.26191839399999994,0.19182282142013518,0.3320139665798647
