,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42c_fold0,rejection_mcmpnn_combi_v42c_fold4,rejection_mcmpnn_combi_v42c_fold2,rejection_mcmpnn_combi_v42c_fold1,rejection_mcmpnn_combi_v42c_fold3,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,SS336,Toluene,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,c1(CP(c2ccccc2)c3ccccc3)c(c4c(CP(c5ccccc5)c6ccccc6)cccc4CP(c7ccccc7)c8ccccc8)c(CP(c9ccccc9)c%10ccccc%10)ccc1,0.5,30,25,0.798,CF,ligand,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,947.0320000000002,13.885199999999976,947.0320000000002,13.885199999999976,0,0,0,0,0,1,0,0,1,0,0.93606865,0.7392074,0.7256421,0.74997276,0.7257762,0.7753334219999999,0.6630516821725564,0.8876151618274434
1,1,1,1,1,1,1,SS336,Toluene,c1(P(c2ccccc2)c3ccccc3)ccccc1,c1(P(c2ccccc2)c3ccccc3)ccccc1,0.5,30,25,0.798,CF,ligand,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,262.292,3.4448000000000016,262.292,3.4448000000000016,0,0,0,0,0,1,0,0,1,0,0.63421404,0.44684023,0.28315008,0.49943063,0.5482105,0.48236909600000005,0.3197234462927318,0.6450147457072684
2,2,2,2,2,2,2,SS336,Toluene,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,c1(P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4)ccccc1,0.5,30,25,0.798,CF,ligand,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,426.4800000000001,6.032400000000005,426.4800000000001,6.032400000000005,0,0,0,0,0,1,0,0,1,0,0.85116005,0.7017046,0.5254399,0.66748536,0.7282636,0.6948107020000001,0.549153295564446,0.8404681084355541
3,3,3,3,3,3,3,SS336,Toluene,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,Cc1c(C(C)(C)C)cc(C(C)(C)C)c(OP(Oc2c3ccccc3ccc2)Oc4c5ccccc5ccc4)c1c6c(OP(Oc7c8ccccc8ccc7)Oc9c%10ccccc%10ccc9)c(C(C)(C)C)cc(C(C)(C)C)c6C,0.5,30,25,0.798,CF,ligand,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,1071.287999999999,21.300640000000016,1071.287999999999,21.300640000000016,0,0,0,0,0,1,0,0,1,0,0.89187795,0.5031391,0.63826776,0.6896299,0.49609333,0.6438016079999999,0.44236443677969567,0.845238779220304
4,4,4,4,4,4,4,SS336,Toluene,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,0.5,30,25,0.798,CF,ligand,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,786.7980000000002,14.85679999999997,786.7980000000002,14.85679999999997,0,0,0,0,0,1,0,0,1,0,0.84283113,0.4778115,0.48849097,0.5721277,0.49100107,0.574452474,0.38236992045720064,0.7665350275427993
5,5,5,5,5,5,5,SS336,Toluene,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,0.5,30,25,0.798,CF,ligand,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,894.8940000000001,15.21199999999996,894.8940000000001,15.21199999999996,0,0,0,0,0,1,0,0,1,0,0.8904166,0.5416768,0.523904,0.64078474,0.53824025,0.6270044779999999,0.4352835039171239,0.818725452082876
6,6,6,6,6,6,6,SS336,Toluene,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,0.5,30,25,0.798,CF,ligand,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,578.6320000000002,7.634600000000009,578.6320000000002,7.634600000000009,0,0,0,0,0,1,0,0,1,0,0.91002476,0.60453856,0.5987924,0.68778217,0.6768122,0.695590018,0.5384618980303136,0.8527181379696863
7,7,7,7,7,7,7,SS336,Toluene,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,CN(c1ccc(P(C(C)(C)C)C(C)(C)C)cc1)C,0.5,30,25,0.798,CF,ligand,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,265.381,4.456800000000004,265.381,4.456800000000004,0,0,0,0,0,1,0,0,1,0,0.7810266,0.64909554,0.3381878,0.5142205,0.67200404,0.590906896,0.37959050108265086,0.8022232909173492
8,8,8,8,8,8,8,SS336,Toluene,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,CC(C)(P(c1c(c2ccccc2)cccc1)C(C)(C)C)C,0.5,30,25,0.798,CF,ligand,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,298.4100000000001,6.057800000000005,298.4100000000001,6.057800000000005,0,0,0,0,0,1,0,0,1,0,0.6384344,0.40385395,0.4430446,0.56061894,0.43880415,0.49695120800000003,0.3743071454387389,0.6195952705612612
9,9,9,9,9,9,9,SS336,Toluene,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,c1(c2ccccc2)ccccc1P(C3CCCCC3)C4CCCCC4,0.5,30,25,0.798,CF,ligand,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,350.48600000000016,7.126200000000005,350.48600000000016,7.126200000000005,0,0,0,0,0,1,0,0,1,0,0.49524635,0.42351502,0.4621639,0.44641107,0.39694947,0.44485716200000003,0.39843303189680424,0.4912812921031958
10,10,10,10,10,10,10,SS336,Toluene,CN(c1c(c2ccccc2P(C3CCCCC3)C4CCCCC4)cccc1)C,CN(c1c(c2ccccc2P(C3CCCCC3)C4CCCCC4)cccc1)C,0.5,30,25,0.798,CF,ligand,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,393.5550000000001,7.192200000000008,393.5550000000001,7.192200000000008,0,0,0,0,0,1,0,0,1,0,0.6825658,0.401128,0.49744484,0.4456619,0.515537,0.5084675080000001,0.3753891509197822,0.6415458650802179
11,11,11,11,11,11,11,SS336,Toluene,CC(c1c(c2ccccc2P(C3CCCCC3)C4CCCCC4)c(C(C)C)cc(C(C)C)c1)C,CC(c1c(c2ccccc2P(C3CCCCC3)C4CCCCC4)c(C(C)C)cc(C(C)C)c1)C,0.5,30,25,0.798,CF,ligand,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,476.7290000000002,10.496399999999992,476.7290000000002,10.496399999999992,0,0,0,0,0,1,0,0,1,0,0.64442307,0.56383294,0.7163899,0.49910682,0.51568264,0.587887074,0.474454237312822,0.7013199106871779
12,12,12,12,12,12,12,SS336,Toluene,CC(C)c1c(c2c(OC)ccc(OC)c2P(C(C)(C)C)C(C)(C)C)c(C(C)C)cc(C(C)C)c1,CC(C)c1c(c2c(OC)ccc(OC)c2P(C(C)(C)C)C(C)(C)C)c(C(C)C)cc(C(C)C)c1,0.5,30,25,0.798,CF,ligand,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,484.70500000000027,9.4452,484.70500000000027,9.4452,0,0,0,0,0,1,0,0,1,0,0.88270116,0.81848013,0.7427459,0.697577,0.561448,0.740590438,0.5882535512218073,0.8929273247781927
13,13,13,13,13,13,13,SS336,Toluene,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,0.5,30,25,0.798,CF,ligand,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,466.9030000000005,11.24519999999999,466.9030000000005,11.24519999999999,0,0,0,0,0,1,0,0,1,0,0.7364298,0.5170924,0.6848239,0.5029343,0.61861813,0.611979706,0.4851525679544725,0.7388068440455274
14,14,14,14,14,14,14,SS336,Toluene,P(c(c1c2c(P(c3ccccc3)c4ccccc4)ccc5c2cccc5)ccc6c1cccc6)(c7ccccc7)c8ccccc8,P(c(c1c2c(P(c3ccccc3)c4ccccc4)ccc5c2cccc5)ccc6c1cccc6)(c7ccccc7)c8ccccc8,0.5,30,25,0.798,CF,ligand,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,622.6880000000002,9.1764,622.6880000000002,9.1764,0,0,0,0,0,1,0,0,1,0,0.9005891,0.596133,0.56725144,0.64748615,0.6588792,0.674067778,0.5101249306616258,0.8380106253383741
15,15,15,15,15,15,15,SS336,Toluene,CC(C)(C)P(C(C)(C)C)Nc1nc(NP(C(C)(C)C)C(C)(C)C)ccc1,CC(C)(C)P(C(C)(C)C)Nc1nc(NP(C(C)(C)C)C(C)(C)C)ccc1,0.5,30,25,0.798,CF,ligand,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,397.5280000000002,7.893200000000008,397.5280000000002,7.893200000000008,0,0,0,0,0,1,0,0,1,0,0.95520544,0.70649683,0.7419708,0.5426785,0.64058876,0.717388066,0.5273469401786328,0.9074291918213673
16,16,16,16,16,16,16,SS336,Toluene,c1(NP(c2ccccc2)c3ccccc3)nc(NP(c4ccccc4)c5ccccc5)ccc1,c1(NP(c2ccccc2)c3ccccc3)nc(NP(c4ccccc4)c5ccccc5)ccc1,0.5,30,25,0.798,CF,ligand,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,477.4880000000001,6.001200000000004,477.4880000000001,6.001200000000004,0,0,0,0,0,1,0,0,1,0,0.88716215,0.7514293,0.6354852,0.67499244,0.7444973,0.7387132779999999,0.6193768338795662,0.8580497221204335
17,17,17,17,17,17,17,SS336,Toluene,CC(C)(C)P(C(C)(C)C)Nc1cccc(NP(c2ccccc2)c3ccccc3)n1,CC(C)(C)P(C(C)(C)C)Nc1cccc(NP(c2ccccc2)c3ccccc3)n1,0.5,30,25,0.798,CF,ligand,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,437.50800000000015,6.947200000000007,437.50800000000015,6.947200000000007,0,0,0,0,0,1,0,0,1,0,0.9311112,0.64499986,0.5867804,0.6253964,0.6579508,0.689247732,0.5180828118400714,0.8604126521599286
18,18,18,18,18,18,18,SS336,Toluene,CC(C)(C)P(C(C)(C)C)Nc1cccc(c2ncccc2)n1,CC(C)(C)P(C(C)(C)C)Nc1cccc(c2ncccc2)n1,0.5,30,25,0.798,CF,ligand,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,315.401,5.549400000000005,315.401,5.549400000000005,0,0,0,0,0,1,0,0,1,0,0.5340798,0.40919778,0.33648765,0.45356357,0.34333125,0.41533201000000003,0.31331727612255245,0.5173467438774476
19,19,19,19,19,19,19,SS336,Toluene,C1(P(C2CCCCC2)C3CCCCC3)CCCCC1,C1(P(C2CCCCC2)C3CCCCC3)CCCCC1,0.5,30,25,0.798,CF,ligand,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,280.436,6.466400000000006,280.436,6.466400000000006,0,0,0,0,0,1,0,0,1,0,0.3051014,0.35458767,0.40405625,0.29299498,0.32316005,0.33598007,0.28063829562279535,0.3913218443772047
20,20,20,20,20,20,20,SS336,Toluene,O=P(c1ccccc1)(c2ccccc2)Cc3cc(OCc4ccc(c5ccc(COc6cc(CP(c7ccccc7)(c8ccccc8)=O)cc(CP(c9ccccc9)(c%10ccccc%10)=O)c6)cc5)cc4)cc(CP(c%11ccccc%11)(c%12ccccc%12)=O)c3,O=P(c1ccccc1)(c2ccccc2)Cc3cc(OCc4ccc(c5ccc(COc6cc(CP(c7ccccc7)(c8ccccc8)=O)cc(CP(c9ccccc9)(c%10ccccc%10)=O)c6)cc5)cc4)cc(CP(c%11ccccc%11)(c%12ccccc%12)=O)c3,0.5,30,25,0.798,CF,ligand,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,1223.2760000000003,16.567999999999966,1223.2760000000003,16.567999999999966,0,0,0,0,0,1,0,0,1,0,0.9492209,0.732687,0.7127789,0.7113998,0.8113984,0.783497,0.6577519097413012,0.9092420902586988
21,21,21,21,21,21,21,SS336,Toluene,O=P(c1ccccc1)(c2ccccc2)Cc3cc(OCc4cc(COc5cc(CP(c6ccccc6)(c7ccccc7)=O)cc(CP(c8ccccc8)(c9ccccc9)=O)c5)cc(COc%10cc(CP(c%11ccccc%11)(c%12ccccc%12)=O)cc(CP(c%13ccccc%13)(c%14ccccc%14)=O)c%10)c4)cc(CP(c%15ccccc%15)(c%16ccccc%16)=O)c3,O=P(c1ccccc1)(c2ccccc2)Cc3cc(OCc4cc(COc5cc(CP(c6ccccc6)(c7ccccc7)=O)cc(CP(c8ccccc8)(c9ccccc9)=O)c5)cc(COc%10cc(CP(c%11ccccc%11)(c%12ccccc%12)=O)cc(CP(c%13ccccc%13)(c%14ccccc%14)=O)c%10)c4)cc(CP(c%15ccccc%15)(c%16ccccc%16)=O)c3,0.5,30,25,0.798,CF,ligand,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,1681.71,21.50820000000001,1681.71,21.50820000000001,0,0,0,0,0,1,0,0,1,0,0.9029642,0.74643195,0.7251949,0.74583495,0.79102534,0.7822902679999999,0.6933720623461007,0.8712084736538991
22,22,22,22,22,22,22,SS336,Toluene,O=P(c1ccccc1)(c2ccccc2)Cc3cc(OCc4ccc(c5cc(c6ccc(COc7cc(CP(c8ccccc8)(c9ccccc9)=O)cc(CP(c%10ccccc%10)(c%11ccccc%11)=O)c7)cc6)cc(c%12ccc(COc%13cc(CP(c%14ccccc%14)(c%15ccccc%15)=O)cc(CP(c%16ccccc%16)(c%17ccccc%17)=O)c%13)cc%12)c5)cc4)cc(CP(c%18ccccc%18)(c%19ccccc%19)=O)c3,O=P(c1ccccc1)(c2ccccc2)Cc3cc(OCc4ccc(c5cc(c6ccc(COc7cc(CP(c8ccccc8)(c9ccccc9)=O)cc(CP(c%10ccccc%10)(c%11ccccc%11)=O)c7)cc6)cc(c%12ccc(COc%13cc(CP(c%14ccccc%14)(c%15ccccc%15)=O)cc(CP(c%16ccccc%16)(c%17ccccc%17)=O)c%13)cc%12)c5)cc4)cc(CP(c%18ccccc%18)(c%19ccccc%19)=O)c3,0.5,30,25,0.798,CF,ligand,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,1910.0040000000004,26.509200000000053,1910.0040000000004,26.509200000000053,0,0,0,0,0,1,0,0,1,0,0.8907896,0.7305842,0.7272634,0.7347723,0.77919,0.7725199,0.6863519807681456,0.8586878192318544
23,23,23,23,23,23,23,SS336,Toluene,CC(C)(P(C(C)(C)C)Cc1c(CP(C(C)(C)C)C(C)(C)C)cccc1)C,CC(C)(P(C(C)(C)C)Cc1c(CP(C(C)(C)C)C(C)(C)C)cccc1)C,0.5,30,25,0.798,CF,ligand,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,394.5640000000001,8.844400000000004,394.5640000000001,8.844400000000004,0,0,0,0,0,1,0,0,1,0,0.87617874,0.8246479,0.81290245,0.6359742,0.7276666,0.7754739780000001,0.6581611263713283,0.8927868296286718
24,24,24,24,24,24,24,SS336,Toluene,CCCCCCCCP(CCCCCCCC)CCCCCCCC,CCCCCCCCP(CCCCCCCC)CCCCCCCC,0.5,30,25,0.798,CF,ligand,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,370.6460000000002,9.5498,370.6460000000002,9.5498,0,0,0,0,0,1,0,0,1,0,0.7536039,0.49333858,0.39758533,0.5811936,0.60829335,0.566802952,0.40154643486785613,0.7320594691321438
25,25,25,25,25,25,25,SS336,Toluene,CN(C)P1Oc2c(C3(CC4)CCc5cccc(O1)c53)c4ccc2,CN(C)P1Oc2c(C3(CC4)CCc5cccc(O1)c53)c4ccc2,0.5,30,25,0.798,CF,ligand,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,325.348,4.424800000000004,325.348,4.424800000000004,0,0,0,0,0,1,0,0,1,0,0.5458061,0.34712315,0.21770221,0.5102657,0.39493805,0.40316704200000003,0.23959004890572516,0.566744035094275
26,26,26,26,26,26,26,SS336,Toluene,P(c1ccccc1)(c2ccccc2)CCP(c3ccccc3)c4ccccc4,P(c1ccccc1)(c2ccccc2)CCP(c3ccccc3)c4ccccc4,0.5,30,25,0.798,CF,ligand,SS,500,82.0,0.0,0,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,398.426,5.252200000000005,398.426,5.252200000000005,0,0,0,0,0,1,0,0,1,0,0.83608985,0.70080376,0.49211386,0.6573587,0.7173972,0.6807526740000001,0.5261587922209119,0.8353465557790882
