,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42a_fold3,rejection_mcmpnn_combi_v42a_fold1,rejection_mcmpnn_combi_v42a_fold2,rejection_mcmpnn_combi_v42a_fold4,rejection_mcmpnn_combi_v42a_fold0,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,PMPerformance,Ethanol,[Mg++].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,[Mg++].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,0.5,30,25,0.539,CF,metal_catalyst,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,322.4429999999999,-0.2779999999999998,322.4429999999999,-0.2779999999999998,0,0,1,0,0,0,0,0,1,0,0.5117259,0.392691,0.119991064,0.24283034,0.6855467,0.3905570008,0.11518845918951559,0.6659255424104844
1,1,1,1,1,1,1,PMPerformance,Ethanol,C1=C\CC/C=C\CC/1.[Cl-].[Ir+].[Cl-].[Ir+].C2=C\CC/C=C\CC/2,C1=C\CC/C=C\CC/1.[Cl-].[Ir+].[Cl-].[Ir+].C2=C\CC/C=C\CC/2,0.5,30,25,0.539,CF,metal_catalyst,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,671.7079999999997,-0.6513999999999978,671.7079999999997,-0.6513999999999978,0,0,1,0,0,0,0,0,1,0,0.49786955,0.6419682,0.5782441,0.46312124,0.651823,0.566605218,0.46177715354188154,0.6714332824581184
2,2,2,2,2,2,2,PMPerformance,Ethanol,CC(c1c(OC)c(C(C)(C)C)cc([P]2(c3ccc(OCO4)c4c3c5c6c(OCO6)ccc5[P](c7cc(C(C)(C)C)c(OC)c(C(C)(C)C)c7)(c8cc(C(C)(C)C)c(OC)c(C(C)(C)C)c8)[Ir+]2)c9cc(C(C)(C)C)c(OC)c(C(C)(C)C)c9)c1)(C)C,CC(c1c(OC)c(C(C)(C)C)cc([P]2(c3ccc(OCO4)c4c3c5c6c(OCO6)ccc5[P](c7cc(C(C)(C)C)c(OC)c(C(C)(C)C)c7)(c8cc(C(C)(C)C)c(OC)c(C(C)(C)C)c8)[Ir+]2)c9cc(C(C)(C)C)c(OC)c(C(C)(C)C)c9)c1)(C)C,0.5,30,25,0.539,CF,metal_catalyst,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,1371.770999999998,16.739299999999968,1371.770999999998,16.739299999999968,0,0,1,0,0,0,0,0,1,0,0.72409815,0.92642605,0.8121323,0.6095352,0.6004429,0.7345269200000001,0.5627480966133775,0.9063057433866226
3,3,3,3,3,3,3,PMPerformance,Ethanol,CC(c1cc(C=[N]2[C@H]3CCCC[C@@H]3[N]4=Cc5cc(C(C)(C)C)cc(C(C)(C)C)c5O[Mn]42(Cl)O6)c6c(C(C)(C)C)c1)(C)C,CC(c1cc(C=[N]2[C@H]3CCCC[C@@H]3[N]4=Cc5cc(C(C)(C)C)cc(C(C)(C)C)c5O[Mn]42(Cl)O6)c6c(C(C)(C)C)c1)(C)C,0.5,30,25,0.539,CF,metal_catalyst,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,635.2149999999999,10.098999999999997,635.2149999999999,10.098999999999997,0,0,1,0,0,0,0,0,1,0,0.66032153,0.81525326,0.73865896,0.45122084,0.3434954,0.601789998,0.3557079905743339,0.8478720054256661
4,4,4,4,4,4,4,PMPerformance,Ethanol,CC(c1c2c([P]3(c4ccccc4)c5ccccc5)ccc1)(c6c(O2)c([P]([Rh+]73O[C-](C=C(C)O7)C)(c8ccccc8)c9ccccc9)ccc6)C,CC(c1c2c([P]3(c4ccccc4)c5ccccc5)ccc1)(c6c(O2)c([P]([Rh+]73O[C-](C=C(C)O7)C)(c8ccccc8)c9ccccc9)ccc6)C,0.5,30,25,0.539,CF,metal_catalyst,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,780.6470000000002,9.035990000000002,780.6470000000002,9.035990000000002,0,0,1,0,0,0,0,0,1,0,0.2825373,0.5748019,0.46546912,0.3735085,0.4465167,0.42856670399999997,0.2933667754205095,0.5637666325794904
5,5,5,5,5,5,5,PMPerformance,Ethanol,CC([O+]1[Ru]([C-]2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C)(Cl)(Cl)=Cc5cc(c6cc(C)c(O[Si](C(C)(C)C)(C)C)c(C)c6)ccc51)C,CC([O+]1[Ru]([C-]2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C)(Cl)(Cl)=Cc5cc(c6cc(C)c(O[Si](C(C)(C)C)(C)C)c(C)c6)ccc51)C,0.5,30,25,0.539,CF,metal_catalyst,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,861.0489999999998,13.428849999999976,861.0489999999998,13.428849999999976,0,0,1,0,0,0,0,0,1,0,0.73517835,0.86708045,0.72528696,0.5298718,0.6740495,0.706293412,0.5552233864507535,0.8573634375492464
6,6,6,6,6,6,6,PMPerformance,Ethanol,CC(C[Si]1(O[Si](CC(C)C)(O2)O[Si](CCCNC(OCCc3ccc(OC(C)C)c(C=[Ru](Cl)(Cl)=C4N(c5c(C)cc(C)cc5C)CCN4c6c(C)cc(C)cc6C)c3)=O)(O7)O8)O[Si]9(CC(C)C)O[Si]2(CC(C)C)O[Si]7(CC(C)C)O[Si](O9)(CC(C)C)O[Si]8(CC(C)C)O1)C,CC(C[Si]1(O[Si](CC(C)C)(O2)O[Si](CCCNC(OCCc3ccc(OC(C)C)c(C=[Ru](Cl)(Cl)=C4N(c5c(C)cc(C)cc5C)CCN4c6c(C)cc(C)cc6C)c3)=O)(O7)O8)O[Si]9(CC(C)C)O[Si]2(CC(C)C)O[Si]7(CC(C)C)O[Si](O9)(CC(C)C)O[Si]8(CC(C)C)O1)C,0.5,30,25,0.539,CF,metal_catalyst,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,1571.2729999999983,16.079519999999967,1571.2729999999983,16.079519999999967,0,0,1,0,0,0,0,0,1,0,0.66932976,0.8742432,0.8794227,0.79214174,0.561879,0.75540328,0.584574323864924,0.926232236135076
7,7,7,7,7,7,7,PMPerformance,Ethanol,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,0.5,30,25,0.539,CF,metal_catalyst,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,626.634,8.050320000000008,626.634,8.050320000000008,0,0,1,0,0,0,0,0,1,0,0.32046336,0.7512834,0.47425416,0.22000301,0.40405327,0.43401144,0.18423070473053232,0.6837921752694678
8,8,8,8,8,8,8,PMPerformance,Ethanol,CC(C)c1cc(CN(C2CCCCC2)C3CCCCC3)cc(C(C)C)c1N(/C4=[Pd](Cl)\C/C=C\c5ccccc5)CCN4c6c(C(C)C)cc(CN(C7CCCCC7)C8CCCCC8)cc6C(C)C,CC(C)c1cc(CN(C2CCCCC2)C3CCCCC3)cc(C(C)C)c1N(/C4=[Pd](Cl)\C/C=C\c5ccccc5)CCN4c6c(C(C)C)cc(CN(C7CCCCC7)C8CCCCC8)cc6C(C)C,0.5,30,25,0.539,CF,metal_catalyst,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,1036.3269999999989,17.432699999999972,1036.3269999999989,17.432699999999972,0,0,1,0,0,0,0,0,1,0,0.8504279,0.915483,0.89331275,0.72820246,0.7580891,0.8291030420000001,0.7265942207768274,0.9316118632231727
9,9,9,9,9,9,9,PMPerformance,Ethanol,CC(O[Co+3]12(OC(C)=C[C-](O1)C)(OC(C)=C[C-](O2)C)O3)=C[C-]3C,CC(O[Co+3]12(OC(C)=C[C-](O1)C)(OC(C)=C[C-](O2)C)O3)=C[C-]3C,0.5,30,25,0.539,CF,metal_catalyst,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,356.2600000000001,4.209170000000004,356.2600000000001,4.209170000000004,0,0,1,0,0,0,0,0,1,0,0.42740354,0.34321457,0.5016834,0.1786106,0.23658866,0.33750015400000005,0.17265735456753503,0.502342953432465
