,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42a_fold3,rejection_mcmpnn_combi_v42a_fold1,rejection_mcmpnn_combi_v42a_fold2,rejection_mcmpnn_combi_v42a_fold4,rejection_mcmpnn_combi_v42a_fold0,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,PMPerformance,Ethyl acetate,[Mg++].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,[Mg++].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,0.5,30,25,2.036,CF,metal_catalyst,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,322.4429999999999,-0.2779999999999998,322.4429999999999,-0.2779999999999998,0,0,1,0,0,0,0,0,1,0,0.58008295,0.35989594,0.33607548,0.26307452,0.8240972,0.472645218,0.18791069946707495,0.757379736532925
1,1,1,1,1,1,1,PMPerformance,Ethyl acetate,C1=C\CC/C=C\CC/1.[Cl-].[Ir+].[Cl-].[Ir+].C2=C\CC/C=C\CC/2,C1=C\CC/C=C\CC/1.[Cl-].[Ir+].[Cl-].[Ir+].C2=C\CC/C=C\CC/2,0.5,30,25,2.036,CF,metal_catalyst,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,671.7079999999997,-0.6513999999999978,671.7079999999997,-0.6513999999999978,0,0,1,0,0,0,0,0,1,0,0.6314347,0.52781236,0.60417306,0.7232663,0.7628294,0.649903164,0.5329739843400556,0.7668323436599445
2,2,2,2,2,2,2,PMPerformance,Ethyl acetate,CC(c1c(OC)c(C(C)(C)C)cc([P]2(c3ccc(OCO4)c4c3c5c6c(OCO6)ccc5[P](c7cc(C(C)(C)C)c(OC)c(C(C)(C)C)c7)(c8cc(C(C)(C)C)c(OC)c(C(C)(C)C)c8)[Ir+]2)c9cc(C(C)(C)C)c(OC)c(C(C)(C)C)c9)c1)(C)C,CC(c1c(OC)c(C(C)(C)C)cc([P]2(c3ccc(OCO4)c4c3c5c6c(OCO6)ccc5[P](c7cc(C(C)(C)C)c(OC)c(C(C)(C)C)c7)(c8cc(C(C)(C)C)c(OC)c(C(C)(C)C)c8)[Ir+]2)c9cc(C(C)(C)C)c(OC)c(C(C)(C)C)c9)c1)(C)C,0.5,30,25,2.036,CF,metal_catalyst,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,1371.770999999998,16.739299999999968,1371.770999999998,16.739299999999968,0,0,1,0,0,0,0,0,1,0,0.7993165,0.87885964,0.7853755,0.7494851,0.7950437,0.8016160880000001,0.7427304189177534,0.8605017570822467
3,3,3,3,3,3,3,PMPerformance,Ethyl acetate,CC(c1cc(C=[N]2[C@H]3CCCC[C@@H]3[N]4=Cc5cc(C(C)(C)C)cc(C(C)(C)C)c5O[Mn]42(Cl)O6)c6c(C(C)(C)C)c1)(C)C,CC(c1cc(C=[N]2[C@H]3CCCC[C@@H]3[N]4=Cc5cc(C(C)(C)C)cc(C(C)(C)C)c5O[Mn]42(Cl)O6)c6c(C(C)(C)C)c1)(C)C,0.5,30,25,2.036,CF,metal_catalyst,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,635.2149999999999,10.098999999999997,635.2149999999999,10.098999999999997,0,0,1,0,0,0,0,0,1,0,0.5206226,0.52393746,0.49722576,0.39842117,0.8645048,0.5609423579999999,0.3409030462922378,0.7809816697077621
4,4,4,4,4,4,4,PMPerformance,Ethyl acetate,CC(c1c2c([P]3(c4ccccc4)c5ccccc5)ccc1)(c6c(O2)c([P]([Rh+]73O[C-](C=C(C)O7)C)(c8ccccc8)c9ccccc9)ccc6)C,CC(c1c2c([P]3(c4ccccc4)c5ccccc5)ccc1)(c6c(O2)c([P]([Rh+]73O[C-](C=C(C)O7)C)(c8ccccc8)c9ccccc9)ccc6)C,0.5,30,25,2.036,CF,metal_catalyst,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,780.6470000000002,9.035990000000002,780.6470000000002,9.035990000000002,0,0,1,0,0,0,0,0,1,0,0.7169601,0.7531536,0.7836343,0.7931933,0.8769336,0.78477498,0.7108877553428304,0.8586622046571696
5,5,5,5,5,5,5,PMPerformance,Ethyl acetate,CC([O+]1[Ru]([C-]2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C)(Cl)(Cl)=Cc5cc(c6cc(C)c(O[Si](C(C)(C)C)(C)C)c(C)c6)ccc51)C,CC([O+]1[Ru]([C-]2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C)(Cl)(Cl)=Cc5cc(c6cc(C)c(O[Si](C(C)(C)C)(C)C)c(C)c6)ccc51)C,0.5,30,25,2.036,CF,metal_catalyst,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,861.0489999999998,13.428849999999976,861.0489999999998,13.428849999999976,0,0,1,0,0,0,0,0,1,0,0.8059919,0.8131012,0.8375547,0.6281864,0.871087,0.79118424,0.673713070070549,0.9086554099294509
6,6,6,6,6,6,6,PMPerformance,Ethyl acetate,CC(C[Si]1(O[Si](CC(C)C)(O2)O[Si](CCCNC(OCCc3ccc(OC(C)C)c(C=[Ru](Cl)(Cl)=C4N(c5c(C)cc(C)cc5C)CCN4c6c(C)cc(C)cc6C)c3)=O)(O7)O8)O[Si]9(CC(C)C)O[Si]2(CC(C)C)O[Si]7(CC(C)C)O[Si](O9)(CC(C)C)O[Si]8(CC(C)C)O1)C,CC(C[Si]1(O[Si](CC(C)C)(O2)O[Si](CCCNC(OCCc3ccc(OC(C)C)c(C=[Ru](Cl)(Cl)=C4N(c5c(C)cc(C)cc5C)CCN4c6c(C)cc(C)cc6C)c3)=O)(O7)O8)O[Si]9(CC(C)C)O[Si]2(CC(C)C)O[Si]7(CC(C)C)O[Si](O9)(CC(C)C)O[Si]8(CC(C)C)O1)C,0.5,30,25,2.036,CF,metal_catalyst,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,1571.2729999999983,16.079519999999967,1571.2729999999983,16.079519999999967,0,0,1,0,0,0,0,0,1,0,0.8036926,0.789621,0.8358885,0.89564157,0.700265,0.8050217340000001,0.7163978096846799,0.8936456583153203
7,7,7,7,7,7,7,PMPerformance,Ethyl acetate,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,0.5,30,25,2.036,CF,metal_catalyst,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,626.634,8.050320000000008,626.634,8.050320000000008,0,0,1,0,0,0,0,0,1,0,0.6679175,0.76139987,0.7996012,0.51404285,0.878777,0.724347684,0.5506291073111931,0.898066260688807
8,8,8,8,8,8,8,PMPerformance,Ethyl acetate,CC(C)c1cc(CN(C2CCCCC2)C3CCCCC3)cc(C(C)C)c1N(/C4=[Pd](Cl)\C/C=C\c5ccccc5)CCN4c6c(C(C)C)cc(CN(C7CCCCC7)C8CCCCC8)cc6C(C)C,CC(C)c1cc(CN(C2CCCCC2)C3CCCCC3)cc(C(C)C)c1N(/C4=[Pd](Cl)\C/C=C\c5ccccc5)CCN4c6c(C(C)C)cc(CN(C7CCCCC7)C8CCCCC8)cc6C(C)C,0.5,30,25,2.036,CF,metal_catalyst,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,1036.3269999999989,17.432699999999972,1036.3269999999989,17.432699999999972,0,0,1,0,0,0,0,0,1,0,0.8950411,0.92767465,0.92585266,0.86765903,0.8923346,0.9017124080000001,0.8703688637798377,0.9330559522201625
9,9,9,9,9,9,9,PMPerformance,Ethyl acetate,CC(O[Co+3]12(OC(C)=C[C-](O1)C)(OC(C)=C[C-](O2)C)O3)=C[C-]3C,CC(O[Co+3]12(OC(C)=C[C-](O1)C)(OC(C)=C[C-](O2)C)O3)=C[C-]3C,0.5,30,25,2.036,CF,metal_catalyst,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,356.2600000000001,4.209170000000004,356.2600000000001,4.209170000000004,0,0,1,0,0,0,0,0,1,0,0.37720996,0.22858316,0.48907575,0.24179214,0.32145473,0.331623148,0.1989629198582813,0.46428337614171866
