,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42a_fold3,rejection_mcmpnn_combi_v42a_fold1,rejection_mcmpnn_combi_v42a_fold2,rejection_mcmpnn_combi_v42a_fold4,rejection_mcmpnn_combi_v42a_fold0,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,SS336,Acetonitrile,[Mg++].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,[Mg++].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,0.5,30,25,0.456,CF,metal_catalyst,SS,500,82.0,0.0,0,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,322.4429999999999,-0.2779999999999998,322.4429999999999,-0.2779999999999998,0,0,0,0,0,1,0,0,1,0,0.7692988,0.8168549,0.694412,0.68452954,1.0,0.793019048,0.634171885471429,0.951866210528571
1,1,1,1,1,1,1,SS336,Acetonitrile,C1=C\CC/C=C\CC/1.[Cl-].[Ir+].[Cl-].[Ir+].C2=C\CC/C=C\CC/2,C1=C\CC/C=C\CC/1.[Cl-].[Ir+].[Cl-].[Ir+].C2=C\CC/C=C\CC/2,0.5,30,25,0.456,CF,metal_catalyst,SS,500,82.0,0.0,0,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,671.7079999999997,-0.6513999999999978,671.7079999999997,-0.6513999999999978,0,0,0,0,0,1,0,0,1,0,0.72019964,0.8273423,0.78931105,0.66101754,0.71901023,0.743376152,0.662253294219732,0.8244990097802679
2,2,2,2,2,2,2,SS336,Acetonitrile,CC(c1c(OC)c(C(C)(C)C)cc([P]2(c3ccc(OCO4)c4c3c5c6c(OCO6)ccc5[P](c7cc(C(C)(C)C)c(OC)c(C(C)(C)C)c7)(c8cc(C(C)(C)C)c(OC)c(C(C)(C)C)c8)[Ir+]2)c9cc(C(C)(C)C)c(OC)c(C(C)(C)C)c9)c1)(C)C,CC(c1c(OC)c(C(C)(C)C)cc([P]2(c3ccc(OCO4)c4c3c5c6c(OCO6)ccc5[P](c7cc(C(C)(C)C)c(OC)c(C(C)(C)C)c7)(c8cc(C(C)(C)C)c(OC)c(C(C)(C)C)c8)[Ir+]2)c9cc(C(C)(C)C)c(OC)c(C(C)(C)C)c9)c1)(C)C,0.5,30,25,0.456,CF,metal_catalyst,SS,500,82.0,0.0,0,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,1371.770999999998,16.739299999999968,1371.770999999998,16.739299999999968,0,0,0,0,0,1,0,0,1,0,0.7067498,0.8567602,0.770411,0.6476832,0.71857524,0.740035888,0.6425736586085594,0.8374981173914405
3,3,3,3,3,3,3,SS336,Acetonitrile,CC(c1cc(C=[N]2[C@H]3CCCC[C@@H]3[N]4=Cc5cc(C(C)(C)C)cc(C(C)(C)C)c5O[Mn]42(Cl)O6)c6c(C(C)(C)C)c1)(C)C,CC(c1cc(C=[N]2[C@H]3CCCC[C@@H]3[N]4=Cc5cc(C(C)(C)C)cc(C(C)(C)C)c5O[Mn]42(Cl)O6)c6c(C(C)(C)C)c1)(C)C,0.5,30,25,0.456,CF,metal_catalyst,SS,500,82.0,0.0,0,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,635.2149999999999,10.098999999999997,635.2149999999999,10.098999999999997,0,0,0,0,0,1,0,0,1,0,0.75617325,0.75275356,0.7095911,0.71428925,0.75727075,0.7380155820000001,0.7083156617448528,0.7677155022551473
4,4,4,4,4,4,4,SS336,Acetonitrile,CC(c1c2c([P]3(c4ccccc4)c5ccccc5)ccc1)(c6c(O2)c([P]([Rh+]73O[C-](C=C(C)O7)C)(c8ccccc8)c9ccccc9)ccc6)C,CC(c1c2c([P]3(c4ccccc4)c5ccccc5)ccc1)(c6c(O2)c([P]([Rh+]73O[C-](C=C(C)O7)C)(c8ccccc8)c9ccccc9)ccc6)C,0.5,30,25,0.456,CF,metal_catalyst,SS,500,82.0,0.0,0,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,780.6470000000002,9.035990000000002,780.6470000000002,9.035990000000002,0,0,0,0,0,1,0,0,1,0,0.7254312,0.7930471,0.70080423,0.6599889,0.71377563,0.718609412,0.658532052251299,0.7786867717487009
5,5,5,5,5,5,5,SS336,Acetonitrile,CC([O+]1[Ru]([C-]2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C)(Cl)(Cl)=Cc5cc(c6cc(C)c(O[Si](C(C)(C)C)(C)C)c(C)c6)ccc51)C,CC([O+]1[Ru]([C-]2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C)(Cl)(Cl)=Cc5cc(c6cc(C)c(O[Si](C(C)(C)C)(C)C)c(C)c6)ccc51)C,0.5,30,25,0.456,CF,metal_catalyst,SS,500,82.0,0.0,0,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,861.0489999999998,13.428849999999976,861.0489999999998,13.428849999999976,0,0,0,0,0,1,0,0,1,0,0.7623718,0.7941351,0.803457,0.7789259,0.81078815,0.78993559,0.7657608235100684,0.8141103564899317
6,6,6,6,6,6,6,SS336,Acetonitrile,CC(C[Si]1(O[Si](CC(C)C)(O2)O[Si](CCCNC(OCCc3ccc(OC(C)C)c(C=[Ru](Cl)(Cl)=C4N(c5c(C)cc(C)cc5C)CCN4c6c(C)cc(C)cc6C)c3)=O)(O7)O8)O[Si]9(CC(C)C)O[Si]2(CC(C)C)O[Si]7(CC(C)C)O[Si](O9)(CC(C)C)O[Si]8(CC(C)C)O1)C,CC(C[Si]1(O[Si](CC(C)C)(O2)O[Si](CCCNC(OCCc3ccc(OC(C)C)c(C=[Ru](Cl)(Cl)=C4N(c5c(C)cc(C)cc5C)CCN4c6c(C)cc(C)cc6C)c3)=O)(O7)O8)O[Si]9(CC(C)C)O[Si]2(CC(C)C)O[Si]7(CC(C)C)O[Si](O9)(CC(C)C)O[Si]8(CC(C)C)O1)C,0.5,30,25,0.456,CF,metal_catalyst,SS,500,82.0,0.0,0,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,1571.2729999999983,16.079519999999967,1571.2729999999983,16.079519999999967,0,0,0,0,0,1,0,0,1,0,0.71648896,0.8486433,0.89507234,0.7866956,0.66274744,0.7819295279999999,0.6645256552920075,0.8993334007079924
7,7,7,7,7,7,7,SS336,Acetonitrile,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,0.5,30,25,0.456,CF,metal_catalyst,SS,500,82.0,0.0,0,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,626.634,8.050320000000008,626.634,8.050320000000008,0,0,0,0,0,1,0,0,1,0,0.73897785,0.77328515,0.74337554,0.7209556,0.77363884,0.750046596,0.7215293112025305,0.7785638807974695
8,8,8,8,8,8,8,SS336,Acetonitrile,CC(C)c1cc(CN(C2CCCCC2)C3CCCCC3)cc(C(C)C)c1N(/C4=[Pd](Cl)\C/C=C\c5ccccc5)CCN4c6c(C(C)C)cc(CN(C7CCCCC7)C8CCCCC8)cc6C(C)C,CC(C)c1cc(CN(C2CCCCC2)C3CCCCC3)cc(C(C)C)c1N(/C4=[Pd](Cl)\C/C=C\c5ccccc5)CCN4c6c(C(C)C)cc(CN(C7CCCCC7)C8CCCCC8)cc6C(C)C,0.5,30,25,0.456,CF,metal_catalyst,SS,500,82.0,0.0,0,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,1036.3269999999989,17.432699999999972,1036.3269999999989,17.432699999999972,0,0,0,0,0,1,0,0,1,0,0.81733847,0.7959503,0.84308875,0.7334598,0.7505168,0.7880708240000001,0.7313799142089434,0.8447617337910567
9,9,9,9,9,9,9,SS336,Acetonitrile,CC(O[Co+3]12(OC(C)=C[C-](O1)C)(OC(C)=C[C-](O2)C)O3)=C[C-]3C,CC(O[Co+3]12(OC(C)=C[C-](O1)C)(OC(C)=C[C-](O2)C)O3)=C[C-]3C,0.5,30,25,0.456,CF,metal_catalyst,SS,500,82.0,0.0,0,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,356.2600000000001,4.209170000000004,356.2600000000001,4.209170000000004,0,0,0,0,0,1,0,0,1,0,0.70887554,0.588761,0.8202529,0.39476132,0.66689605,0.635909362,0.4389557315404459,0.8328629924595541
