,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42a_fold3,rejection_mcmpnn_combi_v42a_fold1,rejection_mcmpnn_combi_v42a_fold2,rejection_mcmpnn_combi_v42a_fold4,rejection_mcmpnn_combi_v42a_fold0,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,SS336,Ethanol,[Mg++].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,[Mg++].[O-]S(=O)(=O)C(F)(F)F.[O-]S(=O)(=O)C(F)(F)F,0.5,30,25,0.321,CF,metal_catalyst,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,322.4429999999999,-0.2779999999999998,322.4429999999999,-0.2779999999999998,0,0,0,0,0,1,0,0,1,0,0.81577575,0.7300116,0.73558605,0.7723383,1.0,0.8107423399999998,0.672637445216615,0.9488472347833846
1,1,1,1,1,1,1,SS336,Ethanol,C1=C\CC/C=C\CC/1.[Cl-].[Ir+].[Cl-].[Ir+].C2=C\CC/C=C\CC/2,C1=C\CC/C=C\CC/1.[Cl-].[Ir+].[Cl-].[Ir+].C2=C\CC/C=C\CC/2,0.5,30,25,0.321,CF,metal_catalyst,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,671.7079999999997,-0.6513999999999978,671.7079999999997,-0.6513999999999978,0,0,0,0,0,1,0,0,1,0,0.76202655,0.87108827,0.7337935,0.7049527,0.7508085,0.764533904,0.6858977467626938,0.8431700612373062
2,2,2,2,2,2,2,SS336,Ethanol,CC(c1c(OC)c(C(C)(C)C)cc([P]2(c3ccc(OCO4)c4c3c5c6c(OCO6)ccc5[P](c7cc(C(C)(C)C)c(OC)c(C(C)(C)C)c7)(c8cc(C(C)(C)C)c(OC)c(C(C)(C)C)c8)[Ir+]2)c9cc(C(C)(C)C)c(OC)c(C(C)(C)C)c9)c1)(C)C,CC(c1c(OC)c(C(C)(C)C)cc([P]2(c3ccc(OCO4)c4c3c5c6c(OCO6)ccc5[P](c7cc(C(C)(C)C)c(OC)c(C(C)(C)C)c7)(c8cc(C(C)(C)C)c(OC)c(C(C)(C)C)c8)[Ir+]2)c9cc(C(C)(C)C)c(OC)c(C(C)(C)C)c9)c1)(C)C,0.5,30,25,0.321,CF,metal_catalyst,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,1371.770999999998,16.739299999999968,1371.770999999998,16.739299999999968,0,0,0,0,0,1,0,0,1,0,0.76406604,0.8601348,0.7609906,0.6219908,0.7264492,0.746726288,0.6403921911761115,0.8530603848238885
3,3,3,3,3,3,3,SS336,Ethanol,CC(c1cc(C=[N]2[C@H]3CCCC[C@@H]3[N]4=Cc5cc(C(C)(C)C)cc(C(C)(C)C)c5O[Mn]42(Cl)O6)c6c(C(C)(C)C)c1)(C)C,CC(c1cc(C=[N]2[C@H]3CCCC[C@@H]3[N]4=Cc5cc(C(C)(C)C)cc(C(C)(C)C)c5O[Mn]42(Cl)O6)c6c(C(C)(C)C)c1)(C)C,0.5,30,25,0.321,CF,metal_catalyst,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,635.2149999999999,10.098999999999997,635.2149999999999,10.098999999999997,0,0,0,0,0,1,0,0,1,0,0.7799585,0.7693554,0.77308863,0.74288636,0.8076186,0.7745814980000001,0.7457646942216347,0.8033983017783655
4,4,4,4,4,4,4,SS336,Ethanol,CC(c1c2c([P]3(c4ccccc4)c5ccccc5)ccc1)(c6c(O2)c([P]([Rh+]73O[C-](C=C(C)O7)C)(c8ccccc8)c9ccccc9)ccc6)C,CC(c1c2c([P]3(c4ccccc4)c5ccccc5)ccc1)(c6c(O2)c([P]([Rh+]73O[C-](C=C(C)O7)C)(c8ccccc8)c9ccccc9)ccc6)C,0.5,30,25,0.321,CF,metal_catalyst,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,780.6470000000002,9.035990000000002,780.6470000000002,9.035990000000002,0,0,0,0,0,1,0,0,1,0,0.8374823,0.8574958,0.8514211,0.79132384,0.8878458,0.845113768,0.8013430454445586,0.8888844905554415
5,5,5,5,5,5,5,SS336,Ethanol,CC([O+]1[Ru]([C-]2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C)(Cl)(Cl)=Cc5cc(c6cc(C)c(O[Si](C(C)(C)C)(C)C)c(C)c6)ccc51)C,CC([O+]1[Ru]([C-]2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C)(Cl)(Cl)=Cc5cc(c6cc(C)c(O[Si](C(C)(C)C)(C)C)c(C)c6)ccc51)C,0.5,30,25,0.321,CF,metal_catalyst,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,861.0489999999998,13.428849999999976,861.0489999999998,13.428849999999976,0,0,0,0,0,1,0,0,1,0,0.8061595,0.806252,0.81022596,0.8284507,0.8503853,0.8202946919999998,0.7964888376143331,0.8441005463856666
6,6,6,6,6,6,6,SS336,Ethanol,CC(C[Si]1(O[Si](CC(C)C)(O2)O[Si](CCCNC(OCCc3ccc(OC(C)C)c(C=[Ru](Cl)(Cl)=C4N(c5c(C)cc(C)cc5C)CCN4c6c(C)cc(C)cc6C)c3)=O)(O7)O8)O[Si]9(CC(C)C)O[Si]2(CC(C)C)O[Si]7(CC(C)C)O[Si](O9)(CC(C)C)O[Si]8(CC(C)C)O1)C,CC(C[Si]1(O[Si](CC(C)C)(O2)O[Si](CCCNC(OCCc3ccc(OC(C)C)c(C=[Ru](Cl)(Cl)=C4N(c5c(C)cc(C)cc5C)CCN4c6c(C)cc(C)cc6C)c3)=O)(O7)O8)O[Si]9(CC(C)C)O[Si]2(CC(C)C)O[Si]7(CC(C)C)O[Si](O9)(CC(C)C)O[Si]8(CC(C)C)O1)C,0.5,30,25,0.321,CF,metal_catalyst,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,1571.2729999999983,16.079519999999967,1571.2729999999983,16.079519999999967,0,0,0,0,0,1,0,0,1,0,0.74765843,0.86665523,0.87137115,0.8116793,0.69440824,0.79835447,0.7030837839917592,0.8936251560082409
7,7,7,7,7,7,7,SS336,Ethanol,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,CC(C)Oc1ccccc1C=[Ru](Cl)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,0.5,30,25,0.321,CF,metal_catalyst,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,626.634,8.050320000000008,626.634,8.050320000000008,0,0,0,0,0,1,0,0,1,0,0.8151739,0.78258604,0.8209791,0.78008014,0.86082053,0.811927942,0.7709428037348125,0.8529130802651874
8,8,8,8,8,8,8,SS336,Ethanol,CC(C)c1cc(CN(C2CCCCC2)C3CCCCC3)cc(C(C)C)c1N(/C4=[Pd](Cl)\C/C=C\c5ccccc5)CCN4c6c(C(C)C)cc(CN(C7CCCCC7)C8CCCCC8)cc6C(C)C,CC(C)c1cc(CN(C2CCCCC2)C3CCCCC3)cc(C(C)C)c1N(/C4=[Pd](Cl)\C/C=C\c5ccccc5)CCN4c6c(C(C)C)cc(CN(C7CCCCC7)C8CCCCC8)cc6C(C)C,0.5,30,25,0.321,CF,metal_catalyst,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,1036.3269999999989,17.432699999999972,1036.3269999999989,17.432699999999972,0,0,0,0,0,1,0,0,1,0,0.8082674,0.8617865,0.8225099,0.76693773,0.81282455,0.814465216,0.7723400950360202,0.8565903369639798
9,9,9,9,9,9,9,SS336,Ethanol,CC(O[Co+3]12(OC(C)=C[C-](O1)C)(OC(C)=C[C-](O2)C)O3)=C[C-]3C,CC(O[Co+3]12(OC(C)=C[C-](O1)C)(OC(C)=C[C-](O2)C)O3)=C[C-]3C,0.5,30,25,0.321,CF,metal_catalyst,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,356.2600000000001,4.209170000000004,356.2600000000001,4.209170000000004,0,0,0,0,0,1,0,0,1,0,0.77242535,0.6698854,0.868368,0.63028413,0.7736484,0.7429222560000001,0.6258285137683637,0.8600159982316364
10,10,10,10,10,10,10,SS336,Ethanol,O=C([O-][Pd]([P](c1ccccc1)(c2ccccc2)c3ccccc3)[P](c4ccccc4)(c5ccccc5)c6ccccc6)C,O=C([O-][Pd]([P](c1ccccc1)(c2ccccc2)c3ccccc3)[P](c4ccccc4)(c5ccccc5)c6ccccc6)C,0.5,30,25,0.321,CF,metal_catalyst,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,690.0480000000001,5.643300000000005,690.0480000000001,5.643300000000005,0,0,0,0,0,1,0,0,1,0,0.8712332,0.8661574,0.89470476,0.8432269,0.9094618,0.8769568120000001,0.84494536375795,0.9089682602420501
11,11,11,11,11,11,11,SS336,Ethanol,c1([P](c2ccccc2)([Pd][P](c3ccccc3)(c4ccccc4)c5ccccc5)c6ccccc6)ccccc1,c1([P](c2ccccc2)([Pd][P](c3ccccc3)(c4ccccc4)c5ccccc5)c6ccccc6)ccccc1,0.5,30,25,0.321,CF,metal_catalyst,SS,500,82.0,0.0,0,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,631.0040000000002,6.8871000000000056,631.0040000000002,6.8871000000000056,0,0,0,0,0,1,0,0,1,0,0.86082304,0.8691245,0.8949162,0.83580923,0.92140245,0.8764150839999999,0.835651166896031,0.9171790011039688
