Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42a_fold0,rejection_mcmpnn_combi_v42a_fold4,rejection_mcmpnn_combi_v42a_fold1,rejection_mcmpnn_combi_v42a_fold2,rejection_mcmpnn_combi_v42a_fold3,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper,rejection_mcmpnn_combi_v42d_fold1,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42c_fold4,rejection_mcmpnn_combi_v42c_fold1,rejection_mcmpnn_combi_v42c_fold3,rejection_mcmpnn_combi_v42c_fold2,rejection_mcmpnn_combi_v42c_fold0
0,0,0,0,0,0,0,GMT-oNF-2,Toluene,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OC)C=C3C[P](C6=CC=CC=C6)1C7=CC=CC=C7,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OC)C=C3C[P](C6=CC=CC=C6)1C7=CC=CC=C7,0.5,30,25,0.341,CF,metal_catalyst,GMT-oNF,300,87,-8,0,0,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,645.4150000000002,6.822600000000008,645.4150000000002,6.822600000000008,0,0,0,0,0,0,1,0,1,0,0.9187003,0.9161631,0.9249157,0.9239116,0.79668206,0.8960745520000002,0.8269386862004461,0.9652104177995544,,,,,,,,,,
1,1,1,1,1,1,1,GMT-oNF-2,Toluene,CC1=CC=[N]([Ru]23([N]4=C(C5=CC=CC=[N]53)C=CC=C4)6[N]7=CC=CC=C7C8=[N]2C=CC=C8)C(C9=[N]6C=CC(C)=C9)=C1,CC1=CC=[N]([Ru]23([N]4=C(C5=CC=CC=[N]53)C=CC=C4)6[N]7=CC=CC=C7C8=[N]2C=CC=C8)C(C9=[N]6C=CC(C)=C9)=C1,0.5,30,25,0.341,CF,metal_catalyst,GMT-oNF,300,87,-8,0,0,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,597.6880000000001,7.045140000000006,597.6880000000001,7.045140000000006,0,0,0,0,0,0,1,0,1,0,0.4773267,0.58648723,-0.012780726,0.59829706,0.11546296,0.352958645,0.001563654,0.704353636,,,,,,,,,,
2,2,2,2,2,2,2,GMT-oNF-2,Toluene,CC1=CC(C)=CC(C)=C1N2CCN(C3=C(C)C=C(C)C=C3C)C2[Ru]4(Cl)(Cl)=CC5=CC(O)=CC=C5O4C(C)C,CC1=CC(C)=CC(C)=C1N2CCN(C3=C(C)C=C(C)C=C3C)C2[Ru]4(Cl)(Cl)=CC5=CC(O)=CC=C5O4C(C)C,0.5,30,25,0.341,CF,metal_catalyst,GMT-oNF,300,87,-8,0,0,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,643.6410000000001,7.952120000000009,643.6410000000001,7.952120000000009,0,0,0,0,0,0,1,0,1,0,0.6284415,0.6350328,0.3421899,0.7480947,0.5806384,0.5868794599999999,0.4006832258038424,0.7730756941961574,,,,,,,,,,
3,3,3,3,3,3,3,PMPerformance,Toluene,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OC)C=C3C[P](C6=CC=CC=C6)1C7=CC=CC=C7,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OC)C=C3C[P](C6=CC=CC=C6)1C7=CC=CC=C7,0.5,30,25,0.717,CF,metal_catalyst,PM,300,-1,0,1,1,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,645.4150000000002,6.822600000000008,645.4150000000002,6.822600000000008,0,0,1,0,0,0,0,0,1,0,0.87849844,0.919716,0.8765372,0.88553655,0.9100282,0.894063278,0.8697390710618269,0.918387485,,,,,,,,,,
4,4,4,4,4,4,4,PMPerformance,Toluene,CC1=CC=[N]([Ru]23([N]4=C(C5=CC=CC=[N]53)C=CC=C4)6[N]7=CC=CC=C7C8=[N]2C=CC=C8)C(C9=[N]6C=CC(C)=C9)=C1,CC1=CC=[N]([Ru]23([N]4=C(C5=CC=CC=[N]53)C=CC=C4)6[N]7=CC=CC=C7C8=[N]2C=CC=C8)C(C9=[N]6C=CC(C)=C9)=C1,0.5,30,25,0.717,CF,metal_catalyst,PM,300,-1,0,1,1,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,597.6880000000001,7.045140000000006,597.6880000000001,7.045140000000006,0,0,1,0,0,0,0,0,1,0,0.92396456,0.9011511,0.913518,0.6865616,0.8898082,0.863000692,0.7394981205161975,0.9865032634838024,,,,,,,,,,
5,5,5,5,5,5,5,PMPerformance,Toluene,CC1=CC(C)=CC(C)=C1N2CCN(C3=C(C)C=C(C)C=C3C)C2[Ru]4(Cl)(Cl)=CC5=CC(O)=CC=C5O4C(C)C,CC1=CC(C)=CC(C)=C1N2CCN(C3=C(C)C=C(C)C=C3C)C2[Ru]4(Cl)(Cl)=CC5=CC(O)=CC=C5O4C(C)C,0.5,30,25,0.717,CF,metal_catalyst,PM,300,-1,0,1,1,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,643.6410000000001,7.952120000000009,643.6410000000001,7.952120000000009,0,0,1,0,0,0,0,0,1,0,0.8805977,0.86897326,0.8621638,0.9099747,0.8812586,0.880593612,0.857881162,0.903306062,,,,,,,,,,
6,6,6,6,6,6,6,SS336,Toluene,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OC)C=C3C[P](C6=CC=CC=C6)1C7=CC=CC=C7,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OC)C=C3C[P](C6=CC=CC=C6)1C7=CC=CC=C7,0.5,30,25,0.798,CF,metal_catalyst,SS,500,82,0,0,1,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,645.4150000000002,6.822600000000008,645.4150000000002,6.822600000000008,0,0,0,0,0,1,0,0,1,0,0.82684016,0.6952275,0.7885206,0.6898718,0.6862657,0.7373451520000001,0.6557700737032615,0.8189202302967387,,,,,,,,,,
7,7,7,7,7,7,7,SS336,Toluene,CC1=CC=[N]([Ru]23([N]4=C(C5=CC=CC=[N]53)C=CC=C4)6[N]7=CC=CC=C7C8=[N]2C=CC=C8)C(C9=[N]6C=CC(C)=C9)=C1,CC1=CC=[N]([Ru]23([N]4=C(C5=CC=CC=[N]53)C=CC=C4)6[N]7=CC=CC=C7C8=[N]2C=CC=C8)C(C9=[N]6C=CC(C)=C9)=C1,0.5,30,25,0.798,CF,metal_catalyst,SS,500,82,0,0,1,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,597.6880000000001,7.045140000000006,597.6880000000001,7.045140000000006,0,0,0,0,0,1,0,0,1,0,0.72756076,0.481603,0.17834029,0.48366055,0.27358162,0.428949244,0.164181662,0.693716826,,,,,,,,,,
8,8,8,8,8,8,8,SS336,Toluene,CC1=CC(C)=CC(C)=C1N2CCN(C3=C(C)C=C(C)C=C3C)C2[Ru]4(Cl)(Cl)=CC5=CC(O)=CC=C5O4C(C)C,CC1=CC(C)=CC(C)=C1N2CCN(C3=C(C)C=C(C)C=C3C)C2[Ru]4(Cl)(Cl)=CC5=CC(O)=CC=C5O4C(C)C,0.5,30,25,0.798,CF,metal_catalyst,SS,500,82,0,0,1,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,643.6410000000001,7.952120000000009,643.6410000000001,7.952120000000009,0,0,0,0,0,1,0,0,1,0,0.6993202,0.5298865,0.3941121,0.592276,0.47948945,0.53901685,0.3958777587270669,0.6821559412729331,,,,,,,,,,
9,9,9,9,9,9,9,DM300,Toluene,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OC)C=C3C[P](C6=CC=CC=C6)1C7=CC=CC=C7,Cl[Pd]12C3=C(C[P](C4=CC=CC=C4)2C5=CC=CC=C5)C=C(OC)C=C3C[P](C6=CC=CC=C6)1C7=CC=CC=C7,0.5,30,25,0.127,CF,metal_catalyst,DM,300,59,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867,2.38,18,1.4,2,106.8,645.4150000000002,6.822600000000008,645.4150000000002,6.822600000000008,0,0,0,1,0,0,0,0,1,0,0.88194025,0.78160596,0.91793925,0.95542926,0.89086187,0.885555318,0.8051395167362801,0.9659711192637198,,,,,,,,,,
