,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,DM300,Acetonitrile,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,0.5,30,25,0.519,CF,organocatalyst,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,788.914,13.818359999999974,788.914,13.818359999999974,0,0,0,1,0,0,0,0,1,0,0.9253654,0.97881967,0.98057306,1.0,1.0,0.976951626,0.938983304329525,1.0149199476704749
1,1,1,1,1,1,1,DM300,Acetonitrile,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,0.5,30,25,0.519,CF,organocatalyst,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,778.998,9.224400000000005,778.998,9.224400000000005,0,0,0,1,0,0,0,0,1,0,0.921561,0.96557915,0.9815059,0.98678946,1.0,0.971087102,0.9334550366904615,1.0087191673095386
2,2,2,2,2,2,2,DM300,Acetonitrile,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,0.5,30,25,0.519,CF,organocatalyst,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,1019.6549999999996,7.480100000000001,1019.6549999999996,7.480100000000001,0,0,0,1,0,0,0,0,1,0,0.9602542,0.99850345,0.9994074,0.96997213,1.0,0.985627436,0.9619775708936045,1.0092773011063956
3,3,3,3,3,3,3,DM300,Acetonitrile,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,0.5,30,25,0.519,CF,organocatalyst,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,286.33,5.071200000000004,286.33,5.071200000000004,0,0,0,1,0,0,0,0,1,0,0.86439633,0.93323296,0.90044934,0.9280226,1.0,0.9252202460000001,0.8632078149475395,0.9872326770524606
4,4,4,4,4,4,4,DM300,Acetonitrile,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,0.5,30,25,0.519,CF,organocatalyst,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,312.436,5.409760000000005,312.436,5.409760000000005,0,0,0,1,0,0,0,0,1,0,0.85325015,0.9795354,0.9532912,0.94951653,1.0,0.947118656,0.8771477543422751,1.0170895576577248
5,5,5,5,5,5,5,DM300,Acetonitrile,C1OCCOCCOCCOCCOCCOC1,C1OCCOCCOCCOCCOCCOC1,0.5,30,25,0.519,CF,organocatalyst,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,264.3179999999999,0.099600000000001,264.3179999999999,0.099600000000001,0,0,0,1,0,0,0,0,1,0,0.76183474,0.79516435,0.7819505,0.8556774,0.7530434,0.789534078,0.7392391271688874,0.8398290288311125
6,6,6,6,6,6,6,DM300,Acetonitrile,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,0.5,30,25,0.519,CF,organocatalyst,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,360.406,2.948800000000001,360.406,2.948800000000001,0,0,0,1,0,0,0,0,1,0,0.801923,0.8801141,0.8365131,0.88332194,0.95587736,0.8715499,0.799687343682714,0.943412456317286
7,7,7,7,7,7,7,DM300,Acetonitrile,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,0.5,30,25,0.519,CF,organocatalyst,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,332.311,3.6658000000000017,332.311,3.6658000000000017,0,0,0,1,0,0,0,0,1,0,0.8749667,0.98594344,0.94572926,0.9531568,1.0,0.9519592400000001,0.8916683701854987,1.0122501098145014
8,8,8,8,8,8,8,DM300,Acetonitrile,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,0.5,30,25,0.519,CF,organocatalyst,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,511.9800000000001,4.2893,511.9800000000001,4.2893,0,0,0,1,0,0,0,0,1,0,0.85718894,0.9829292,0.90915334,1.0,1.0,0.949854296,0.8704300847959016,1.0292785072040984
9,9,9,9,9,9,9,DM300,Acetonitrile,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,0.5,30,25,0.519,CF,organocatalyst,DM,300,59.0,-37.5,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,518.5840000000003,5.937400000000005,518.5840000000003,5.937400000000005,0,0,0,1,0,0,0,0,1,0,0.8674531,0.9466361,0.96202344,1.0,0.99008584,0.953239696,0.8880545059385563,1.0184248860614438
