,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,DM300,Ethanol,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,0.5,30,25,0.078,CF,organocatalyst,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,788.914,13.818359999999974,788.914,13.818359999999974,0,0,0,1,0,0,0,0,1,0,0.89222276,0.9455651,0.9461329,0.9750445,1.0,0.951793052,0.9018016792190297,1.0017844247809704
1,1,1,1,1,1,1,DM300,Ethanol,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,0.5,30,25,0.078,CF,organocatalyst,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,778.998,9.224400000000005,778.998,9.224400000000005,0,0,0,1,0,0,0,0,1,0,0.8661263,0.9081516,0.87113583,0.949062,1.0,0.918895146,0.8490164749287872,0.9887738170712128
2,2,2,2,2,2,2,DM300,Ethanol,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,0.5,30,25,0.078,CF,organocatalyst,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,1019.6549999999996,7.480100000000001,1019.6549999999996,7.480100000000001,0,0,0,1,0,0,0,0,1,0,0.89850503,0.97687757,0.96540225,0.95521474,0.94211763,0.9476234440000001,0.910000562883227,0.9852463251167732
3,3,3,3,3,3,3,DM300,Ethanol,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,0.5,30,25,0.078,CF,organocatalyst,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,286.33,5.071200000000004,286.33,5.071200000000004,0,0,0,1,0,0,0,0,1,0,0.83354187,0.9553915,0.8708395,0.87177956,0.9635185,0.8990141860000002,0.8277904677017205,0.9702379042982798
4,4,4,4,4,4,4,DM300,Ethanol,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,0.5,30,25,0.078,CF,organocatalyst,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,312.436,5.409760000000005,312.436,5.409760000000005,0,0,0,1,0,0,0,0,1,0,0.77969736,0.8961312,0.90015954,0.88645995,1.0,0.8924896099999999,0.7955343710720495,0.9894448489279504
5,5,5,5,5,5,5,DM300,Ethanol,C1OCCOCCOCCOCCOCCOC1,C1OCCOCCOCCOCCOCCOC1,0.5,30,25,0.078,CF,organocatalyst,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,264.3179999999999,0.099600000000001,264.3179999999999,0.099600000000001,0,0,0,1,0,0,0,0,1,0,0.5771077,0.7485021,0.66400397,0.7030395,0.6183808,0.6622068139999999,0.5782681394360899,0.7461454885639099
6,6,6,6,6,6,6,DM300,Ethanol,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,0.5,30,25,0.078,CF,organocatalyst,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,360.406,2.948800000000001,360.406,2.948800000000001,0,0,0,1,0,0,0,0,1,0,0.6784899,0.73950446,0.73176706,0.79103184,0.8604937,0.760257392,0.6748558856250358,0.8456588983749641
7,7,7,7,7,7,7,DM300,Ethanol,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,0.5,30,25,0.078,CF,organocatalyst,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,332.311,3.6658000000000017,332.311,3.6658000000000017,0,0,0,1,0,0,0,0,1,0,0.85159016,0.9250463,0.8687456,0.9105915,1.0,0.911194712,0.8392391336215728,0.9831502903784273
8,8,8,8,8,8,8,DM300,Ethanol,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,0.5,30,25,0.078,CF,organocatalyst,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,511.9800000000001,4.2893,511.9800000000001,4.2893,0,0,0,1,0,0,0,0,1,0,0.8266305,0.94816893,0.8688732,0.9002948,1.0,0.9087934860000001,0.824841785773673,0.9927451862263272
9,9,9,9,9,9,9,DM300,Ethanol,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,0.5,30,25,0.078,CF,organocatalyst,DM,300,59.0,-37.5,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,518.5840000000003,5.937400000000005,518.5840000000003,5.937400000000005,0,0,0,1,0,0,0,0,1,0,0.8660345,0.94560087,0.9118333,0.986739,1.0,0.942041534,0.8738649004848121,1.010218167515188
