,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,DM300,Ethyl acetate,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,0.5,30,25,0.073,CF,organocatalyst,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,788.914,13.818359999999974,788.914,13.818359999999974,0,0,0,1,0,0,0,0,1,0,0.73384726,0.8767905,0.90391755,0.93192494,0.96973217,0.8832424839999999,0.771082234293393,0.9954027337066069
1,1,1,1,1,1,1,DM300,Ethyl acetate,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,0.5,30,25,0.073,CF,organocatalyst,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,778.998,9.224400000000005,778.998,9.224400000000005,0,0,0,1,0,0,0,0,1,0,0.71775764,0.7597361,0.6796936,0.87687135,0.96055615,0.7989229680000001,0.6539347036811194,0.9439112323188807
2,2,2,2,2,2,2,DM300,Ethyl acetate,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,0.5,30,25,0.073,CF,organocatalyst,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,1019.6549999999996,7.480100000000001,1019.6549999999996,7.480100000000001,0,0,0,1,0,0,0,0,1,0,0.8626567,0.960006,0.9756181,0.87582403,0.9695915,0.928739266,0.8606991760904701,0.9967793559095299
3,3,3,3,3,3,3,DM300,Ethyl acetate,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,0.5,30,25,0.073,CF,organocatalyst,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,286.33,5.071200000000004,286.33,5.071200000000004,0,0,0,1,0,0,0,0,1,0,0.70804083,0.73516256,0.711405,0.68910193,0.724712,0.713684464,0.6919618841794284,0.7354070438205715
4,4,4,4,4,4,4,DM300,Ethyl acetate,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,0.5,30,25,0.073,CF,organocatalyst,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,312.436,5.409760000000005,312.436,5.409760000000005,0,0,0,1,0,0,0,0,1,0,0.6741229,0.7105259,0.7491583,0.7144898,0.7884026,0.7273398999999999,0.6736295688484201,0.7810502311515798
5,5,5,5,5,5,5,DM300,Ethyl acetate,C1OCCOCCOCCOCCOCCOC1,C1OCCOCCOCCOCCOCCOC1,0.5,30,25,0.073,CF,organocatalyst,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,264.3179999999999,0.099600000000001,264.3179999999999,0.099600000000001,0,0,0,1,0,0,0,0,1,0,0.30738455,0.5111018,0.41831908,0.41014063,0.3512257,0.39963435199999997,0.3039820575896367,0.49528664641036324
6,6,6,6,6,6,6,DM300,Ethyl acetate,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,0.5,30,25,0.073,CF,organocatalyst,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,360.406,2.948800000000001,360.406,2.948800000000001,0,0,0,1,0,0,0,0,1,0,0.4790184,0.5014979,0.5123141,0.6039834,0.56596047,0.532554854,0.4690648122668231,0.596044895733177
7,7,7,7,7,7,7,DM300,Ethyl acetate,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,0.5,30,25,0.073,CF,organocatalyst,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,332.311,3.6658000000000017,332.311,3.6658000000000017,0,0,0,1,0,0,0,0,1,0,0.717638,0.82340485,0.7079144,0.7176926,0.7960956,0.75254909,0.6864287277297089,0.8186694522702912
8,8,8,8,8,8,8,DM300,Ethyl acetate,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,0.5,30,25,0.073,CF,organocatalyst,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,511.9800000000001,4.2893,511.9800000000001,4.2893,0,0,0,1,0,0,0,0,1,0,0.6633307,0.89715123,0.7289003,0.7975588,0.91895413,0.801179032,0.6661268509531975,0.9362312130468025
9,9,9,9,9,9,9,DM300,Ethyl acetate,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,0.5,30,25,0.073,CF,organocatalyst,DM,300,59.0,-37.5,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,518.5840000000003,5.937400000000005,518.5840000000003,5.937400000000005,0,0,0,1,0,0,0,0,1,0,0.7656368,0.8063327,0.7997867,0.9064423,0.9254931,0.84073832,0.7529363308442847,0.9285403091557154
