,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,DM300,Toluene,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,0.5,30,25,0.127,CF,organocatalyst,DM,300,59.0,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,788.914,13.818359999999974,788.914,13.818359999999974,0,0,0,1,0,0,0,0,1,0,0.6496283,0.65512985,0.8263064,0.82956445,0.9676621,0.78565822,0.6187857405180529,0.952530699481947
1,1,1,1,1,1,1,DM300,Toluene,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,0.5,30,25,0.127,CF,organocatalyst,DM,300,59.0,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,778.998,9.224400000000005,778.998,9.224400000000005,0,0,0,1,0,0,0,0,1,0,0.6579311,0.6570347,0.58789855,0.7866894,0.9636228,0.73063531,0.5459422602056387,0.9153283597943613
2,2,2,2,2,2,2,DM300,Toluene,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,0.5,30,25,0.127,CF,organocatalyst,DM,300,59.0,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,1019.6549999999996,7.480100000000001,1019.6549999999996,7.480100000000001,0,0,0,1,0,0,0,0,1,0,0.75888824,0.8063282,0.963248,0.7176468,0.97840035,0.8449023180000002,0.6968006669022453,0.993003969097755
3,3,3,3,3,3,3,DM300,Toluene,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,0.5,30,25,0.127,CF,organocatalyst,DM,300,59.0,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,286.33,5.071200000000004,286.33,5.071200000000004,0,0,0,1,0,0,0,0,1,0,0.5156708,0.453036,0.59332657,0.49877632,0.4562975,0.5034214379999999,0.43259782626433607,0.5742450497356638
4,4,4,4,4,4,4,DM300,Toluene,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,0.5,30,25,0.127,CF,organocatalyst,DM,300,59.0,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,312.436,5.409760000000005,312.436,5.409760000000005,0,0,0,1,0,0,0,0,1,0,0.44466838,0.47357157,0.6347671,0.5064456,0.49641314,0.5111731580000001,0.420454252656679,0.6018920633433211
5,5,5,5,5,5,5,DM300,Toluene,C1OCCOCCOCCOCCOCCOC1,C1OCCOCCOCCOCCOCCOC1,0.5,30,25,0.127,CF,organocatalyst,DM,300,59.0,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,264.3179999999999,0.099600000000001,264.3179999999999,0.099600000000001,0,0,0,1,0,0,0,0,1,0,0.1550245,0.26273534,0.34795868,0.18422058,0.13827386,0.21764259200000002,0.10948038184564923,0.3258048021543508
6,6,6,6,6,6,6,DM300,Toluene,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,0.5,30,25,0.127,CF,organocatalyst,DM,300,59.0,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,360.406,2.948800000000001,360.406,2.948800000000001,0,0,0,1,0,0,0,0,1,0,0.4180842,0.5508241,0.59007514,0.4290343,0.27989498,0.453582544,0.3013631117533524,0.6058019762466476
7,7,7,7,7,7,7,DM300,Toluene,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,0.5,30,25,0.127,CF,organocatalyst,DM,300,59.0,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,332.311,3.6658000000000017,332.311,3.6658000000000017,0,0,0,1,0,0,0,0,1,0,0.54023117,0.43217632,0.54736716,0.51261157,0.4777261,0.5020224640000001,0.44280871676164224,0.5612362112383579
8,8,8,8,8,8,8,DM300,Toluene,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,0.5,30,25,0.127,CF,organocatalyst,DM,300,59.0,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,511.9800000000001,4.2893,511.9800000000001,4.2893,0,0,0,1,0,0,0,0,1,0,0.5615946,0.58909065,0.6103977,0.5439777,0.5112672,0.5632655700000001,0.5153084901672522,0.611222649832748
9,9,9,9,9,9,9,DM300,Toluene,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,0.5,30,25,0.127,CF,organocatalyst,DM,300,59.0,-37.5,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,518.5840000000003,5.937400000000005,518.5840000000003,5.937400000000005,0,0,0,1,0,0,0,0,1,0,0.63890487,0.5041961,0.5411821,0.7378511,0.8236414,0.6491551139999999,0.48362589132460687,0.814684336675393
