,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,GMT-oNF-2,Acetonitrile,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,0.5,30,25,0.153,CF,organocatalyst,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,788.914,13.818359999999974,788.914,13.818359999999974,0,0,0,0,0,0,1,0,1,0,0.93922293,0.98783314,0.9553387,1.0,1.0,0.9764789539999998,0.9420783710688,1.0108795369311998
1,1,1,1,1,1,1,GMT-oNF-2,Acetonitrile,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,0.5,30,25,0.153,CF,organocatalyst,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,778.998,9.224400000000005,778.998,9.224400000000005,0,0,0,0,0,0,1,0,1,0,0.9054268,0.98744357,0.9226671,0.989344,1.0,0.960976294,0.906919564836757,1.015033023163243
2,2,2,2,2,2,2,GMT-oNF-2,Acetonitrile,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,0.5,30,25,0.153,CF,organocatalyst,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,1019.6549999999996,7.480100000000001,1019.6549999999996,7.480100000000001,0,0,0,0,0,0,1,0,1,0,1.0,1.0,0.9764458,0.97881675,1.0,0.99105251,0.9758042576625156,1.0063007623374844
3,3,3,3,3,3,3,GMT-oNF-2,Acetonitrile,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,0.5,30,25,0.153,CF,organocatalyst,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,286.33,5.071200000000004,286.33,5.071200000000004,0,0,0,0,0,0,1,0,1,0,0.79155827,0.68015516,0.6580608,0.67647153,0.8739728,0.7360437120000001,0.6201291918526294,0.8519582321473708
4,4,4,4,4,4,4,GMT-oNF-2,Acetonitrile,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,0.5,30,25,0.153,CF,organocatalyst,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,312.436,5.409760000000005,312.436,5.409760000000005,0,0,0,0,0,0,1,0,1,0,0.91916096,0.3664924,0.6619643,0.6426605,0.9351721,0.705090052,0.4144440179108752,0.9957360860891247
5,5,5,5,5,5,5,GMT-oNF-2,Acetonitrile,C1OCCOCCOCCOCCOCCOC1,C1OCCOCCOCCOCCOCCOC1,0.5,30,25,0.153,CF,organocatalyst,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,264.3179999999999,0.099600000000001,264.3179999999999,0.099600000000001,0,0,0,0,0,0,1,0,1,0,0.6181163,0.33224434,0.4608034,0.41544294,0.2531365,0.41594869599999995,0.2443493717025339,0.587548020297466
6,6,6,6,6,6,6,GMT-oNF-2,Acetonitrile,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,0.5,30,25,0.153,CF,organocatalyst,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,360.406,2.948800000000001,360.406,2.948800000000001,0,0,0,0,0,0,1,0,1,0,0.6061003,0.41784447,0.50121015,0.522144,0.38813514,0.487086812,0.379235908654562,0.5949377153454379
7,7,7,7,7,7,7,GMT-oNF-2,Acetonitrile,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,0.5,30,25,0.153,CF,organocatalyst,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,332.311,3.6658000000000017,332.311,3.6658000000000017,0,0,0,0,0,0,1,0,1,0,0.9225151,0.9765221,0.8335975,0.9014416,0.97769296,0.922353852,0.8480828964385685,0.9966248075614315
8,8,8,8,8,8,8,GMT-oNF-2,Acetonitrile,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,0.5,30,25,0.153,CF,organocatalyst,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,511.9800000000001,4.2893,511.9800000000001,4.2893,0,0,0,0,0,0,1,0,1,0,0.6110826,0.66744035,0.6004698,0.757727,0.91882193,0.711108336,0.5474732686617754,0.8747434033382246
9,9,9,9,9,9,9,GMT-oNF-2,Acetonitrile,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,0.5,30,25,0.153,CF,organocatalyst,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,518.5840000000003,5.937400000000005,518.5840000000003,5.937400000000005,0,0,0,0,0,0,1,0,1,0,0.92930555,0.745324,0.8832564,1.0,1.0,0.91157719,0.7807690933104499,1.0423852866895502
