,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,GMT-oNF-2,Ethanol,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,0.5,30,25,0.196,CF,organocatalyst,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,788.914,13.818359999999974,788.914,13.818359999999974,0,0,0,0,0,0,1,0,1,0,0.7962656,0.8876307,0.87473375,0.9195772,0.7321459,0.84207063,0.7472408744648914,0.9369003855351087
1,1,1,1,1,1,1,GMT-oNF-2,Ethanol,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,0.5,30,25,0.196,CF,organocatalyst,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,778.998,9.224400000000005,778.998,9.224400000000005,0,0,0,0,0,0,1,0,1,0,0.8006772,0.7025901,0.5728552,0.87920886,0.79643226,0.7503527240000001,0.604693285508369,0.8960121624916312
2,2,2,2,2,2,2,GMT-oNF-2,Ethanol,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,0.5,30,25,0.196,CF,organocatalyst,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,1019.6549999999996,7.480100000000001,1019.6549999999996,7.480100000000001,0,0,0,0,0,0,1,0,1,0,0.890691,0.95264447,0.8885305,0.8132782,0.8969151,0.8884118539999999,0.826801014726994,0.9500226932730058
3,3,3,3,3,3,3,GMT-oNF-2,Ethanol,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,0.5,30,25,0.196,CF,organocatalyst,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,286.33,5.071200000000004,286.33,5.071200000000004,0,0,0,0,0,0,1,0,1,0,0.54832464,0.5562618,0.48051104,0.62661505,0.5008586,0.542514226,0.4720688276325443,0.6129596243674557
4,4,4,4,4,4,4,GMT-oNF-2,Ethanol,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,0.5,30,25,0.196,CF,organocatalyst,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,312.436,5.409760000000005,312.436,5.409760000000005,0,0,0,0,0,0,1,0,1,0,0.6613263,0.16472921,0.46562743,0.49633074,0.54832786,0.4672683080000001,0.23780693790229931,0.6967296780977008
5,5,5,5,5,5,5,GMT-oNF-2,Ethanol,C1OCCOCCOCCOCCOCCOC1,C1OCCOCCOCCOCCOCCOC1,0.5,30,25,0.196,CF,organocatalyst,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,264.3179999999999,0.099600000000001,264.3179999999999,0.099600000000001,0,0,0,0,0,0,1,0,1,0,0.35532266,0.36447287,0.20649114,0.29376018,0.080456555,0.26010068100000006,0.1128708784687806,0.4073304835312195
6,6,6,6,6,6,6,GMT-oNF-2,Ethanol,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,0.5,30,25,0.196,CF,organocatalyst,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,360.406,2.948800000000001,360.406,2.948800000000001,0,0,0,0,0,0,1,0,1,0,0.40679833,0.31249452,0.22078979,0.42758548,0.08370751,0.290275126,0.11421272737564467,0.4663375246243553
7,7,7,7,7,7,7,GMT-oNF-2,Ethanol,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,0.5,30,25,0.196,CF,organocatalyst,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,332.311,3.6658000000000017,332.311,3.6658000000000017,0,0,0,0,0,0,1,0,1,0,0.637228,0.8999219,0.5762087,0.8286663,0.6589763,0.72020024,0.5496904654717049,0.8907100145282952
8,8,8,8,8,8,8,GMT-oNF-2,Ethanol,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,0.5,30,25,0.196,CF,organocatalyst,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,511.9800000000001,4.2893,511.9800000000001,4.2893,0,0,0,0,0,0,1,0,1,0,0.4352295,0.55102086,0.2315895,0.4572684,0.43632793,0.4222872379999999,0.27731758543242035,0.5672568905675794
9,9,9,9,9,9,9,GMT-oNF-2,Ethanol,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,0.5,30,25,0.196,CF,organocatalyst,GMT-oNF,300,87.0,-8.0,0,0,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,518.5840000000003,5.937400000000005,518.5840000000003,5.937400000000005,0,0,0,0,0,0,1,0,1,0,0.7840901,0.7603273,0.6527805,0.91159636,0.7860199,0.7789628319999999,0.6645931621406665,0.8933325018593333
