,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,GMT-oNF-2,Ethyl acetate,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,0.5,30,25,3.73,CF,organocatalyst,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,788.914,13.818359999999974,788.914,13.818359999999974,0,0,0,0,0,0,1,0,1,0,0.44705087,0.708126,0.44677964,0.8842722,0.30993408,0.5592325579999999,0.27123064323643226,0.8472344727635677
1,1,1,1,1,1,1,GMT-oNF-2,Ethyl acetate,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,0.5,30,25,3.73,CF,organocatalyst,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,778.998,9.224400000000005,778.998,9.224400000000005,0,0,0,0,0,0,1,0,1,0,0.81601983,0.8332618,0.5065168,0.9361158,0.46141624,0.710666094,0.446714559353915,0.974617628646085
2,2,2,2,2,2,2,GMT-oNF-2,Ethyl acetate,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,0.5,30,25,3.73,CF,organocatalyst,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,1019.6549999999996,7.480100000000001,1019.6549999999996,7.480100000000001,0,0,0,0,0,0,1,0,1,0,0.9335419,0.98206615,0.9276085,0.80935454,1.0,0.9305142179999999,0.838047438317524,1.0229809976824757
3,3,3,3,3,3,3,GMT-oNF-2,Ethyl acetate,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,0.5,30,25,3.73,CF,organocatalyst,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,286.33,5.071200000000004,286.33,5.071200000000004,0,0,0,0,0,0,1,0,1,0,0.5273525,0.5445097,0.5306604,0.5828878,0.28675073,0.494432226,0.3477003583289544,0.6411640936710455
4,4,4,4,4,4,4,GMT-oNF-2,Ethyl acetate,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,0.5,30,25,3.73,CF,organocatalyst,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,312.436,5.409760000000005,312.436,5.409760000000005,0,0,0,0,0,0,1,0,1,0,0.6060513,0.5200261,0.5203987,0.55184424,0.2644386,0.492551788,0.32833773528696775,0.6567658407130322
5,5,5,5,5,5,5,GMT-oNF-2,Ethyl acetate,C1OCCOCCOCCOCCOCCOC1,C1OCCOCCOCCOCCOCCOC1,0.5,30,25,3.73,CF,organocatalyst,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,264.3179999999999,0.099600000000001,264.3179999999999,0.099600000000001,0,0,0,0,0,0,1,0,1,0,0.08316648,0.3634609,0.13843325,0.3067513,0.05637601,0.18963758800000002,0.018884188622388304,0.36039098737761177
6,6,6,6,6,6,6,GMT-oNF-2,Ethyl acetate,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,0.5,30,25,3.73,CF,organocatalyst,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,360.406,2.948800000000001,360.406,2.948800000000001,0,0,0,0,0,0,1,0,1,0,0.22434533,0.46651876,0.2860012,0.43384194,0.060170025,0.294175451,0.08929096962312733,0.49905993237687263
7,7,7,7,7,7,7,GMT-oNF-2,Ethyl acetate,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,0.5,30,25,3.73,CF,organocatalyst,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,332.311,3.6658000000000017,332.311,3.6658000000000017,0,0,0,0,0,0,1,0,1,0,0.7076637,0.80399716,0.62212527,0.7067959,0.31312352,0.63074111,0.3962389330504949,0.865243286949505
8,8,8,8,8,8,8,GMT-oNF-2,Ethyl acetate,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,0.5,30,25,3.73,CF,organocatalyst,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,511.9800000000001,4.2893,511.9800000000001,4.2893,0,0,0,0,0,0,1,0,1,0,0.44448712,0.6324142,0.3680897,0.57765794,0.20025507,0.444580806,0.2308334149230697,0.6583281970769304
9,9,9,9,9,9,9,GMT-oNF-2,Ethyl acetate,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,0.5,30,25,3.73,CF,organocatalyst,GMT-oNF,300,87.0,-8.0,0,0,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,518.5840000000003,5.937400000000005,518.5840000000003,5.937400000000005,0,0,0,0,0,0,1,0,1,0,0.80384094,0.614053,0.5363628,0.88397866,0.45207074,0.658061228,0.4329552815443054,0.8831671744556946
