,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,PMPerformance,Acetonitrile,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,0.5,30,25,2.531,CF,organocatalyst,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,788.914,13.818359999999974,788.914,13.818359999999974,0,0,1,0,0,0,0,0,1,0,0.67596895,0.74298155,0.63187325,0.6752888,0.9128219,0.7277868900000001,0.5902065305533768,0.8653672494466234
1,1,1,1,1,1,1,PMPerformance,Acetonitrile,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,0.5,30,25,2.531,CF,organocatalyst,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,778.998,9.224400000000005,778.998,9.224400000000005,0,0,1,0,0,0,0,0,1,0,0.80545276,0.69654983,0.6097334,0.76313263,0.8807099,0.751115704,0.622590032091088,0.8796413759089121
2,2,2,2,2,2,2,PMPerformance,Acetonitrile,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,0.5,30,25,2.531,CF,organocatalyst,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,1019.6549999999996,7.480100000000001,1019.6549999999996,7.480100000000001,0,0,1,0,0,0,0,0,1,0,0.817454,0.8531319,0.7983682,0.6557415,0.7910444,0.783148,0.6898142725620352,0.8764817274379647
3,3,3,3,3,3,3,PMPerformance,Acetonitrile,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,0.5,30,25,2.531,CF,organocatalyst,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,286.33,5.071200000000004,286.33,5.071200000000004,0,0,1,0,0,0,0,0,1,0,0.104669124,0.15251955,0.38751963,0.11977726,0.04114902,0.1611269168,-0.003855282108639918,0.3261091157086399
4,4,4,4,4,4,4,PMPerformance,Acetonitrile,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,0.5,30,25,2.531,CF,organocatalyst,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,312.436,5.409760000000005,312.436,5.409760000000005,0,0,1,0,0,0,0,0,1,0,0.28132853,0.19286835,0.43183652,0.14766937,0.16368371,0.243477296,0.09785367177209853,0.3891009202279015
5,5,5,5,5,5,5,PMPerformance,Acetonitrile,C1OCCOCCOCCOCCOCCOC1,C1OCCOCCOCCOCCOCCOC1,0.5,30,25,2.531,CF,organocatalyst,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,264.3179999999999,0.099600000000001,264.3179999999999,0.099600000000001,0,0,1,0,0,0,0,0,1,0,0.15403998,0.07194838,0.120003015,-0.036417603,-0.0850988,0.04489499439999999,-0.08202811175088048,0.17181810055088048
6,6,6,6,6,6,6,PMPerformance,Acetonitrile,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,0.5,30,25,2.531,CF,organocatalyst,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,360.406,2.948800000000001,360.406,2.948800000000001,0,0,1,0,0,0,0,0,1,0,0.12435466,0.19054693,0.20139918,0.010021687,-0.10744405,0.08377568139999998,-0.07916957189232936,0.2467209346923293
7,7,7,7,7,7,7,PMPerformance,Acetonitrile,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,0.5,30,25,2.531,CF,organocatalyst,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,332.311,3.6658000000000017,332.311,3.6658000000000017,0,0,1,0,0,0,0,0,1,0,0.389159,0.5555027,0.54346085,0.24254945,0.22608,0.3913504,0.1954738244801374,0.5872269755198626
8,8,8,8,8,8,8,PMPerformance,Acetonitrile,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,0.5,30,25,2.531,CF,organocatalyst,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,511.9800000000001,4.2893,511.9800000000001,4.2893,0,0,1,0,0,0,0,0,1,0,0.2654642,0.37858754,0.3230846,0.41400874,0.31699568,0.339628152,0.2679320936912436,0.41132421030875643
9,9,9,9,9,9,9,PMPerformance,Acetonitrile,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,0.5,30,25,2.531,CF,organocatalyst,PM,300,-1.0,0.0,1,1,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,518.5840000000003,5.937400000000005,518.5840000000003,5.937400000000005,0,0,1,0,0,0,0,0,1,0,0.55437547,0.43586996,0.5643382,0.62673765,0.77808696,0.591881648,0.4368073575370502,0.7469559384629498
