,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,PMPerformance,Ethanol,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,0.5,30,25,0.539,CF,organocatalyst,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,788.914,13.818359999999974,788.914,13.818359999999974,0,0,1,0,0,0,0,0,1,0,0.58531165,0.6898973,0.55491364,0.68893254,0.39826143,0.5834633120000001,0.4345021946527887,0.7324244293472115
1,1,1,1,1,1,1,PMPerformance,Ethanol,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,0.5,30,25,0.539,CF,organocatalyst,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,778.998,9.224400000000005,778.998,9.224400000000005,0,0,1,0,0,0,0,0,1,0,0.59503424,0.52929556,0.14885557,0.7945638,0.43860328,0.50127049,0.20762189874286746,0.7949190812571325
2,2,2,2,2,2,2,PMPerformance,Ethanol,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,0.5,30,25,0.539,CF,organocatalyst,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,1019.6549999999996,7.480100000000001,1019.6549999999996,7.480100000000001,0,0,1,0,0,0,0,0,1,0,0.77181506,0.81061983,0.69888943,0.49789673,0.69217515,0.69427924,0.544584417436541,0.843974062563459
3,3,3,3,3,3,3,PMPerformance,Ethanol,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,0.5,30,25,0.539,CF,organocatalyst,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,286.33,5.071200000000004,286.33,5.071200000000004,0,0,1,0,0,0,0,0,1,0,0.0020821095,0.08073497,0.2275784,0.08320758,-0.13363427,0.05199375790000001,-0.11176857190174182,0.21575608770174182
4,4,4,4,4,4,4,PMPerformance,Ethanol,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,0.5,30,25,0.539,CF,organocatalyst,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,312.436,5.409760000000005,312.436,5.409760000000005,0,0,1,0,0,0,0,0,1,0,0.2132738,0.09212312,0.29247403,0.09529078,-0.117691815,0.115093983,-0.07747606705678232,0.3076640330567823
5,5,5,5,5,5,5,PMPerformance,Ethanol,C1OCCOCCOCCOCCOCCOC1,C1OCCOCCOCCOCCOCCOC1,0.5,30,25,0.539,CF,organocatalyst,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,264.3179999999999,0.099600000000001,264.3179999999999,0.099600000000001,0,0,1,0,0,0,0,0,1,0,0.020500481,0.22754797,0.027876556,-0.1344508,-0.19825399,-0.0113559566,-0.21699321305777888,0.1942812998577789
6,6,6,6,6,6,6,PMPerformance,Ethanol,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,0.5,30,25,0.539,CF,organocatalyst,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,360.406,2.948800000000001,360.406,2.948800000000001,0,0,1,0,0,0,0,0,1,0,0.03012681,0.14413625,0.14243028,-0.06338704,-0.27299625,-0.003937990000000002,-0.21939138102117386,0.21151540102117386
7,7,7,7,7,7,7,PMPerformance,Ethanol,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,0.5,30,25,0.539,CF,organocatalyst,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,332.311,3.6658000000000017,332.311,3.6658000000000017,0,0,1,0,0,0,0,0,1,0,0.40600738,0.45273694,0.26040518,0.20573434,-0.055915475,0.253793673,0.004670102902001844,0.5029172430979981
8,8,8,8,8,8,8,PMPerformance,Ethanol,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,0.5,30,25,0.539,CF,organocatalyst,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,511.9800000000001,4.2893,511.9800000000001,4.2893,0,0,1,0,0,0,0,0,1,0,0.2420896,0.3438623,0.12117311,0.23612586,-0.08466405,0.17171736399999998,-0.0313817645945903,0.37481649259459027
9,9,9,9,9,9,9,PMPerformance,Ethanol,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,0.5,30,25,0.539,CF,organocatalyst,PM,300,-1.0,0.0,1,1,C(C)O,46.069,-0.31,1.2,789.0,24.6,15.8,8.8,19.4,58.5,518.5840000000003,5.937400000000005,518.5840000000003,5.937400000000005,0,0,1,0,0,0,0,0,1,0,0.32905573,0.39853072,0.34028506,0.5351302,0.26171198,0.372942738,0.24521963520148557,0.5006658407985144
