,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,PMPerformance,Ethyl acetate,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,0.5,30,25,2.036,CF,organocatalyst,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,788.914,13.818359999999974,788.914,13.818359999999974,0,0,1,0,0,0,0,0,1,0,0.54058415,0.8232692,0.7630006,0.9459014,0.61797726,0.738146522,0.5374561783050943,0.9388368656949057
1,1,1,1,1,1,1,PMPerformance,Ethyl acetate,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,0.5,30,25,2.036,CF,organocatalyst,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,778.998,9.224400000000005,778.998,9.224400000000005,0,0,1,0,0,0,0,0,1,0,0.72812253,0.87912273,0.65836906,0.9648984,0.6760252,0.781307584,0.6143738347032393,0.9482413332967607
2,2,2,2,2,2,2,PMPerformance,Ethyl acetate,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,0.5,30,25,2.036,CF,organocatalyst,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,1019.6549999999996,7.480100000000001,1019.6549999999996,7.480100000000001,0,0,1,0,0,0,0,0,1,0,0.8727516,0.93060136,0.8972541,0.80811346,0.74141186,0.850026476,0.7562972351629859,0.9437557168370142
3,3,3,3,3,3,3,PMPerformance,Ethyl acetate,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,0.5,30,25,2.036,CF,organocatalyst,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,286.33,5.071200000000004,286.33,5.071200000000004,0,0,1,0,0,0,0,0,1,0,0.03498757,0.20538217,0.2898342,0.111941576,-0.086553454,0.1111184124,-0.07062291914770535,0.29285974394770536
4,4,4,4,4,4,4,PMPerformance,Ethyl acetate,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,0.5,30,25,2.036,CF,organocatalyst,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,312.436,5.409760000000005,312.436,5.409760000000005,0,0,1,0,0,0,0,0,1,0,0.20165959,0.37207523,0.31031585,0.15073207,-0.05693704,0.19556913999999997,-0.010457337697445973,0.4015956176974459
5,5,5,5,5,5,5,PMPerformance,Ethyl acetate,C1OCCOCCOCCOCCOCCOC1,C1OCCOCCOCCOCCOCCOC1,0.5,30,25,2.036,CF,organocatalyst,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,264.3179999999999,0.099600000000001,264.3179999999999,0.099600000000001,0,0,1,0,0,0,0,0,1,0,-0.17090505,0.2371318,-0.018755853,-0.09358609,-0.18102992,-0.0454290226,-0.2577889765532841,0.1669309313532841
6,6,6,6,6,6,6,PMPerformance,Ethyl acetate,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,0.5,30,25,2.036,CF,organocatalyst,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,360.406,2.948800000000001,360.406,2.948800000000001,0,0,1,0,0,0,0,0,1,0,-0.08920467,0.34712768,0.10364923,0.12218091,-0.1811654,0.06051754999999999,-0.1944286580746869,0.31546375807468685
7,7,7,7,7,7,7,PMPerformance,Ethyl acetate,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,0.5,30,25,2.036,CF,organocatalyst,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,332.311,3.6658000000000017,332.311,3.6658000000000017,0,0,1,0,0,0,0,0,1,0,0.33828658,0.41889527,0.40131718,0.18014675,-0.025567532,0.2626156496,0.030954462629570467,0.49427683657042953
8,8,8,8,8,8,8,PMPerformance,Ethyl acetate,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,0.5,30,25,2.036,CF,organocatalyst,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,511.9800000000001,4.2893,511.9800000000001,4.2893,0,0,1,0,0,0,0,0,1,0,0.13719457,0.59422827,0.33384195,0.47380894,0.06024772,0.31986429000000005,0.04226218334719789,0.5974663966528022
9,9,9,9,9,9,9,PMPerformance,Ethyl acetate,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,0.5,30,25,2.036,CF,organocatalyst,PM,300,-1.0,0.0,1,1,O(C(C)=O)CC,88.106,0.71,0.45,902.0,6.02,15.8,5.3,7.2,98.5,518.5840000000003,5.937400000000005,518.5840000000003,5.937400000000005,0,0,1,0,0,0,0,0,1,0,0.56660926,0.5240486,0.63591826,0.7047885,0.28390393,0.54305371,0.34394500562743313,0.7421624143725669
