,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42d_fold3,rejection_mcmpnn_combi_v42d_fold2,rejection_mcmpnn_combi_v42d_fold4,rejection_mcmpnn_combi_v42d_fold0,rejection_mcmpnn_combi_v42d_fold1,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,PMPerformance,Toluene,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,N#Cc1c(n2c3ccccc3c4ccccc24)c(C#N)c(n(c5c6cccc5)c7c6cccc7)c(n(c8c9cccc8)c%10c9cccc%10)c1n(c%11c%12cccc%11)c%13c%12cccc%13,0.5,30,25,0.717,CF,organocatalyst,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,788.914,13.818359999999974,788.914,13.818359999999974,0,0,1,0,0,0,0,0,1,0,0.69797206,0.9151707,0.91004074,1.0,0.9190676,0.88845022,0.7484628029875972,1.0284376370124029
1,1,1,1,1,1,1,PMPerformance,Toluene,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,CC[C@@H]1CN2CCC1CC2[C@H](Oc3c4ccccc4c(O[C@@H](C5CC6CCN5C[C@@H]6CC)c7c8cc(OC)ccc8ncc7)nn3)c9c%10cc(OC)ccc%10ncc9,0.5,30,25,0.717,CF,organocatalyst,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,778.998,9.224400000000005,778.998,9.224400000000005,0,0,1,0,0,0,0,0,1,0,0.78232986,0.93236506,0.69873774,1.0,0.9142965,0.8655458319999999,0.7138934652066263,1.0171981987933734
2,2,2,2,2,2,2,PMPerformance,Toluene,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,Ic1c(O[Na])c(I)cc2c1OC3C(C(C(I)=CC3=C2c4c(Cl)c(Cl)c(Cl)c(Cl)c4C(O[Na])=O)=O)I,0.5,30,25,0.717,CF,organocatalyst,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,1019.6549999999996,7.480100000000001,1019.6549999999996,7.480100000000001,0,0,1,0,0,0,0,0,1,0,0.8812686,0.9364054,0.95848787,0.93662506,0.949216,0.932400586,0.8950903429049138,0.9697108290950861
3,3,3,3,3,3,3,PMPerformance,Toluene,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,Oc(c1c2c(O)ccc3c2cccc3)ccc4c1cccc4,0.5,30,25,0.717,CF,organocatalyst,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,286.33,5.071200000000004,286.33,5.071200000000004,0,0,1,0,0,0,0,0,1,0,0.5164675,0.49630275,0.7372532,0.48450053,0.37768885,0.522442566,0.35906129049734836,0.6858238415026517
4,4,4,4,4,4,4,PMPerformance,Toluene,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,C[n+](c(cccc1)c1c2c3c(C)cc(C)cc3C)c4c2cccc4,0.5,30,25,0.717,CF,organocatalyst,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,312.436,5.409760000000005,312.436,5.409760000000005,0,0,1,0,0,0,0,0,1,0,0.68962073,0.5509875,0.8270595,0.5638793,0.41226584,0.6087625739999999,0.4142577582799785,0.8032673897200213
5,5,5,5,5,5,5,PMPerformance,Toluene,C1OCCOCCOCCOCCOCCOC1,C1OCCOCCOCCOCCOCCOC1,0.5,30,25,0.717,CF,organocatalyst,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,264.3179999999999,0.099600000000001,264.3179999999999,0.099600000000001,0,0,1,0,0,0,0,0,1,0,-0.07076728,0.2344904,0.2617295,0.024087906,0.038032264,0.097514558,-0.08132096968828295,0.27635008568828295
6,6,6,6,6,6,6,PMPerformance,Toluene,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,c12c(OCCOCCOc3c(OCCOCCO2)cccc3)cccc1,0.5,30,25,0.717,CF,organocatalyst,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,360.406,2.948800000000001,360.406,2.948800000000001,0,0,1,0,0,0,0,0,1,0,0.18639657,0.45815143,0.46678358,0.37559193,0.18806866,0.33499843399999996,0.16177330095431436,0.5082235670456856
7,7,7,7,7,7,7,PMPerformance,Toluene,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,Oc1ccc(C2(c3ccc(O)cc3O4)c5c(C(O2)=O)cccc5)c4c1,0.5,30,25,0.717,CF,organocatalyst,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,332.311,3.6658000000000017,332.311,3.6658000000000017,0,0,1,0,0,0,0,0,1,0,0.6747146,0.51902515,0.70422757,0.5416706,0.39374402,0.566676388,0.4103621380751934,0.7229906379248066
8,8,8,8,8,8,8,PMPerformance,Toluene,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,Fc1c(B(c2c(F)c(F)c(F)c(F)c2F)c3c(F)c(F)c(F)c(F)c3F)c(F)c(F)c(F)c1F,0.5,30,25,0.717,CF,organocatalyst,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,511.9800000000001,4.2893,511.9800000000001,4.2893,0,0,1,0,0,0,0,0,1,0,0.48605087,0.7518488,0.6356736,0.7325705,0.43270135,0.607769024,0.4293653520827071,0.7861726959172929
9,9,9,9,9,9,9,PMPerformance,Toluene,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,c12ccccc1c([N]C3[N]C([N]4)c5ccccc53)[nH]c2[N]C([N]6)c7ccccc7C6[N]c8[nH]c4c9c8cccc9,0.5,30,25,0.717,CF,organocatalyst,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,518.5840000000003,5.937400000000005,518.5840000000003,5.937400000000005,0,0,1,0,0,0,0,0,1,0,0.86262894,0.62688917,0.6490253,0.9111737,0.7161295,0.753169322,0.5947520282450389,0.911586615754961
